tau	mean_M	std_M	count
0.052930	0.0058492076	0.0254952397	181
0.194122	0.0026106066	0.0053627908	137
0.324287	0.0028547225	0.0068452650	119
0.454877	0.0043232882	0.0124737983	107
0.585720	0.0028875766	0.0042487987	91
0.714978	0.0070148687	0.0236661810	82
0.843128	0.0036243888	0.0056703814	68
0.973587	0.0049509957	0.0094849765	66
1.107638	0.0072540358	0.0199910014	55
1.238030	0.0053554614	0.0080456084	48
1.368083	0.0073415645	0.0170887406	42
1.497558	0.0054410551	0.0065554209	37
1.628870	0.0077143149	0.0150658401	33
1.761285	0.0083931189	0.0135753122	29
1.895799	0.0082857182	0.0118434632	26
2.030021	0.0081201672	0.0107889244	22
2.153204	0.0084637289	0.0103321745	17
2.275670	0.0078080977	0.0090284983	17
2.406411	0.0085334283	0.0085528768	14
2.531121	0.0100356018	0.0093381544	14
2.673511	0.0096534909	0.0083252341	11
2.795341	0.0089980056	0.0068409052	11
2.943659	0.0112789173	0.0063791806	8
3.067589	0.0086695287	0.0051267712	7
3.186513	0.0090004431	0.0048069382	9
3.331779	0.0121676935	0.0004362460	3
3.449357	0.0105331038	0.0004602630	4
3.582746	0.0089250952	0.0004306274	5
3.712977	0.0075852008	0.0003287662	5
3.849241	0.0064017453	0.0003433743	7
