N	S3	S3_plus2	C3_eff
10	-0.636282139744836	1.363717860255164e0	0.4573968306
20	-1.607182546795200	3.928174532048003e-1	0.0925640351
50	-1.465035359666430	5.349646403335702e-1	0.0929532927
100	-0.503937509211127	1.496062490788873e0	0.2230788340
200	-2.010496685388642	1.049668538864212e-2	0.0014061568
500	-1.477260554944564	5.227394450554357e-1	0.0640029925
1000	-0.949545426016821	1.050454573983179e0	0.1237950814
2000	-0.959767455131281	1.040232544868719e0	0.1204086306
5000	-1.097483103360950	9.025168966390500e-1	0.1046176224
10000	-1.331596821465324	6.684031785346762e-1	0.0787929111
20000	-1.016956888736190	9.830431112638101e-1	0.1191938212
50000	-1.092746457889327	9.072535421106731e-1	0.1158869281
100000	-1.218437350625612	7.815626493743884e-1	0.1048557885
200000	-1.151173816847566	8.488261831524344e-1	0.1204826096
500000	-1.153600494893648	8.463995051063522e-1	0.1307054757
1000000	-1.115760372807806	8.842396271921935e-1	0.1464994842
