N	abel_linear	direct_linear	difference
10	-0.3601402364	0.6811021499	1.0412423863
20	-0.4829021114	0.8358476140	1.3187497255
30	-0.5242831169	0.8898946076	1.4141777245
50	-0.5951754622	0.9730066337	1.5681820959
75	-0.6216762822	1.0071482981	1.6288245803
100	-0.6333202254	1.0233975250	1.6567177504
150	-0.6716914475	1.0673616262	1.7390530737
200	-0.7023126971	1.1014319494	1.8037446466
300	-0.7200941883	1.1234838842	1.8435780725
400	-0.7059969152	1.1120660093	1.8180629245
500	-0.7477324887	1.1557090542	1.9034415429
750	-0.7584510580	1.1695644996	1.9280155576
1000	-0.7195278706	1.1326436322	1.8521715029
1500	-0.7222082453	1.1378786387	1.8600868840
2000	-0.7905363672	1.2078540101	1.9983903773
