x	M(x)	|M|/sqrt(x)	|M|/(sqrt(x)*(ln_x)^2)
10	-1	0.31622777	0.05964426
11	-2	0.60302269	0.10487530
12	-2	0.57735027	0.09350164
13	-3	0.83205029	0.12647130
14	-2	0.53452248	0.07674822
15	-1	0.25819889	0.03520797
16	-1	0.25000000	0.03252139
17	-2	0.48507125	0.06042922
18	-2	0.47140452	0.05642692
19	-3	0.68824720	0.07938516
20	-3	0.67082039	0.07474812
21	-2	0.43643578	0.04708494
22	-1	0.21320072	0.02231407
23	-2	0.41702883	0.04241838
24	-2	0.40824829	0.04042052
25	-2	0.40000000	0.03860571
26	-1	0.19611614	0.01847504
27	-1	0.19245009	0.01771686
28	-1	0.18898224	0.01701993
29	-2	0.37139068	0.03275431
30	-3	0.54772256	0.04734749
31	-4	0.71842121	0.06092307
32	-4	0.70710678	0.05887000
33	-3	0.52223297	0.04271647
34	-2	0.34299717	0.02758272
35	-1	0.16903085	0.01337217
36	-1	0.16666667	0.01297864
37	-2	0.32879797	0.02521703
38	-1	0.16222142	0.01225975
39	0	0.00000000	0.00000000
40	0	0.00000000	0.00000000
41	-1	0.15617376	0.01132464
42	-2	0.30860670	0.02209040
43	-3	0.45749571	0.03233956
44	-3	0.45226702	0.03158269
45	-3	0.44721360	0.03086216
46	-2	0.29488391	0.02011693
47	-3	0.43759497	0.02952008
48	-3	0.43301270	0.02889410
49	-3	0.42857143	0.02829552
50	-3	0.42426407	0.02772257
51	-2	0.28005602	0.01811575
52	-2	0.27735010	0.01776481
53	-3	0.41208169	0.02614198
54	-3	0.40824829	0.02565664
55	-2	0.26967994	0.01679337
56	-2	0.26726124	0.01649409
57	-1	0.13245324	0.00810297
58	0	0.00000000	0.00000000
59	-1	0.13018891	0.00783029
60	-1	0.12909944	0.00770115
61	-2	0.25607376	0.01515294
62	-1	0.12700013	0.00745602
63	-1	0.12598816	0.00733959
64	-1	0.12500000	0.00722698
65	0	0.00000000	0.00000000
66	-1	0.12309149	0.00701248
67	-2	0.24433889	0.01382051
68	-2	0.24253563	0.01362235
69	-1	0.12038585	0.00671509
70	-2	0.23904572	0.01324374
71	-3	0.35603450	0.01959416
72	-3	0.35355339	0.01933055
73	-4	0.46816459	0.02543261
74	-3	0.34874292	0.01882555
75	-3	0.34641016	0.01858353
76	-3	0.34412360	0.01834812
77	-2	0.22792115	0.01207936
78	-3	0.33968311	0.01789604
79	-4	0.45003516	0.02357183
80	-4	0.44721360	0.02328976
81	-4	0.44444444	0.02301487
82	-3	0.33129458	0.01706018
83	-4	0.43905704	0.02248559
84	-4	0.43643578	0.02223068
85	-3	0.32539569	0.01648646
86	-2	0.21566555	0.01086958
87	-1	0.10721125	0.00537552
88	-1	0.10660036	0.00531764
89	-2	0.21199958	0.01052219
90	-2	0.21081851	0.01041167
91	-1	0.10482848	0.00515182
92	-1	0.10425721	0.00509901
93	0	0.00000000	0.00000000
94	1	0.10314212	0.00499683
95	2	0.20519567	0.00989477
96	2	0.20412415	0.00979799
97	1	0.10153462	0.00485162
98	1	0.10101525	0.00480523
99	1	0.10050378	0.00475980
100	1	0.10000000	0.00471529
200	-8	0.56568542	0.02015111
300	-5	0.28867513	0.00887327
400	1	0.05000000	0.00139285
500	-6	0.26832816	0.00694766
600	4	0.16329932	0.00399063
700	-4	0.15118579	0.00352278
800	1	0.03535534	0.00079123
900	1	0.03333333	0.00072037
1000	2	0.06324555	0.00132543
1100	-11	0.33166248	0.00676270
1200	-4	0.11547005	0.00229703
1300	0	0.00000000	0.00000000
1400	8	0.21380899	0.00407419
1500	-3	0.07745967	0.00144830
1600	-7	0.17500000	0.00321506
1700	-13	0.31529631	0.00569852
1800	-6	0.14142136	0.00251715
1900	-3	0.06882472	0.00120752
2000	5	0.11180340	0.00193519
2100	0	0.00000000	0.00000000
2200	9	0.19188064	0.00323949
2300	-2	0.04170288	0.00069600
2400	-12	0.24494897	0.00404349
2500	-1	0.02000000	0.00032671
2600	4	0.07844645	0.00126872
2700	-6	0.11547005	0.00184971
2800	-22	0.41576092	0.00659918
2900	-18	0.33425161	0.00525882
3000	-6	0.10954451	0.00170891
3100	3	0.05388159	0.00083372
3200	11	0.19445436	0.00298520
3300	20	0.34815531	0.00530424
3400	15	0.25724788	0.00389052
3500	12	0.20283702	0.00304587
3600	0	0.00000000	0.00000000
3700	-7	0.11507929	0.00170477
3800	-7	0.11355499	0.00167133
3900	-9	0.14411534	0.00210781
4000	-9	0.14230249	0.00206861
4100	-20	0.31234752	0.00451360
4200	-7	0.10801234	0.00155184
4300	-12	0.18299828	0.00261440
4400	-9	0.13568011	0.00192778
4500	-4	0.05962848	0.00084270
4600	-1	0.01474420	0.00020729
4700	-2	0.02917300	0.00040806
4800	9	0.12990381	0.00180801
4900	19	0.27142857	0.00375946
5000	2	0.02828427	0.00038990
5100	-1	0.01400280	0.00019213
5200	0	0.00000000	0.00000000
5300	-2	0.02747211	0.00037357
5400	10	0.13608276	0.00184245
5500	10	0.13483997	0.00181786
