N	Q	Q*ln(N)	bt_v	vt_G_v	M(N)	|M|_ratio	ln(N)
10	0.1813628457	0.417603	0.68110215	0.54356715	-1	0.05964426	2.302585
20	0.1365588874	0.409094	0.83584761	0.80825412	-3	0.07474812	2.995732
30	0.1417975938	0.482282	0.88989461	0.92158681	-3	0.04734749	3.401197
50	0.1575284211	0.616255	0.97300663	1.10354169	-3	0.02772257	3.912023
75	0.1849496443	0.798518	1.00714830	1.19924624	-3	0.01858353	4.317488
100	0.2093265555	0.963984	1.02339752	1.25612161	1	0.00471529	4.605170
150	0.2557352949	1.281396	1.06736163	1.39045855	0	0.00000000	5.010635
200	0.2995391567	1.587054	1.10143195	1.50240306	-8	0.02015111	5.298317
300	0.3712244481	2.117384	1.12348388	1.61819222	-5	0.00887327	5.703782
400	0.4301328262	2.577126	1.11206601	1.65426484	1	0.00139285	5.991465
500	0.4989208812	3.100598	1.15570905	1.81033899	-6	0.00694766	6.214608
750	0.6349407921	4.203355	1.16956450	1.97406979	-2	0.00166638	6.620073
1000	0.7448306383	5.145108	1.13264363	2.01011790	2	0.00132543	6.907755
1500	0.9689206481	7.085930	1.13787864	2.24467793	-3	0.00144830	7.313220
2000	1.2004879826	9.124792	1.20785401	2.61619600	5	0.00193519	7.600902
