j	k	tau	M_jk	G_jk
1	1	0.00000000	0.2606119577	0.2606119577
1	2	0.69314718	0.1679697391	0.2375450831
1	3	1.09861229	0.1322025790	0.2289815837
1	4	1.38629436	0.1123653970	0.2247307939
1	5	1.60943791	0.0992403594	0.2219081898
1	6	1.79175947	0.0899577067	0.2203504797
1	7	1.94591015	0.0827835956	0.2190248066
1	8	2.07944154	0.0770991565	0.2180693456
1	9	2.19722458	0.0723904091	0.2171712273
1	10	2.30258509	0.0684210855	0.2163664703
1	11	2.39789527	0.0651732289	0.2161551466
1	12	2.48490665	0.0623497270	0.2159857901
1	13	2.56494936	0.0597482493	0.2154253765
1	14	2.63905733	0.0575195835	0.2152185744
1	15	2.70805020	0.0554880343	0.2149042327
1	16	2.77258872	0.0537068899	0.2148275597
1	17	2.83321334	0.0520632273	0.2146621852
1	18	2.89037176	0.0505484899	0.2144590797
1	19	2.94443898	0.0491470286	0.2142269310
1	20	2.99573227	0.0477774582	0.2136672886
1	21	3.04452244	0.0466907350	0.2139638274
1	22	3.09104245	0.0455706072	0.2137450943
1	23	3.13549422	0.0445041959	0.2134346257
1	24	3.17805383	0.0436266881	0.2137262499
1	25	3.21887582	0.0427029375	0.2135146873
1	26	3.25809654	0.0418408121	0.2133471172
1	27	3.29583687	0.0410148945	0.2131196433
1	28	3.33220451	0.0403027712	0.2132622195
1	29	3.36729583	0.0396161324	0.2133394019
1	30	3.40119738	0.0388852258	0.2129831533
1	31	3.43398720	0.0382611646	0.2130291486
1	32	3.46573590	0.0376567909	0.2130189777
1	33	3.49650756	0.0370603096	0.2128952701
1	34	3.52636052	0.0365157366	0.2129215036
1	35	3.55534806	0.0360005440	0.2129820908
1	36	3.58351894	0.0355097608	0.2130585648
1	37	3.61091791	0.0350135616	0.2129791808
1	38	3.63758616	0.0345138371	0.2127575806
1	39	3.66356165	0.0340640234	0.2127297576
1	40	3.68887945	0.0335239792	0.2120242610
1	41	3.71357207	0.0331887028	0.2125113870
1	42	3.73766962	0.0328408974	0.2128333404
1	43	3.76120012	0.0324324105	0.2126735379
1	44	3.78418963	0.0320350298	0.2124963481
1	45	3.80666249	0.0316577892	0.2123669061
1	46	3.82864140	0.0313096937	0.2123526744
1	47	3.85014760	0.0310192336	0.2126571515
1	48	3.87120101	0.0306877767	0.2126111539
1	49	3.89182030	0.0303384058	0.2123688403
1	50	3.91202301	0.0300138578	0.2122300236
2	2	0.00000000	0.1469729176	0.2939458351
2	3	0.40546511	0.0955845348	0.2341333374
2	4	0.69314718	0.0927699085	0.2623929256
2	5	0.91629073	0.0734751689	0.2323488851
2	6	1.09861229	0.0726291145	0.2515946328
2	7	1.25276297	0.0619256202	0.2317044543
2	8	1.38629436	0.0615236750	0.2460947001
2	9	1.50407740	0.0544612774	0.2310596314
2	10	1.60943791	0.0542182276	0.2424712850
2	11	1.70474809	0.0492130799	0.2308298055
2	12	1.79175947	0.0491351844	0.2407122604
2	13	1.87180218	0.0452346966	0.2306526008
2	14	1.94591015	0.0451793844	0.2390668310
2	15	2.01490302	0.0420820077	0.2304926488
2	16	2.07944154	0.0420776507	0.2380271373
2	17	2.14006616	0.0395460113	0.2305908895
2	18	2.19722458	0.0395143077	0.2370858462
2	19	2.25129180	0.0373751746	0.2303960499
2	20	2.30258509	0.0372945218	0.2358712662
2	21	2.35137526	0.0355420554	0.2303388450
2	22	2.39789527	0.0355083699	0.2355358798
2	23	2.44234704	0.0339179571	0.2300427771
2	24	2.48490665	0.0339473096	0.2351938600
2	25	2.52572864	0.0325747929	0.2303385693
2	26	2.56494936	0.0325347285	0.2346112634
2	27	2.60268969	0.0312850848	0.2298974833
2	28	2.63905733	0.0313155080	0.2343438037
2	29	2.67414865	0.0302520396	0.2303926695
2	30	2.70805020	0.0301844839	0.2338080068
2	31	2.74084002	0.0292161038	0.2300478317
2	32	2.77258872	0.0292202489	0.2337619911
2	33	2.80336038	0.0283039541	0.2299424104
2	34	2.83321334	0.0283147462	0.2334893786
2	35	2.86220088	0.0275091889	0.2301583873
2	36	2.89037176	0.0275181411	0.2334991697
2	37	2.91777073	0.0267588389	0.2301882363
2	38	2.94443898	0.0267375859	0.2330928703
2	39	2.97041447	0.0260391703	0.2299717255
2	40	2.99573227	0.0259713966	0.2322952333
2	41	3.02042489	0.0253739239	0.2297706531
2	42	3.04452244	0.0254160989	0.2329423943
2	43	3.06805294	0.0247926190	0.2299172906
2	44	3.09104245	0.0247907034	0.2325574120
2	45	3.11351531	0.0242089602	0.2296663624
2	46	3.13549422	0.0242153767	0.2322657336
2	47	3.15700042	0.0237387639	0.2301558554
2	48	3.17805383	0.0237258626	0.2324650281
2	49	3.19867312	0.0232148108	0.2298149020
2	50	3.21887582	0.0232165103	0.2321651029
3	3	0.00000000	0.1021017389	0.3063052166
3	4	0.28768207	0.0682164048	0.2363085579
3	5	0.51082562	0.0609168097	0.2359297896
3	6	0.69314718	0.0640204353	0.2716157036
3	7	0.84729786	0.0515767574	0.2363543948
3	8	0.98082925	0.0482046768	0.2361537226
3	9	1.09861229	0.0499642282	0.2596217452
3	10	1.20397280	0.0430753091	0.2359331847
3	11	1.29928298	0.0411040733	0.2361249244
3	12	1.38629436	0.0423404276	0.2540425658
3	13	1.46633707	0.0378287341	0.2362403688
3	14	1.54044504	0.0364601853	0.2362890065
3	15	1.60943791	0.0373112825	0.2502916923
3	16	1.67397643	0.0341109197	0.2363273840
3	17	1.73460106	0.0330853937	0.2362769714
3	18	1.79175947	0.0337571483	0.2480633655
3	19	1.84582669	0.0312986065	0.2362992968
3	20	1.89711998	0.0304467374	0.2358394137
3	21	1.94591015	0.0310302206	0.2462947408
3	22	1.99243016	0.0290763748	0.2362175854
3	23	2.03688193	0.0283996516	0.2359052237
3	24	2.07944154	0.0288962102	0.2451924739
3	25	2.12026354	0.0272867473	0.2363101634
3	26	2.15948425	0.0267383255	0.2361464971
3	27	2.19722458	0.0270940503	0.2438464526
3	28	2.23359222	0.0257853415	0.2363265589
3	29	2.26868354	0.0253372873	0.2363304833
3	30	2.30258509	0.0256187478	0.2430407816
3	31	2.33537492	0.0244953373	0.2362244781
3	32	2.36712361	0.0240968223	0.2360996762
3	33	2.39789527	0.0243669004	0.2424475975
3	34	2.42774824	0.0233825331	0.2361520088
3	35	2.45673577	0.0230692512	0.2363894809
3	36	2.48490665	0.0233099988	0.2422446137
3	37	2.51230562	0.0224246966	0.2362588392
3	38	2.53897387	0.0221196358	0.2361730826
3	39	2.56494936	0.0223379610	0.2416219911
3	40	2.59026717	0.0215070454	0.2355978785
3	41	2.61495978	0.0212720368	0.2359183007
3	42	2.63905733	0.0215100642	0.2414498715
3	43	2.66258783	0.0208205663	0.2364761749
3	44	2.68557735	0.0205438021	0.2360303161
3	45	2.70805020	0.0207179679	0.2407210342
3	46	2.73002911	0.0200934039	0.2360440499
3	47	2.75153531	0.0199076173	0.2363898584
3	48	2.77258872	0.0200614647	0.2407375765
3	49	2.79320801	0.0194756477	0.2361296797
3	50	2.81341072	0.0192724988	0.2360389402
4	4	0.00000000	0.0782570905	0.3130283620
4	5	0.22314355	0.0533229709	0.2384675754
4	6	0.40546511	0.0506132007	0.2479530318
4	7	0.55961579	0.0450949354	0.2386199691
4	8	0.69314718	0.0488824842	0.2765210884
4	9	0.81093022	0.0398185964	0.2389115786
4	10	0.91629073	0.0386275663	0.2443021803
4	11	1.01160091	0.0360195275	0.2389265154
4	12	1.09861229	0.0381549700	0.2643453863
4	13	1.17865500	0.0331655286	0.2391600282
4	14	1.25276297	0.0325055305	0.2432491163
4	15	1.32175584	0.0308799047	0.2391947129
4	16	1.38629436	0.0322797064	0.2582376509
4	17	1.44691898	0.0290386832	0.2394591163
4	18	1.50407740	0.0285831799	0.2425363241
4	19	1.55814462	0.0274561721	0.2393573592
4	20	1.60943791	0.0284064582	0.2540750862
4	21	1.65822808	0.0261145937	0.2393442047
4	22	1.70474809	0.0257772709	0.2418122352
4	23	1.74919985	0.0249278973	0.2390999909
4	24	1.79175947	0.0257267306	0.2520694511
4	25	1.83258146	0.0239546164	0.2395461640
4	26	1.87180218	0.0236881011	0.2415721800
4	27	1.90954250	0.0230265167	0.2392985808
4	28	1.94591015	0.0236409076	0.2501918492
4	29	1.98100147	0.0222497253	0.2396368751
4	30	2.01490302	0.0220106732	0.2411148441
4	31	2.04769284	0.0214899350	0.2393017884
4	32	2.07944154	0.0219902020	0.2487907347
4	33	2.11021320	0.0208335153	0.2393588677
4	34	2.14006616	0.0206793078	0.2411600984
4	35	2.16905370	0.0202475360	0.2395720769
4	36	2.19722458	0.0206661891	0.2479942695
4	37	2.22462355	0.0197020977	0.2396863635
4	38	2.25129180	0.0195425112	0.2409362592
4	39	2.27726729	0.0191786502	0.2395412641
4	40	2.30258509	0.0194813887	0.2464222407
4	41	2.32727771	0.0186789318	0.2392070413
4	42	2.35137526	0.0185892706	0.2409444847
4	43	2.37490575	0.0182618236	0.2395015716
4	44	2.39789527	0.0185647401	0.2462891087
4	45	2.42036813	0.0178334598	0.2392609707
4	46	2.44234704	0.0177304118	0.2405070073
4	47	2.46385324	0.0174815214	0.2396945453
4	48	2.48490665	0.0177492040	0.2459401851
4	49	2.50552594	0.0170948019	0.2393272273
