j	k	tau	M_bd	G_bd	M_hf	G_hf
1	1	0.00000000	0.2606119577	0.2606119577	0.2606119577	0.2606119577
1	2	0.69314718	0.1924232277	0.2721275384	0.1679697391	0.2375450831
1	3	1.09861229	0.1394932918	0.2416094687	0.1322025790	0.2289815837
1	4	1.38629436	0.1071819141	0.2143638282	0.1123653970	0.2247307939
1	5	1.60943791	0.0860404708	0.1923923416	0.0992403594	0.2219081898
1	6	1.79175947	0.0713406402	0.1747481664	0.0899577067	0.2203504797
1	7	1.94591015	0.0606031558	0.1603408789	0.0827835956	0.2190248066
1	8	2.07944154	0.0524634491	0.1483890426	0.0770991565	0.2180693456
1	9	2.19722458	0.0460657829	0.1381973486	0.0723904091	0.2171712273
1	10	2.30258509	0.0409304125	0.1294333291	0.0684210855	0.2163664703
1	11	2.39789527	0.0367604363	0.1219205743	0.0651732289	0.2161551466
1	12	2.48490665	0.0332750067	0.1152680044	0.0623497270	0.2159857901
1	13	2.56494936	0.0303571057	0.1094541012	0.0597482493	0.2154253765
1	14	2.63905733	0.0278442252	0.1041835507	0.0575195835	0.2152185744
1	15	2.70805020	0.0257095489	0.0995726549	0.0554880343	0.2149042327
1	16	2.77258872	0.0238262543	0.0953050172	0.0537068899	0.2148275597
1	17	2.83321334	0.0221796297	0.0914489561	0.0520632273	0.2146621852
1	18	2.89037176	0.0207115421	0.0878716312	0.0505484899	0.2144590797
1	19	2.94443898	0.0194357719	0.0847185658	0.0491470286	0.2142269310
1	20	2.99573227	0.0182646233	0.0816818787	0.0477774582	0.2136672886
1	21	3.04452244	0.0172288604	0.0789525571	0.0466907350	0.2139638274
1	22	3.09104245	0.0162918867	0.0764157222	0.0455706072	0.2137450943
1	23	3.13549422	0.0154455897	0.0740744458	0.0445041959	0.2134346257
1	24	3.17805383	0.0146648215	0.0718426597	0.0436266881	0.2137262499
1	25	3.21887582	0.0139510099	0.0697550494	0.0427029375	0.2135146873
1	26	3.25809654	0.0132959201	0.0677961562	0.0418408121	0.2133471172
1	27	3.29583687	0.0127123681	0.0660554025	0.0410148945	0.2131196433
1	28	3.33220451	0.0121462805	0.0642720749	0.0403027712	0.2132622195
1	29	3.36729583	0.0116444319	0.0627071847	0.0396161324	0.2133394019
1	30	3.40119738	0.0111629009	0.0611417265	0.0388852258	0.2129831533
1	31	3.43398720	0.0107229638	0.0597029355	0.0382611646	0.2130291486
1	32	3.46573590	0.0103217170	0.0583884487	0.0376567909	0.2130189777
1	33	3.49650756	0.0099248336	0.0570138282	0.0370603096	0.2128952701
1	34	3.52636052	0.0095556725	0.0557186669	0.0365157366	0.2129215036
1	35	3.55534806	0.0092156688	0.0545206316	0.0360005440	0.2129820908
1	36	3.58351894	0.0089067623	0.0534405736	0.0355097608	0.2130585648
1	37	3.61091791	0.0086101834	0.0523737010	0.0350135616	0.2129791808
1	38	3.63758616	0.0083371891	0.0513938855	0.0345138371	0.2127575806
1	39	3.66356165	0.0080645676	0.0503632087	0.0340640234	0.2127297576
