k	lhs_k54log	rhs_Gkm1_Gk	ratio	margin	holds
3	2.782549405417995e-1	-2.893723046366670e-1	-0.9615811053	-5.676272451784665e-1	false
4	2.450645358671368e-1	-2.616891840681254e-1	-0.9364717795	-5.067537199352622e-1	false
5	2.152592000803593e-1	-2.297121916290116e-1	-0.9370821747	-4.449713917093709e-1	false
6	1.908053928885378e-1	-2.026097839646700e-1	-0.9417382969	-3.934151768532078e-1	false
7	1.709032151924051e-1	-1.805186246576953e-1	-0.9467345296	-3.514218398501004e-1	false
8	1.545554172873680e-1	-1.624701993900272e-1	-0.9512847148	-3.170256166773953e-1	false
9	1.409520223550142e-1	-1.475531614030210e-1	-0.9552626390	-2.885051837580352e-1	false
10	1.294838752557815e-1	-1.350608985376795e-1	-0.9587073436	-2.645447737934610e-1	false
11	1.196986783210658e-1	-1.244665787321490e-1	-0.9616933280	-2.441652570532148e-1	false
12	1.112585820521066e-1	-1.153782414552453e-1	-0.9642943128	-2.266368235073519e-1	false
13	1.039081480326026e-1	-1.075014898272892e-1	-0.9665740279	-2.114096378598918e-1	false
14	9.745155651178490e-2	-1.006122752874778e-1	-0.9685851576	-1.980638317992627e-1	false
15	9.173659938844821e-2	-9.453769419395507e-2	-0.9703706037	-1.862742935824033e-1	false
16	8.664339756999316e-2	-8.914248930116569e-2	-0.9719652014	-1.757858868711589e-1	false
17	8.207636740543037e-2	-8.431949282306062e-2	-0.9733973089	-1.663958602284910e-1	false
18	7.795842809076776e-2	-7.998278180404766e-2	-0.9746901312	-1.579412098948154e-1	false
19	7.422676909203832e-2	-7.606271176034726e-2	-0.9758627766	-1.502894808523856e-1	false
20	7.082971651334234e-2	-7.250226499931348e-2	-0.9769310864	-1.433319815126558e-1	false
21	6.772438355744047e-2	-6.925433061659221e-2	-0.9779082832	-1.369787141740327e-1	false
22	6.487488765994828e-2	-6.627965329511015e-2	-0.9788054770	-1.311545409550584e-1	false
23	6.225098231403621e-2	-6.354526834205972e-2	-0.9796320629	-1.257962506560959e-1	false
24	5.982699601421553e-2	-6.102329459558161e-2	-0.9803960342	-1.208502906097971e-1	false
25	5.758100124428804e-2	-5.868999381531880e-2	-0.9811042309	-1.162709950596068e-1	false
26	5.549415762896435e-2	-5.652503070948107e-2	-0.9817625383	-1.120191883384454e-1	false
27	5.355018827505041e-2	-5.451088559991205e-2	-0.9823760463	-1.080610738749625e-1	false
28	5.173495893437134e-2	-5.263238434928488e-2	-0.9829491780	-1.043673432836562e-1	false
29	5.003613725192478e-2	-5.087631920368180e-2	-0.9834857953	-1.009124564556066e-1	false
30	4.844291491243773e-2	-4.923114073349836e-2	-0.9839892838	-9.767405564593609e-2	false
50	2.942313162887643e-2	-2.971952552210610e-2	-0.9900269642	-5.914265715098253e-2	false
100	1.456282680042360e-2	-1.463853495203993e-2	-0.9948281606	-2.920136175246354e-2	false
200	7.044504877806200e-3	-7.063258421857439e-3	-0.9973449161	-1.410776329966364e-2	false
500	2.628459206726654e-3	-2.631325779728961e-3	-0.9989105975	-5.259784986455614e-3	false
1000	1.228391898220161e-3	-1.229071201624801e-3	-0.9994473035	-2.457463099844961e-3	false
