N	S2	S2_plus1	C2_eff	N_inv_quarter_logN	bound_C5
10	-0.783767345636175	2.162326543638254e-1	0.1669958162	1.294838752557815e0	6.474193762789075e0
20	-1.151650927724895	1.516509277248947e-1	0.1070531799	1.416594330266847e0	7.082971651334233e0
50	-1.079846689685632	7.984668968563180e-2	0.0542747731	1.471156581443822e0	7.355782907219108e0
100	-0.857668514096938	1.423314859030619e-1	0.0977361661	1.456282680042360e0	7.281413400211802e0
200	-1.162300727354557	1.623007273545571e-1	0.1151966889	1.408900975561240e0	7.044504877806199e0
500	-1.052454161898269	5.245416189826946e-2	0.0399124793	1.314229603363327e0	6.571148016816634e0
1000	-0.969930807382236	3.006919261776408e-2	0.0244785013	1.228391898220161e0	6.141959491100805e0
2000	-0.974577679265468	2.542232073453188e-2	0.0223669895	1.136600022905763e0	5.683000114528815e0
5000	-0.993341856369620	6.658143630380309e-3	0.0065735378	1.012870674308492e0	5.064353371542461e0
10000	-1.019210036152189	1.921003615218897e-2	0.0208570317	9.210340371976184e-1	4.605170185988092e0
20000	-0.986124531449013	1.387546855098654e-2	0.0166616112	8.327807181437412e-1	4.163903590718706e0
50000	-0.994270280583583	5.729719416416867e-3	0.0079187657	7.235621829693801e-1	3.617810914846900e0
100000	-1.005584679888992	5.584679888991584e-3	0.0086260623	6.474193762789074e-1	3.237096881394537e0
200000	-0.999713529044650	2.864709553501710e-4	0.0004963204	5.771895391696679e-1	2.885947695848339e0
500000	-0.999921537787527	7.846221247309604e-5	0.0001589978	4.934800030567033e-1	2.467400015283516e0
1000000	-0.997214695224696	2.785304775304365e-3	0.0063753757	4.368848040127080e-1	2.184424020063540e0
2000000	-1.001658273732925	1.658273732924709e-3	0.0042981987	3.858066746048626e-1	1.929033373024313e0
5000000	-1.002124818545964	2.124818545963914e-3	0.0065138931	3.261979450530145e-1	1.630989725265073e0
10000000	-0.998360945236568	1.639054763431957e-3	0.0057184685	2.866247762513709e-1	1.433123881256855e0
