k,mu,c_star,f_k,f_sqrt_k
1,1,-0.9224460896,0.9224460896,0.9224460896
2,-1,0.9448887337,0.9448887337,1.3362744621
3,-1,0.9379422470,0.9379422470,1.6245636264
5,-1,0.8501063838,0.8501063838,1.9008956622
6,1,-0.7353465770,0.7353465770,1.8012238978
7,-1,0.7806449481,0.7806449481,2.0653923950
10,1,-0.6485264853,0.6485264853,2.0508208164
11,-1,0.6937593407,0.6937593407,2.3009394278
13,-1,0.6771037380,0.6771037380,2.4413322462
14,1,-0.5991859543,0.5991859543,2.2419485518
15,1,-0.6026026404,0.6026026404,2.3338699906
17,-1,0.6300152591,0.6300152591,2.5976194591
19,-1,0.6119406463,0.6119406463,2.6673874368
21,1,-0.5117119969,0.5117119969,2.3449589600
22,1,-0.5134456248,0.5134456248,2.4082734502
23,-1,0.5657518998,0.5657518998,2.7132507954
26,1,-0.5024359644,0.5024359644,2.5619307867
29,-1,0.5541027671,0.5541027671,2.9839347208
30,-1,0.4085826111,0.4085826111,2.2378991270
31,-1,0.4883959098,0.4883959098,2.7192733417
33,1,-0.5384834245,0.5384834245,3.0933517660
34,1,-0.4000862888,0.4000862888,2.3328839041
35,1,-0.4914774775,0.4914774775,2.9076199686
37,-1,0.5301383355,0.5301383355,3.2247056031
38,1,-0.5496511631,0.5496511631,3.3882773263
39,1,-0.4699878420,0.4699878420,2.9350731324
41,-1,0.4588986022,0.4588986022,2.9383847620
42,-1,0.3648876408,0.3648876408,2.3647421840
43,-1,0.3821775010,0.3821775010,2.5061054684
46,1,-0.3904637295,0.3904637295,2.6482538602
47,-1,0.4103742993,0.4103742993,2.8133844527
51,1,-0.4421277820,0.4421277820,3.1574239111
53,-1,0.4769999837,0.4769999837,3.4726122987
55,1,-0.4341031061,0.4341031061,3.2193947989
57,1,-0.3761230989,0.3761230989,2.8396671237
58,1,-0.4557707078,0.4557707078,3.4710462990
59,-1,0.4065905132,0.4065905132,3.1230809919
61,-1,0.4185245410,0.4185245410,3.2687811610
62,1,-0.3481114482,0.3481114482,2.7410322843
65,1,-0.4365634471,0.4365634471,3.5196870339
66,-1,0.5274539850,0.5274539850,4.2850564309
67,-1,0.4314958883,0.4314958883,3.5319460652
69,1,-0.4850196099,0.4850196099,4.0288754655
70,-1,0.3531349293,0.3531349293,2.9545387930
71,-1,0.3709156568,0.3709156568,3.1253908776
73,-1,0.3534388364,0.3534388364,3.0197827419
74,1,-0.3508255490,0.3508255490,3.0179154844
77,1,-0.3272462690,0.3272462690,2.8715743560
78,-1,0.3140672511,0.3140672511,2.7737668573
79,-1,0.3519912705,0.3519912705,3.1285668450
82,1,-0.3838313953,0.3838313953,3.4757411124
83,-1,0.3040142263,0.3040142263,2.7697014156
85,1,-0.3978450219,0.3978450219,3.6679498669
86,1,-0.1917832844,0.1917832844,1.7785250135
87,1,-0.4343366525,0.4343366525,4.0512225944
89,-1,0.4070252496,0.4070252496,3.8398685250
91,1,-0.3626496612,0.3626496612,3.4594572819
93,1,-0.3820949234,0.3820949234,3.6847899986
94,1,-0.2391826785,0.2391826785,2.3189621061
95,1,-0.3167546942,0.3167546942,3.0873428624
97,-1,0.4009395682,0.4009395682,3.9487967938
101,-1,0.1057910032,0.1057910032,1.0631864237
102,-1,0.2486901663,0.2486901663,2.5116475625
103,-1,0.2123149042,0.2123149042,2.1547609404
105,-1,0.2547843618,0.2547843618,2.6107628117
106,1,-0.3364857073,0.3364857073,3.4643323898
107,-1,0.1928851939,0.1928851939,1.9952199603
109,-1,0.1355253953,0.1355253953,1.4149266663
110,-1,0.2327534485,0.2327534485,2.4411387627
111,1,-0.3014046802,0.3014046802,3.1754953502
113,-1,0.2519857935,0.2519857935,2.6786457281
114,-1,0.4584889800,0.4584889800,4.8953227167
115,1,-0.1623277558,0.1623277558,1.7407712475
118,1,-0.3886198835,0.3886198835,4.2214924886
119,1,-0.2422267823,0.2422267823,2.6423822351
122,1,-0.2825237968,0.2825237968,3.1205773318
123,1,-0.2062123622,0.2062123622,2.2870057315
127,-1,0.2340382953,0.2340382953,2.6374776407
129,1,-0.2357549926,0.2357549926,2.6776619896
130,-1,0.2740735165,0.2740735165,3.1249188816
131,-1,0.2280966849,0.2280966849,2.6106858859
133,1,-0.2069139435,0.2069139435,2.3862480049
134,1,-0.3693666367,0.3693666367,4.2757279441
137,-1,0.2461118457,0.2461118457,2.8806652989
138,-1,0.3308619920,0.3308619920,3.8867483541
139,-1,0.2425549127,0.2425549127,2.8596802455
141,1,-0.1565904863,0.1565904863,1.8594090024
142,1,-0.2503206891,0.2503206891,2.9829152737
143,1,-0.1903802663,0.1903802663,2.2766168645
145,1,-0.3110650607,0.3110650607,3.7457193490
146,1,-0.2863995637,0.2863995637,3.4605790953
149,-1,0.1670162835,0.1670162835,2.0386935537
151,-1,0.1364307574,0.1364307574,1.6764892144
154,-1,0.2914109521,0.2914109521,3.6163148126
155,1,-0.1558820079,0.1558820079,1.9407153479
157,-1,0.2025712028,0.2025712028,2.5382098960
158,1,-0.2554658542,0.2554658542,3.2111559939
159,1,-0.2441681998,0.2441681998,3.0788438509
161,1,-0.2327462561,0.2327462561,2.9532189175
