t	log_zeta_norm	log_2pt	ratio	log_sq
10.000000	1.844224496136447e-1	2.484906649788000e0	7.421705343714972e-2	6.174761058160624e0
20.000000	2.990559269810291e-2	3.091042453358316e0	9.674921373406394e-3	9.554543448463397e0
50.000000	2.426555858269863e-1	3.951243718581428e0	6.141245721843359e-2	1.561232692362919e1
100.000000	1.757349028384403e-1	4.624972813284271e0	3.799695910291157e-2	2.139037352361862e1
200.000000	3.867757293738757e-1	5.308267697401205e0	7.286289076250457e-2	2.817770594727309e1
500.000000	7.179983851865250e-2	6.218600119691729e0	1.154598095016468e-2	3.867098744862999e1
1000.000000	4.091172980556217e-2	6.909753281644810e0	5.920866945313489e-3	4.774469041320122e1
2000.000000	2.349547171967159e-1	7.601901959875166e0	3.090735955776180e-2	5.778891340755388e1
5000.000000	2.178062908048115e-1	8.517593111437565e0	2.557134250899325e-2	7.254939241200866e1
10000.000000	4.140311785317941e-2	9.210540351978850e0	4.495188802281736e-3	8.483405357543067e1
