sigma	max_inv_zeta	t_at_max	growth_exponent	polynomial
0.510000	6.389758310374540e1	465397.231723	3.168089023295996e-1	true
0.520000	5.386010121523924e2	465397.231723	4.792562801936430e-1	true
0.550000	6.883824455032926e1	105968.476848	3.224845516680282e-1	true
0.600000	6.343246767869012e1	422793.823382	3.162521658257837e-1	true
0.650000	1.795902616159717e2	241579.325933	3.955596855904567e-1	true
0.700000	3.666723268189119e1	451546.123612	2.744843600342732e-1	true
0.750000	4.076253241616118e2	264831.186119	4.580233191608754e-1	true
0.800000	2.888519912734598e1	406392.511251	2.563051507016285e-1	true
0.900000	7.328703362498167e0	17761.420142	1.517865759661210e-1	true
1.000000	4.091573103183265e0	17761.420142	1.073685796826789e-1	true
1.200000	2.588003946428584e0	164773.181318	7.246308261589286e-2	true
1.500000	1.906766286754446e0	164773.181318	4.918388137062499e-2	true
2.000000	1.452338582420520e0	89817.184718	2.843809929447202e-2	true
