eps	t	R	M_disk	log_zeta_center	BC_bound	A_BC	actual_zeta_target	gap
0.1	50	1.450000	2.346864058736106e-1	2.431665721975082e-1	2.700293334418014e1	6.902549731101296e0	3.073426708283639e-1	0.050000
0.1	100	1.450000	9.139564876775144e-1	1.756232337103336e-1	6.119208763142976e1	1.328769299723508e1	2.345896179804772e0	0.050000
0.1	200	1.450000	1.671121428662205e0	3.868943868702478e-1	1.156357800566875e2	2.182500066658457e1	4.697327758252198e0	0.050000
0.1	500	1.450000	9.344847000621463e-1	7.060514179761926e-2	5.635563628594443e1	9.068252638529597e0	1.222398202095945e0	0.050000
0.1	1000	1.450000	6.552036270477406e-1	4.116488452596791e-2	3.903780153265361e1	5.651300597088590e0	8.914485112325234e-1	0.050000
0.1	2000	1.450000	2.017753654664696e-1	2.361011651704270e-1	2.475718688083661e1	3.257137821806506e0	6.340039100893391e-1	0.050000
0.1	5000	1.450000	1.860288081117526e-3	2.167427822724308e-1	1.245851472207113e1	1.462748870675731e0	6.320541779416599e-1	0.050000
0.1	10000	1.450000	8.893094329928289e-1	4.309632512310686e-2	5.225781877961546e1	5.673820583071779e0	4.446395823913937e-1	0.050000
0.25	50	1.375000	1.775702835201416e-1	2.431665721975082e-1	8.657903686550503e0	2.213152549087055e0	3.914731915364116e-1	0.125000
0.25	100	1.375000	8.235098748380005e-1	1.756232337103336e-1	2.015828540467702e1	4.377316057941044e0	1.995687757758477e0	0.125000
0.25	200	1.375000	1.552537593088365e0	3.868943868702478e-1	3.917553398604251e1	7.393957604990768e0	3.776506184615414e0	0.125000
0.25	500	1.375000	8.087554072591017e-1	7.060514179761926e-2	1.765781612293204e1	2.841340249180818e0	1.140639842022276e0	0.125000
0.25	1000	1.375000	5.116508175415305e-1	4.116488452596791e-2	1.109747892587594e1	1.606524620181849e0	8.887270312636550e-1	0.125000
0.25	2000	1.375000	1.546941896365928e-1	2.361011651704270e-1	8.052008261310821e0	1.059348979173180e0	5.461478264485593e-1	0.125000
0.25	5000	1.375000	-7.238985117317848e-2	2.167427822724308e-1	4.551598427721047e0	5.344012194426000e-1	5.927484037308708e-1	0.125000
0.25	10000	1.375000	7.067056284124899e-1	4.309632512310686e-2	1.503913539583504e1	1.632853378751759e0	6.378654458085654e-1	0.125000
0.5	50	1.250000	9.883500272831493e-2	2.431665721975082e-1	2.979179171604093e0	7.615443895576071e-1	5.231890581175177e-1	0.250000
0.5	100	1.250000	6.912556063063631e-1	1.756232337103336e-1	7.110653953843907e0	1.544058887438974e0	1.632168664829385e0	0.250000
0.5	200	1.250000	1.370410060975551e0	3.868943868702478e-1	1.444532996963664e1	2.726399528431433e0	2.796961964310387e0	0.250000
0.5	500	1.250000	6.403661712977118e-1	7.060514179761926e-2	5.758375646560268e0	9.265870921164352e-1	1.127745748089189e0	0.250000
0.5	1000	1.250000	3.282506306529475e-1	4.116488452596791e-2	2.996489005957291e0	4.337862134570040e-1	9.424755047004048e-1	0.250000
0.5	2000	1.250000	9.019096316114426e-2	2.361011651704270e-1	2.846438191822997e0	3.744868727067551e-1	5.571856616349142e-1	0.250000
0.5	5000	1.250000	-8.335287021918809e-2	2.167427822724308e-1	1.950685040451877e0	2.290290940468286e-1	6.287535252546365e-1	0.250000
