eps	t	min_zeta	at_sigma	A_effective
0.1000	10.0000	1.200573642057520e0	2.0000	-7.938880442496071e-2
0.1000	343.0000	1.307502526215039e0	2.0000	-4.592861069508114e-2
0.1000	676.0000	4.756388731863901e-1	0.6000	1.140384230164676e-1
0.1000	1009.0000	4.338736402175370e-1	0.6476	1.207223279244468e-1
0.1000	1342.0000	1.219354436625254e0	2.0000	-2.753733307144815e-2
0.1000	1675.0000	1.147088580473018e0	2.0000	-1.848532335334706e-2
0.1000	2008.0000	8.573000239936800e-1	1.5464	2.024582138495361e-2
0.1000	2341.0000	3.242142470426655e-1	0.6000	1.451794680054105e-1
0.1000	2674.0000	1.231500608247021e0	0.6000	-2.638761938645157e-2
0.1000	3007.0000	2.690652928434422e-1	0.6000	1.639219227035638e-1
0.1000	3340.0000	4.788197560118086e-1	0.6000	9.076360686013094e-2
0.1000	3673.0000	7.874066457731916e-1	0.6000	2.911649780955767e-2
0.1000	4006.0000	1.049187246107984e0	0.6000	-5.788142039959808e-3
0.1000	4339.0000	1.531048898653579e-1	0.6000	2.240647873813001e-1
0.1000	4672.0000	7.621924905168534e-1	0.6000	3.213932234159909e-2
0.1000	5005.0000	1.341404515060321e0	2.0000	-3.448116534082211e-2
0.1000	5338.0000	1.113092064345177e0	2.0000	-1.248359554716160e-2
0.1000	5671.0000	3.205214674089074e-1	0.6000	1.316429628882539e-1
0.1000	6004.0000	5.493321872410516e-1	0.6000	6.885511120331746e-2
0.1000	6337.0000	1.117533249393988e0	0.6000	-1.269382681192458e-2
0.1000	6670.0000	2.971413336486021e-1	0.6000	1.378189302959813e-1
0.1000	7003.0000	6.086190411178727e-1	0.9696	5.608284263015875e-2
0.1000	7336.0000	4.829684666367827e-1	0.6000	8.177067648158852e-2
0.1000	7669.0000	1.447784743994395e0	2.0000	-4.136803187916405e-2
0.1000	8002.0000	8.655900965905109e-1	0.6280	1.606060268614103e-2
0.1000	8335.0000	2.828307956335462e-1	0.6000	1.398843430900173e-1
0.1000	8668.0000	2.654119612766765e-1	0.6000	1.462903434517341e-1
0.1000	9001.0000	1.324151864433805e0	2.0000	-3.083683110534899e-2
0.1000	9334.0000	1.060025488408673e0	2.0000	-6.376794890604533e-3
0.1000	9667.0000	6.588520447985486e-1	0.6952	4.547022267217197e-2
0.2500	10.0000	1.200573642057520e0	2.0000	-7.938880442496071e-2
0.2500	343.0000	1.307502526215039e0	2.0000	-4.592861069508114e-2
0.2500	676.0000	6.153434450967817e-1	0.7500	7.451816023111477e-2
0.2500	1009.0000	4.482402651435545e-1	0.7500	1.160125698171175e-1
0.2500	1342.0000	1.219354436625254e0	2.0000	-2.753733307144815e-2
0.2500	1675.0000	1.147088580473018e0	2.0000	-1.848532335334706e-2
0.2500	2008.0000	8.573000108322790e-1	1.5450	2.024582340367366e-2
0.2500	2341.0000	4.085325436504323e-1	0.7500	1.153835041233209e-1
0.2500	2674.0000	1.249163183090829e0	2.0000	-2.819218715256554e-2
0.2500	3007.0000	4.820473593005307e-1	0.7500	9.111504732418235e-2
0.2500	3340.0000	5.836661421987117e-1	0.7500	6.635991013675335e-2
0.2500	3673.0000	8.650557748109103e-1	0.7500	1.765933260715553e-2
0.2500	4006.0000	1.178802943858297e0	2.0000	-1.982984836884019e-2
0.2500	4339.0000	2.821535302374565e-1	0.7500	1.510738646193120e-1
0.2500	4672.0000	9.005743159693325e-1	0.7500	1.239417031761907e-2
0.2500	5005.0000	1.341404515060321e0	2.0000	-3.448116534082211e-2
0.2500	5338.0000	1.113092064345177e0	2.0000	-1.248359554716160e-2
0.2500	5671.0000	3.688831108988886e-1	0.7500	1.153837238691297e-1
0.2500	6004.0000	6.537326817019095e-1	0.7500	4.885608072306221e-2
0.2500	6337.0000	1.386354540289079e0	2.0000	-3.731684606726131e-2
0.2500	6670.0000	4.287413067563444e-1	0.7500	9.618006537304256e-2
0.2500	7003.0000	6.086192791192102e-1	0.9700	5.608279846399752e-2
0.2500	7336.0000	7.691939427570520e-1	0.7500	2.948269141807547e-2
0.2500	7669.0000	1.447784743994395e0	2.0000	-4.136803187916405e-2
0.2500	8002.0000	9.049202844170989e-1	0.7500	1.111644107828853e-2
0.2500	8335.0000	4.585638219564217e-1	0.7500	8.635765452436284e-2
0.2500	8668.0000	3.764129788437784e-1	0.7500	1.077562592983269e-1
0.2500	9001.0000	1.324151864433805e0	2.0000	-3.083683110534899e-2
0.2500	9334.0000	1.060025488408673e0	2.0000	-6.376794890604533e-3
0.2500	9667.0000	6.623419803108379e-1	0.7500	4.489450971836071e-2
0.5000	10.0000	1.200573642057520e0	2.0000	-7.938880442496071e-2
0.5000	343.0000	1.307502526215039e0	2.0000	-4.592861069508114e-2
0.5000	676.0000	7.507747325745900e-1	1.0000	4.399035226456286e-2
0.5000	1009.0000	5.197492983525831e-1	1.0000	9.461264491744958e-2
0.5000	1342.0000	1.219354436625254e0	2.0000	-2.753733307144815e-2
0.5000	1675.0000	1.147088580473018e0	2.0000	-1.848532335334706e-2
0.5000	2008.0000	8.572999850798912e-1	1.5460	2.024582735362265e-2
0.5000	2341.0000	5.844869422731327e-1	1.0000	6.921858161477963e-2
0.5000	2674.0000	1.249163183090829e0	2.0000	-2.819218715256554e-2
0.5000	3007.0000	6.800794825814052e-1	1.0000	4.814085793774323e-2
0.5000	3340.0000	6.931136964326569e-1	1.0000	4.517791520799593e-2
0.5000	3673.0000	9.753266238792815e-1	1.0000	3.043438097852717e-3
0.5000	4006.0000	1.178802943858297e0	2.0000	-1.982984836884019e-2
0.5000	4339.0000	4.618671887188681e-1	1.0000	9.223177097555307e-2
0.5000	4672.0000	9.166566354030501e-1	2.0000	1.029930080284516e-2
0.5000	5005.0000	1.341404515060321e0	2.0000	-3.448116534082211e-2
0.5000	5338.0000	1.113092064345177e0	2.0000	-1.248359554716160e-2
0.5000	5671.0000	4.625148766711378e-1	1.0000	8.921274841019727e-2
0.5000	6004.0000	7.630830548356008e-1	1.0000	3.107847924493886e-2
0.5000	6337.0000	1.386354540289079e0	2.0000	-3.731684606726131e-2
0.5000	6670.0000	6.733263889302250e-1	1.0000	4.491859625950240e-2
0.5000	7003.0000	6.090081841631831e-1	1.0000	5.601065200383180e-2
0.5000	7336.0000	8.905789920089158e-1	1.0000	1.301981201083793e-2
0.5000	7669.0000	1.447784743994395e0	2.0000	-4.136803187916405e-2
0.5000	8002.0000	9.993253226894803e-1	1.0000	7.509418675742303e-5
