N	d_squared	cov_quad	mean_resid_sq	gram_quad	mean_proj	inv_log_N	d_sq_times_logN	lambda_min	lambda_max	condition	frob_norm	trace_C
5	1.127484601537436e0	4.943255113047468e-2	1.078052050406962e0	5.089889378833243e-2	-3.829285387455195e-2	6.213349345596119e-1	1.814616463400005e0	-2.434871888581147e-1	6.812752883915213e-2	2.797992e-1	2.606334733028202e-1	-8.687165128220581e-2
10	6.189198678354704e-1	6.944341962084338e-2	5.494764482146272e-1	1.363862955820431e-1	2.587332138732863e-1	4.342944819032518e-1	1.425115661435799e0	-3.175929251456634e-1	1.413007146924336e-1	4.449114e-1	3.612995872228589e-1	5.458528839858708e-2
15	4.699793678981160e-1	6.982320146910602e-2	4.001561664290101e-1	2.048214071216601e-1	3.674210196117720e-1	3.692693730688550e-1	1.272727721750383e0	-3.324062740591742e-1	2.382963082465105e-1	7.168827e-1	4.240589897421698e-1	2.187074262496300e-1
20	4.019295238372991e-1	6.846355297879300e-2	3.334659708585060e-1	2.469992733745172e-1	4.225348747686091e-1	3.338082006953341e-1	1.204073246253585e0	-3.364436238497446e-1	3.334882317507369e-1	9.912158e-1	4.891192862367961e-1	3.709057245193336e-1
30	3.286072993543712e-1	6.586231094085354e-2	2.627449884135177e-1	3.034341658524875e-1	4.874134332490582e-1	2.940141037952060e-1	1.117658286159159e0	-3.381906136983391e-1	5.044993511100081e-1	1.491760e0	6.228973649962285e-1	6.319468805597116e-1
50	2.568301692998219e-1	6.134188685544131e-2	1.954882824443809e-1	3.725490320038126e-1	5.578594313519953e-1	2.556222186353315e-1	1.004725530788909e0	-3.384394321495527e-1	7.739482521916451e-1	2.286815e0	8.608744407730982e-1	1.029043876901438e0
75	2.195823182245319e-1	5.815826181344168e-2	1.614240564110902e-1	4.160300637666400e-1	5.982238727710540e-1	2.316161558997168e-1	9.480440488771642e-1	-3.384518033745785e-1	1.021440285043853e0	3.017979e0	1.093736770212728e0	1.389729471381676e0
100	1.983627944777155e-1	5.605988189250978e-2	1.423029125852053e-1	4.439016289159476e-1	6.227694172191161e-1	2.171472409516259e-1	9.134944271380586e-1	-3.384930681262946e-1	1.210283286146019e0	3.575504e0	1.276195083808337e0	1.665930484511143e0
150	1.723478824959804e-1	5.299819905488271e-2	1.193496834410975e-1	4.814074120034858e-1	6.545297647537527e-1	1.995754911913551e-1	8.635723828971138e-1	-3.385793874532663e-1	1.489249970516305e0	4.398525e0	1.550390746490423e0	2.078958659004752e0
200	1.573617458204848e-1	5.106920375729557e-2	1.062925420631898e-1	5.053110052697518e-1	6.739746297246335e-1	1.887391658177549e-1	8.337524707109925e-1	-3.386402600474991e-1	1.693011846072862e0	4.999441e0	1.753204240044831e0	2.386107743400715e0
300	1.402864307404619e-1	4.843467909431447e-2	9.185175164614774e-2	5.341453526203670e-1	6.969294609399526e-1	1.753222540381461e-1	8.001632850895174e-1	-3.387073290495488e-1	1.983969247842227e0	5.857474e0	2.045753541438278e0	2.835105936261860e0
500	1.228086892020076e-1	4.547594731682335e-2	7.733274188518514e-2	5.666333863156420e-1	7.219123485568172e-1	1.609111924940025e-1	7.632078744714104e-1	-3.387568661250783e-1	2.350281550617895e0	6.937960e0	2.418504388573592e0	3.421843232959505e0
