index	eigenvalue
0	-3.384518033745785e-1
1	2.074173968623045e-4
2	2.295664952267808e-4
3	2.428617159983772e-4
4	2.559028817168157e-4
5	2.758885182491138e-4
6	2.836206667038507e-4
7	2.890928620788363e-4
8	2.997074609075379e-4
9	3.347681927131733e-4
10	3.505510517715643e-4
11	3.675436986251016e-4
12	3.905808301457795e-4
13	4.244944689756713e-4
14	4.344162131348655e-4
15	4.430945986114253e-4
16	4.787753898387661e-4
17	5.174688229321989e-4
18	5.254495167477388e-4
19	5.487878137595779e-4
20	5.782570721676670e-4
21	6.113867532312780e-4
22	6.447456917931842e-4
23	7.143491003933518e-4
24	7.188800252228111e-4
25	7.749896948974942e-4
26	8.039700380459880e-4
27	8.810504332103291e-4
28	9.714293512765800e-4
29	1.013580243663727e-3
30	1.104494495968448e-3
31	1.116654699880035e-3
32	1.204257992177109e-3
33	1.272321357695548e-3
34	1.340231458063670e-3
35	1.408443136647116e-3
36	1.585119463334418e-3
37	1.729058886508668e-3
38	1.902634910058559e-3
39	2.058527788826223e-3
40	2.103233893664886e-3
41	2.206142249109239e-3
42	2.426761931483134e-3
43	2.733522496137621e-3
44	2.831148777064545e-3
45	2.972201836909852e-3
46	3.144138638016019e-3
47	3.375141043618141e-3
48	3.540536279574040e-3
49	4.251487642805163e-3
50	4.926602048260494e-3
51	5.166113065734643e-3
52	5.914536695780177e-3
53	7.290079767029926e-3
54	8.069696941964331e-3
55	9.034333700221562e-3
56	1.070102204395236e-2
57	1.188629807433038e-2
58	1.476325354184635e-2
59	1.610080096006540e-2
60	1.960999667470116e-2
61	2.211070019881344e-2
62	2.367955815610023e-2
63	2.393597176128369e-2
64	2.598163369205675e-2
65	2.704273691898799e-2
66	2.913565307977053e-2
67	3.463958981200612e-2
68	3.581121162416520e-2
69	4.524404261352400e-2
70	5.464810229854289e-2
71	6.765456421658934e-2
72	1.444758058502296e-1
73	1.021440285043853e0
