N	vtGv	DIAG	OFFDIAG	ln_N	OFFDIAG_logN	vtGv_minus_1	C_G_eff
10	1.363862955820427e-1	5.630152583254068e-1	-4.266289627433641e-1	2.302585092994046e0	-9.823494898523824e-1	-8.636137044179573e-1	-1.988544041898155e0
20	2.469992733745167e-1	7.183014406992643e-1	-4.713021673247475e-1	2.995732273553991e0	-1.411895113250689e0	-7.530007266254832e-1	-2.255788578761566e0
30	3.034341658524868e-1	8.114348277346409e-1	-5.080006618821541e-1	3.401197381662155e0	-1.727810521076224e0	-6.965658341475132e-1	-2.369157891257837e0
50	3.725490320038119e-1	9.301153218619859e-1	-5.575662898581739e-1	3.912023005428146e0	-2.181212152976394e0	-6.274509679961882e-1	-2.454602621579248e0
75	4.160300637666390e-1	1.025519083301096e0	-6.094890195344571e-1	4.317488113536310e0	-2.631461597170918e0	-5.839699362333610e-1	-2.521283258350093e0
100	4.439016289159461e-1	1.093683043423873e0	-6.497814145079269e-1	4.605170185988092e0	-2.992353997501075e0	-5.560983710840539e-1	-2.560927638992827e0
150	4.814074120034840e-1	1.190428642994262e0	-7.090212309907776e-1	5.010635294096256e0	-3.552646804265964e0	-5.185925879965161e-1	-2.598478324672062e0
200	5.053110052697510e-1	1.259468233882222e0	-7.541572286124713e-1	5.298317366548036e0	-3.995764341465194e0	-4.946889947302490e-1	-2.621019291819468e0
300	5.341453526203669e-1	1.357278601132854e0	-8.231332485124870e-1	5.703782474656201e0	-4.694972997172351e0	-4.658546473796331e-1	-2.657133573461095e0
500	5.666333863156457e-1	1.481262061044887e0	-9.146286747292415e-1	6.214608098422191e0	-5.684058769021500e0	-4.333666136843543e-1	-2.693203666988589e0
750	5.890920171262256e-1	1.580188902688307e0	-9.910968855620810e-1	6.620073206530356e0	-6.561133937185215e0	-4.109079828737744e-1	-2.720240927772108e0
1000	6.027976995817109e-1	1.650625697076874e0	-1.047827997495163e0	6.907755278982137e0	-7.238139381162492e0	-3.972023004182891e-1	-2.743776287538285e0
