N	bilinear_sum	abel_sum	max_A_dev	avg_A_dev	bilinear_logN	abel_logN
10	-4.012676566070945e-1	-4.012676566070945e-1	1.301029995663981e0	7.082034860672222e-1	-9.239529244041496e-1	-9.239529244041496e-1
20	-4.403977595885931e-1	-4.403977595885931e-1	1.231378213159759e0	3.363558060680329e-1	-1.319313781600420e0	-1.319313781600420e0
30	-4.626013237182802e-1	-4.626013237182802e-1	1.203795047090506e0	1.877259825562455e-1	-1.573398410984062e0	-1.573398410984062e0
50	-4.903128526463633e-1	-4.903128526463633e-1	1.177183820135558e0	1.567495777776255e-1	-1.918115159409674e0	-1.918115159409674e0
75	-5.151244755224491e-1	-5.151244755224491e-1	1.160544085434021e0	2.034741161621107e-1	-2.224043800059800e0	-2.224043800059800e0
100	-5.335536272312188e-1	-5.335536272312188e-1	1.150514997831991e0	2.460098297613303e-1	-2.457105256751013e0	-2.457105256751013e0
150	-5.603148447834150e-1	-5.603148447834150e-1	1.138335189028154e0	2.988137664172111e-1	-2.807533337077844e0	-2.807533337077844e0
200	-5.801440810872848e-1	-5.801440810872848e-1	1.130824020647813e0	3.325391569943544e-1	-3.073787459924813e0	-3.073787459924813e0
300	-6.093206092049750e-1	-6.093206092049750e-1	1.143255700707886e0	3.788136782267613e-1	-3.475432212230176e0	-3.475432212230176e0
500	-6.473924208541157e-1	-6.473924208541157e-1	1.352683010999312e0	4.454283089623582e-1	-4.023290181497135e0	-4.023290181497135e0
750	-6.786291663450125e-1	-6.786291663450125e-1	1.667598694973727e0	4.845250680300270e-1	-4.492574761290649e0	-4.492574761290649e0
1000	-7.013503435974503e-1	-7.013503435974503e-1	1.889673189019871e0	5.221986128074039e-1	-4.844756538401223e0	-4.844756538401223e0
