N	OFFDIAG	NEAR	FAR	ln_N	OFFDIAG_logN	NEAR_logN	FAR_logN
10	-4.266289627433641e-1	-3.420818093291779e-1	-8.454715341418624e-2	2.302585092994046e0	-9.823494898523824e-1	-7.876724747457965e-1	-1.946770151065859e-1
20	-4.713021673247475e-1	-5.656308728163746e-1	9.432870549162710e-2	2.995732273553991e0	-1.411895113250689e0	-1.694478660614526e0	2.825835473638369e-1
30	-5.080006618821541e-1	-3.977473182725650e-1	-1.102533436095890e-1	3.401197381662155e0	-1.727810521076224e0	-1.352817137471792e0	-3.749933836044322e-1
50	-5.575662898581739e-1	-6.395087713991612e-1	8.194248154098721e-2	3.912023005428146e0	-2.181212152976394e0	-2.501773025886608e0	3.205608729102132e-1
75	-6.094890195344571e-1	-6.641797697493897e-1	5.469075021493269e-2	4.317488113536310e0	-2.631461597170918e0	-2.867588261144273e0	2.361266639733553e-1
100	-6.497814145079269e-1	-6.351680022525852e-1	-1.461341225534183e-2	4.605170185988092e0	-2.992353997501075e0	-2.925056747067222e0	-6.729725043385319e-2
150	-7.090212309907776e-1	-7.533376440817724e-1	4.431641309099469e-2	5.010635294096256e0	-3.552646804265964e0	-3.774700187807452e0	2.220533835414873e-1
200	-7.541572286124713e-1	-6.412319470631613e-1	-1.129252815493099e-1	5.298317366548036e0	-3.995764341465194e0	-3.397450361110159e0	-5.983139803550352e-1
300	-8.231332485124870e-1	-7.789610054184835e-1	-4.417224309400360e-2	5.703782474656201e0	-4.694972997172351e0	-4.443024131146520e0	-2.519488660258311e-1
500	-9.146286747292415e-1	-1.051702492503947e0	1.370738177747053e-1	6.214608098422191e0	-5.684058769021500e0	-6.535918827045832e0	8.518600580243315e-1
