k	v_k*(Gv)_k	v_k*b_k	residual
1	-1.711789351912876e-1	-0.000000000000000e0	-1.711789351912876e-1
2	2.057693003779658e-1	3.843108934201204e-1	-1.785415930421546e-1
3	1.483143579173963e-1	4.221828057719436e-1	-2.738684478545472e-1
4	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
5	8.376161191236176e-2	3.702051410556147e-1	-2.864435291432529e-1
6	-6.585110253983506e-2	-3.349133295817968e-1	2.690622270419618e-1
7	5.190387361122022e-2	3.003764866534770e-1	-2.484726130422568e-1
8	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
9	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
10	-2.744349187871077e-2	-2.082403918437833e-1	1.807968999650725e-1
11	2.191976165066567e-2	1.814208123012079e-1	-1.595010506505423e-1
12	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
13	1.407096918576547e-2	1.327374185641027e-1	-1.186664493783372e-1
14	-1.125355685818797e-2	-1.105566626072047e-1	9.930310574901677e-2
15	-8.642513219987926e-3	-8.962859264560480e-2	8.098607942561688e-2
16	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
17	4.360056092950941e-3	5.105896605607915e-2	-4.669890996312821e-2
18	0.000000000000000e0	0.000000000000000e0	0.000000000000000e0
19	1.268942314199837e-3	1.622095797528409e-2	-1.495201566108426e-2
