N	E_N	y	resid_actual	resid_gemini	error
100	-2.246440646881953e-4	2.000000000000000e0	2.842287722006371e-1	2.842287722006376e-1	4.440892098500626e-16
100	-2.246440646881953e-4	5.000000000000000e0	1.977837998897483e-1	1.977837998897488e-1	4.996003610813204e-16
100	-2.246440646881953e-4	1.000000000000000e1	4.730185797723678e-1	4.730185797723689e-1	1.110223024625157e-15
100	-2.246440646881953e-4	5.000000000000000e1	1.229803443014643e-1	1.229803443014731e-1	8.784639682346551e-15
100	-2.246440646881953e-4	5.000000000000000e1	1.229803443014643e-1	1.229803443014731e-1	8.784639682346551e-15
500	8.039481146329686e-5	2.000000000000000e0	2.101264559673225e-1	2.101264559673219e-1	5.828670879282072e-16
500	8.039481146329686e-5	5.000000000000000e0	1.453281224242043e-1	1.453281224242032e-1	1.137978600240785e-15
500	8.039481146329686e-5	1.000000000000000e1	3.480492354103198e-1	3.480492354103192e-1	6.661338147750939e-16
500	8.039481146329686e-5	5.000000000000000e1	7.878824979911525e-2	7.878824979911410e-2	1.151856388048600e-15
500	8.039481146329686e-5	1.000000000000000e2	9.501365898684213e-1	9.501365898684175e-1	3.774758283725532e-15
500	8.039481146329686e-5	2.500000000000000e2	7.402919680305875e-1	7.402919680305693e-1	1.820765760385257e-14
1000	-5.890829539809128e-5	2.000000000000000e0	1.893041393049721e-1	1.893041393049703e-1	1.804112415015879e-15
1000	-5.890829539809128e-5	5.000000000000000e0	1.314015945211963e-1	1.314015945211957e-1	5.828670879282072e-16
1000	-5.890829539809128e-5	1.000000000000000e1	3.144371757043064e-1	3.144371757043056e-1	7.771561172376096e-16
1000	-5.890829539809128e-5	5.000000000000000e1	7.744417548128057e-2	7.744417548128013e-2	4.440892098500626e-16
1000	-5.890829539809128e-5	1.000000000000000e2	8.679203210535890e-1	8.679203210535897e-1	7.771561172376096e-16
1000	-5.890829539809128e-5	5.000000000000000e2	-2.097142337829114e-1	-2.097142337829107e-1	7.216449660063518e-16
2000	2.508960125624515e-5	2.000000000000000e0	1.718837229092633e-1	1.718837229092620e-1	1.304512053934559e-15
2000	2.508960125624515e-5	5.000000000000000e0	1.190255926232360e-1	1.190255926232365e-1	4.857225732735060e-16
2000	2.508960125624515e-5	1.000000000000000e1	2.849765267881180e-1	2.849765267881166e-1	1.443289932012704e-15
2000	2.508960125624515e-5	5.000000000000000e1	6.645053395635547e-2	6.645053395635658e-2	1.110223024625157e-15
2000	2.508960125624515e-5	1.000000000000000e2	7.809096934274373e-1	7.809096934274361e-1	1.221245327087672e-15
2000	2.508960125624515e-5	1.000000000000000e3	4.115806192197796e-1	4.115806192197345e-1	4.507505479978136e-14
