y	id1	id2_sum	neg_psi	error
5	1	-4.094344562222100e0	-4.094344562222100e0	0.000000000000000e0
10	1	-7.832014180505470e0	-7.832014180505469e0	8.881784197001252e-16
20	1	-1.926565831454798e1	-1.926565831454798e1	0.000000000000000e0
50	1	-4.948538079241838e1	-4.948538079241837e1	1.421085471520200e-14
100	1	-9.404531122935740e1	-9.404531122935740e1	0.000000000000000e0
200	1	-2.061458568250548e2	-2.061458568250548e2	0.000000000000000e0
500	1	-5.016521166497480e2	-5.016521166497476e2	3.979039320256561e-13
1000	1	-9.966809122471759e2	-9.966809122471753e2	5.684341886080801e-13
2000	1	-1.994451579978079e3	-1.994451579978079e3	0.000000000000000e0
5000	1	-4.997959692237933e3	-4.997959692237907e3	2.637534635141492e-11
