N	max_dev	avg_dev	max_ratio_34
10	1.522878745280337e0	1.291796513932778e0	5.981395124884882e-1
20	1.925179211231256e0	1.663644193931967e0	5.981395124884882e-1
50	2.411152595439551e0	1.997085716029575e0	5.981395124884882e-1
100	2.700309615821969e0	2.169969178297052e0	5.981395124884882e-1
200	3.001164358125252e0	2.282816541209935e0	5.981395124884882e-1
500	3.352683010999312e0	2.397977558510988e0	5.981395124884882e-1
1000	3.889673189019871e0	2.462734246358703e0	5.981395124884882e-1
2000	4.355697932742761e0	2.521235510532546e0	5.981395124884882e-1
5000	4.909856368056776e0	2.578505733481005e0	5.981395124884882e-1
10000	5.767584996424374e0	2.578806330452340e0	5.981395124884882e-1
20000	7.183655985684703e0	2.686505782907612e0	5.981395124884882e-1
50000	8.777149047637270e0	2.849222188726239e0	5.981395124884882e-1
100000	1.130213716810191e1	3.052333655626286e0	5.981395124884882e-1
200000	1.480577842196296e1	3.407874624351097e0	5.981395124884882e-1
250000	1.585054786383542e1	3.521766339765176e0	5.981395124884882e-1
