N	n_pts	max_fN	max_x	min_fN	min_x	max_abs	integral_f2
10	50000	8.443305890376840e-1	1.123000000000000e-2	-3.925423567690249e-1	1.409000000000000e-2	8.443305890376840e-1	1.363846889216845e-1
20	50000	1.102553945100306e0	3.690000000000000e-3	-2.993643137867189e-1	1.409000000000000e-2	1.102553945100306e0	2.470131388388509e-1
50	50000	1.506892262917609e0	3.690000000000000e-3	-3.570660421340449e-1	5.250000000000000e-3	1.506892262917609e0	3.726141490926714e-1
100	50000	1.803975680256235e0	8.829999999999999e-3	-6.553030040340188e-1	1.031000000000000e-2	1.803975680256235e0	4.439762759056498e-1
200	30000	2.311815589545866e0	5.016666666666667e-3	-8.815301433346545e-1	7.833333333333334e-4	2.311815589545866e0	5.054442980264682e-1
500	30000	3.198790333383759e0	7.500000000000000e-4	-1.456303967507325e0	7.833333333333334e-4	3.198790333383759e0	5.669411174528719e-1
1000	15000	2.551368862263720e0	7.666666666666667e-4	-1.588918607250948e0	7.000000000000000e-4	2.551368862263720e0	6.034933380734044e-1
2000	15000	2.853701731726996e0	2.333333333333333e-4	-1.772737620806343e0	7.000000000000000e-4	2.853701731726996e0	6.357605439504607e-1
5000	5000	2.366253139643287e0	9.000000000000000e-4	-1.501411616637343e0	7.000000000000000e-4	2.366253139643287e0	6.697083725531446e-1
10000	5000	2.424493419658712e0	1.000000000000000e-4	-1.322092212116462e0	7.000000000000000e-4	2.424493419658712e0	6.926760652729829e-1
20000	5000	2.360318306402783e0	1.000000000000000e-4	-1.154493420140892e0	7.000000000000000e-4	2.360318306402783e0	7.119710427131167e-1
50000	5000	2.212494069393380e0	1.000000000000000e-4	-9.766970906202852e-1	7.000000000000000e-4	2.212494069393380e0	7.339314986003844e-1
100000	2000	2.077289156159289e0	7.500000000000000e-4	1.120960818242383e-1	2.500000000000000e-4	2.077289156159289e0	7.480980488156276e-1
200000	2000	2.011283220680476e0	7.500000000000000e-4	1.480280481065633e-1	2.500000000000000e-4	2.011283220680476e0	7.611704711371110e-1
250000	2000	1.996603276363808e0	7.500000000000000e-4	1.737509436323176e-1	2.500000000000000e-4	1.996603276363808e0	7.651509471131376e-1
