N	delta	int_near	int_far	int_total	max_near	max_far	far_mean_dev
10	3.162277660168379e-1	3.137501054479122e-2	1.050096783768927e-1	1.363846889216839e-1	8.443305890376840e-1	5.691336675547357e-1	6.326116724233757e-1
20	2.236067977499790e-1	4.539675946502170e-2	2.016163793738308e-1	2.470131388388525e-1	1.102553945100306e0	6.662819864267773e-1	5.017571444576793e-1
50	1.414213562373095e-1	4.980817578828228e-2	3.228059733043869e-1	3.726141490926692e-1	1.506892262917609e0	7.689283676406776e-1	3.940472291865608e-1
100	1.000000000000000e-1	4.174830771505490e-2	4.022279681905926e-1	4.439762759056475e-1	1.803975680256235e0	8.021618544217136e-1	3.362151730931474e-1
200	7.071067811865475e-2	3.577011532418622e-2	4.696741827022834e-1	5.054442980264697e-1	2.311815589545866e0	9.628020467854439e-1	2.928855575046699e-1
500	4.472135954999579e-2	2.731649355879641e-2	5.396246238940784e-1	5.669411174528748e-1	3.198790333383759e0	1.043408846432306e0	2.514178686743277e-1
1000	3.162277660168379e-2	2.164982501246902e-2	5.818435130609358e-1	6.034933380734049e-1	2.551368862263720e0	1.126535539201730e0	2.275483088436915e-1
2000	2.236067977499790e-2	1.706636957241323e-2	6.186941743780482e-1	6.357605439504614e-1	2.853701731726996e0	1.117435688311966e0	2.069611425904262e-1
5000	1.414213562373095e-2	1.187120398336143e-2	6.578371685697829e-1	6.697083725531443e-1	2.366253139643287e0	1.089086828297461e0	1.851475780476308e-1
10000	1.000000000000000e-2	1.005499972048473e-2	6.826210655524980e-1	6.926760652729828e-1	2.424493419658712e0	1.110630003910876e0	1.715461651401006e-1
20000	7.071067811865475e-3	7.423998021434164e-3	7.045470446916828e-1	7.119710427131170e-1	2.360318306402783e0	1.279704896238594e0	1.597162704813412e-1
50000	4.472135954999580e-3	5.107072118028281e-3	7.288244264823562e-1	7.339314986003845e-1	2.212494069393380e0	1.298633878999138e0	1.464611989547926e-1
100000	3.162277660168379e-3	3.554536121014753e-3	7.445435126946128e-1	7.480980488156276e-1	2.077289156159289e0	1.269595932915056e0	1.376871691840022e-1
200000	2.236067977499790e-3	2.396420381755613e-3	7.587740507553551e-1	7.611704711371107e-1	2.011283220680476e0	1.253872382305703e0	1.298903095878959e-1
250000	2.000000000000000e-3	2.380880730654537e-3	7.627700663824829e-1	7.651509471131375e-1	1.996603276363808e0	1.249612497342935e0	1.275451033430924e-1
