j	k	G_jk	abs_G_jk	product_maxjk
1	1	2.606614015078126e-1	2.606614015078126e-1	2.606614015078126e-1
1	11	1.219757461225714e-1	1.219757461225714e-1	1.341733207348285e0
1	21	7.900564108725053e-2	7.900564108725053e-2	1.659118462832261e0
1	31	5.973373761786791e-2	5.973373761786791e-2	1.851745866153905e0
1	41	4.854780402927256e-2	4.854780402927256e-2	1.990459965200175e0
1	51	4.115551470387122e-2	4.115551470387122e-2	2.098931249897432e0
1	61	3.586909460321477e-2	3.586909460321477e-2	2.188014770796101e0
1	71	3.188170827977709e-2	3.188170827977709e-2	2.263601287864173e0
1	81	2.875614296442692e-2	2.875614296442692e-2	2.329247580118581e0
1	91	2.623370101013427e-2	2.623370101013427e-2	2.387266791922218e0
1	101	2.415097184897624e-2	2.415097184897624e-2	2.439248156746600e0
1	111	2.239937594865817e-2	2.239937594865817e-2	2.486330730301056e0
1	121	2.090379209225558e-2	2.090379209225558e-2	2.529358843162925e0
1	131	1.961050193938475e-2	1.961050193938475e-2	2.568975754059402e0
1	141	1.848002004241278e-2	1.848002004241278e-2	2.605682825980203e0
1	151	1.748263852185035e-2	1.748263852185035e-2	2.639878416799403e0
1	161	1.659555463499026e-2	1.659555463499026e-2	2.671884296233432e0
1	171	1.580095966076246e-2	1.580095966076246e-2	2.701964101990380e0
1	181	1.508473232592455e-2	1.508473232592455e-2	2.730336550992344e0
1	191	1.443552407593328e-2	1.443552407593328e-2	2.757185098503256e0
1	201	1.384410513915826e-2	1.384410513915826e-2	2.782665132970810e0
1	211	1.330288826794364e-2	1.330288826794364e-2	2.806909424536107e0
1	221	1.280557607417053e-2	1.280557607417053e-2	2.830032312391687e0
1	231	1.234689595602218e-2	1.234689595602218e-2	2.852132965841124e0
1	241	1.192239815173518e-2	1.192239815173518e-2	2.873297954568180e0
1	251	1.152829998644485e-2	1.152829998644485e-2	2.893603296597658e0
1	261	1.116136439216811e-2	1.116136439216811e-2	2.913116106355877e0
1	271	1.081880418090170e-2	1.081880418090170e-2	2.931895933024361e0
1	281	1.049820589503575e-2	1.049820589503575e-2	2.949995856505047e0
1	291	1.019746870047866e-2	1.019746870047866e-2	2.967463391839291e0
1	301	9.914754953157093e-3	9.914754953157093e-3	2.984341240900285e0
1	311	9.648449907713826e-3	9.648449907713826e-3	3.000667921299000e0
1	321	9.397128647390302e-3	9.397128647390302e-3	3.016478295812287e0
1	331	9.159528763255433e-3	9.159528763255433e-3	3.031804020637548e0
1	341	8.934527645060334e-3	8.934527645060334e-3	3.046673926965574e0
1	351	8.721123496956813e-3	8.721123496956813e-3	3.061114347431841e0
1	361	8.518419381534369e-3	8.518419381534369e-3	3.075149396733907e0
1	371	8.325609741041946e-3	8.325609741041946e-3	3.088801213926562e0
1	381	8.141968956714582e-3	8.141968956714582e-3	3.102090172508256e0
1	391	7.966841594127619e-3	7.966841594127619e-3	3.115035063303899e0
1	401	7.799634050535118e-3	7.799634050535118e-3	3.127653254264582e0
1	411	7.639807373709260e-3	7.639807373709260e-3	3.139960830594506e0
1	421	7.486871064232048e-3	7.486871064232048e-3	3.151972718041693e0
1	431	7.340377707014076e-3	7.340377707014076e-3	3.163702791723067e0
1	441	7.199918304929684e-3	7.199918304929684e-3	3.175163972473991e0
1	451	7.065118209312772e-3	7.065118209312772e-3	3.186368312400060e0
1	461	6.935633559764647e-3	6.935633559764647e-3	3.197327071051502e0
1	471	6.811148160142640e-3	6.811148160142640e-3	3.208050783427184e0
1	481	6.691370729392528e-3	6.691370729392528e-3	3.218549320837806e0
1	491	6.576032475579638e-3	6.576032475579638e-3	3.228831945509602e0
1	501	6.464884949472059e-3	6.464884949472059e-3	3.238907359685502e0
1	511	6.357698140657610e-3	6.357698140657610e-3	3.248783749876039e0
1	521	6.254258784690646e-3	6.254258784690646e-3	3.258468826823827e0
1	531	6.154368854369843e-3	6.154368854369843e-3	3.267969861670386e0
1	541	6.057844212107804e-3	6.057844212107804e-3	3.277293718750322e0
1	551	5.964513403599548e-3	5.964513403599548e-3	3.286446885383351e0
1	561	5.874216575736299e-3	5.874216575736299e-3	3.295435498988064e0
