N	vtcv	inv_log_N	vtcv_logN	outer_sum	triangle
10	1.368685109421822e-2	4.342944819032518e-1	3.151513929957612e-2	1.654130669687780e-2	true
20	1.347788275776027e-2	3.338082006953341e-1	4.037612835659931e-2	2.553900449415865e-2	true
30	1.176875533293249e-2	2.940141037952060e-1	4.002785982379252e-2	1.930868185352329e-2	true
50	1.160010223058391e-2	2.556222186353315e-1	4.537986679136261e-2	2.626599076439051e-2	true
75	1.134006803430544e-2	2.316161558997168e-1	4.896060894480678e-2	2.572889814109617e-2	true
100	1.116773855651279e-2	2.171472409516259e-1	5.142933664536237e-2	1.786897321529846e-2	true
150	1.105555103388638e-2	1.995754911913551e-1	5.539533420607343e-2	2.065219949637467e-2	true
200	1.132972161474346e-2	1.887391658177549e-1	6.002846078954992e-2	3.159308635578716e-2	true
300	1.107925729841529e-2	1.753222540381461e-1	6.319367361090791e-2	2.701949021151536e-2	true
500	1.104947873562370e-2	1.609111924940025e-1	6.866818003375084e-2	2.674088269204115e-2	true
750	1.101852121630288e-2	1.510557313797606e-1	7.294341707963298e-2	2.533966002989830e-2	true
1000	1.101202473252556e-2	1.447648273010839e-1	7.606837197838529e-2	2.467724493611072e-2	true
1500	1.101522425419792e-2	1.367386660143943e-1	8.055676258417180e-2	2.553456518613058e-2	true
2000	1.101257439974190e-2	1.315633249239519e-1	8.370550384088840e-2	2.523491704757035e-2	true
