N	off_diag_abs	bessel_bound	mv_bound	off_diag_ratio	bessel_ok	mv_ok
10	5.084306622054877e0	8.577603642811795e0	1.033885516884957e1	1.862154163048917e-5	true	true
20	6.858662861057105e0	9.605367797003412e0	1.306808922760306e1	2.243237876270413e-5	true	true
50	8.748706155335162e0	1.091231890729191e1	1.841630009876572e1	2.518701223774775e-5	true	true
100	9.792998248415451e0	1.187264034831441e1	2.479322615488055e1	2.591303235948487e-5	true	true
200	1.096076850393493e1	1.281641161123868e1	3.474734753857227e1	2.686732515633708e-5	true	true
300	1.154754316691571e1	1.336265028481563e1	4.316220149474258e1	2.714856409990522e-5	true	true
500	1.198614737984852e1	1.404610542261697e1	5.787470228870335e1	2.680856466643332e-5	true	true
750	1.187905360668548e1	1.458543677570331e1	7.416309142757196e1	2.558658209298837e-5	true	true
1000	1.151184461498716e1	1.496666882170392e1	8.910215612390087e1	2.416404538815306e-5	true	true
2000	1.014583164909571e1	1.588106359973801e1	1.418763055193830e2	2.007048833548133e-5	true	true
5000	6.661155487673208e0	1.708265021692525e1	2.736664762099364e2	1.225022866988148e-5	true	true
