zero,log_energy,flat_energy,sharp_energy,log_flat_ratio
14.134725,113.988527,429.264679,400.951928,0.265544
21.022040,58.141561,221.776319,198.204599,0.262163
25.010858,40.748694,158.032781,133.629127,0.257850
30.424876,46.209574,180.270073,158.803518,0.256335
32.935062,41.559051,160.105256,140.884985,0.259573
37.586178,21.498067,78.619726,69.108186,0.273444
40.918719,36.532207,130.468115,117.135333,0.280009
43.327073,24.340024,88.338262,68.851256,0.275532
48.005151,33.922682,131.799000,111.854288,0.257382
49.773832,41.451538,156.486776,131.800196,0.264888
52.970321,14.217114,52.060696,40.398010,0.273087
56.446248,15.058630,55.263676,52.172352,0.272487
59.347044,44.141449,149.394127,148.471705,0.295470
60.831779,31.639720,108.381599,103.251825,0.291929
65.112544,16.384847,58.801045,46.000067,0.278649
67.079811,26.960160,96.733168,85.396554,0.278706
69.546402,18.094855,70.272822,59.181962,0.257494
72.067158,9.912186,31.196512,34.248147,0.317734
75.704691,28.022811,101.174184,96.464144,0.276976
77.144840,41.403375,137.970636,143.865426,0.300088
79.337375,12.687894,44.643164,43.409071,0.284207
82.910381,12.893294,41.968987,44.301515,0.307210
84.735493,18.910568,65.971971,58.548003,0.286645
87.425275,27.428365,99.962905,89.033302,0.274385
88.809111,19.016701,71.909856,65.021100,0.264452
92.491899,9.977448,35.261317,35.833842,0.282957
94.651344,40.848407,134.101529,124.155606,0.304608
95.870634,31.451944,101.163104,88.536770,0.310903
98.831194,7.294048,21.646709,28.280103,0.336959
