N,modulus,raw_mean,eig_mean,improvement,sv_gap_min,lambda_eff,lambda_eff_over_lnN
50,2,0.9858300401,0.9858300401,-2.7755575616e-15,8.591059,1.1537583769,0.2949262761
50,4,0.9857869860,0.9857869860,-2.9605947323e-16,7.473673,0.6997794642,0.1788791792
50,8,0.9889279500,0.9889279500,0.0000000000e0,6.729737,0.3695586917,0.0944674127
100,2,0.9761684309,0.9761684872,5.6314858776e-8,6.598383,1.4387075733,0.3124113801
100,4,0.9759859005,0.9759859005,-2.4646951147e-13,5.891350,0.8264700653,0.1794656944
100,8,0.9792685766,0.9792685766,-6.3441315693e-16,5.224347,0.4299569908,0.0933639743
200,2,0.9638927735,0.9638927735,5.8841820305e-15,5.342852,1.6541158758,0.3121964506
200,4,0.9635263013,0.9635263013,-2.9605947323e-16,4.860649,0.9423262819,0.1778538764
200,8,0.9668658222,0.9668658222,1.3294762117e-12,4.356079,0.4850433034,0.0915466685
300,2,0.9555335916,0.9555335916,7.1054273576e-15,4.804814,1.7907239792,0.3139537644
300,4,0.9550776495,0.9550776495,8.1416355139e-14,4.411371,1.0049114663,0.1761833434
300,8,0.9583694099,0.9583694099,5.3290705182e-15,3.949773,0.5157085721,0.0904151893
500,2,0.9439121729,0.9439121729,-5.7731597281e-15,4.266902,1.9467691637,0.3132569476
500,4,0.9433269798,0.9433269798,4.2780593882e-14,3.955159,1.0783826813,0.1735238432
500,8,0.9465380774,0.9465380774,-2.3930064279e-13,3.560939,0.5512178646,0.0886971239
800,2,0.9322402542,0.9322402542,4.7850612361e-14,3.871962,2.0811860134,0.3113398501
800,4,0.9315416255,0.9315416255,1.9243865760e-15,3.616106,1.1409402036,0.1706815968
800,8,0.9346527711,0.9346527711,-2.5630291540e-14,3.275778,0.5814204402,0.0869789397
1000,2,0.9264054829,0.9264054829,1.9972912213e-13,3.710532,2.1439883606,0.3103741048
1000,4,0.9256560679,0.9256560679,1.0510111300e-14,3.476432,1.1690198629,0.1692329586
1000,8,0.9287108133,0.9287108133,-7.6129578831e-15,3.156600,0.5950538901,0.0861428736
1500,2,0.9153754862,0.9153754862,7.2475359048e-13,3.451942,2.2467968507,0.3072240042
1500,4,0.9145402194,0.9145402194,3.6711374681e-14,3.251309,1.2175431706,0.1664852290
1500,8,0.9174838844,0.9174838844,1.2688263139e-14,2.963837,0.6186666624,0.0845956541
2000,2,0.9072514122,0.9072514122,2.2420953982e-12,3.291479,2.3167399964,0.3047980169
2000,4,0.9063607737,0.9063607738,1.7595998732e-11,3.110720,1.2500856279,0.1644654216
2000,8,0.9092235271,0.9092235271,3.0574146389e-11,2.845556,0.6344293571,0.0834676356
