k,mu,c_star,f_k,f_sqrt_k
1,1,-0.8588790509,0.8588790509,0.8588790509
2,-1,0.9037558359,0.9037558359,1.2781037602
3,-1,0.8864513388,0.8864513388,1.5353787573
5,-1,0.7473249792,0.7473249792,1.6710694549
6,1,-0.5422934824,0.5422934824,1.3283423227
7,-1,0.6124605820,0.6124605820,1.6204183879
10,1,-0.3719439459,0.3719439459,1.1761900310
11,-1,0.4038860136,0.4038860136,1.3395383653
13,-1,0.3993570081,0.3993570081,1.4399021701
14,1,-0.3448189167,0.3448189167,1.2901942468
15,1,-0.2930261699,0.2930261699,1.1348854761
17,-1,0.2903098295,0.2903098295,1.1969780911
19,-1,0.3222202331,0.3222202331,1.4045254339
