k,mu,c_star,f_k,f_sqrt_k
1,1,-0.9117792818,0.9117792818,0.9117792818
2,-1,0.9382833495,0.9382833495,1.3269330381
3,-1,0.9311554442,0.9311554442,1.6128085392
5,-1,0.8321354421,0.8321354421,1.8607114149
6,1,-0.7033804972,0.7033804972,1.7229233133
7,-1,0.7582624465,0.7582624465,2.0061738618
10,1,-0.6073754408,0.6073754408,1.9206897877
11,-1,0.6538767789,0.6538767789,2.1686639348
13,-1,0.6537664657,0.6537664657,2.3571885144
14,1,-0.5752626583,0.5752626583,2.1524357748
15,1,-0.5756906338,0.5756906338,2.2296402371
17,-1,0.5484812317,0.5484812317,2.2614460521
19,-1,0.5408331668,0.5408331668,2.3574371193
21,1,-0.4990687056,0.4990687056,2.2870201203
22,1,-0.4549573328,0.4549573328,2.1339390439
23,-1,0.4898152137,0.4898152137,2.3490712424
26,1,-0.4755636593,0.4755636593,2.4249083788
29,-1,0.4338046610,0.4338046610,2.3361095938
30,-1,0.4103576578,0.4103576578,2.2476214581
31,-1,0.4921225723,0.4921225723,2.7400225201
33,1,-0.5102222910,0.5102222910,2.9310039141
34,1,-0.2729839280,0.2729839280,1.5917561525
35,1,-0.4263372695,0.4263372695,2.5222453007
37,-1,0.4652592927,0.4652592927,2.8300617927
38,1,-0.3542415214,0.3542415214,2.1836913948
39,1,-0.4901265255,0.4901265255,3.0608391707
41,-1,0.3602800017,0.3602800017,2.3069176110
42,-1,0.3756075692,0.3756075692,2.4342152604
43,-1,0.3989425309,0.3989425309,2.6160411209
46,1,-0.2338756941,0.2338756941,1.5862221326
47,-1,0.3490912671,0.3490912671,2.3932491511
51,1,-0.2250952096,0.2250952096,1.6075013289
53,-1,0.3003797524,0.3003797524,2.1867976058
55,1,-0.2634068506,0.2634068506,1.9534774868
57,1,-0.2225571365,0.2225571365,1.6802695332
58,1,-0.2842397350,0.2842397350,2.1647053293
59,-1,0.1804766278,0.1804766278,1.3862672822
61,-1,0.2470766162,0.2470766162,1.9297300619
62,1,-0.4062547887,0.4062547887,3.1988534049
65,1,-0.2943703542,0.2943703542,2.3732896691
66,-1,0.4129602897,0.4129602897,3.3549052532
67,-1,0.1618778318,0.1618778318,1.3250271594
69,1,-0.2236020888,0.2236020888,1.8573784470
70,-1,0.3773830582,0.3773830582,3.1574131950
71,-1,0.1619683394,0.1619683394,1.3647694867
73,-1,0.2247008129,0.2247008129,1.9198445872
74,1,-0.3314072033,0.3314072033,2.8508725585
77,1,-0.2386460403,0.2386460403,2.0941105044
78,-1,0.3848327543,0.3848327543,3.3987508598
79,-1,0.2104625040,0.2104625040,1.8706316532
82,1,-0.2349735317,0.2349735317,2.1277758270
83,-1,0.2894784647,0.2894784647,2.6372743253
85,1,-0.2816395211,0.2816395211,2.5965880858
86,1,-0.2649803818,0.2649803818,2.4573269700
87,1,-0.1495642059,0.1495642059,1.3950420413
89,-1,0.1953950155,0.1953950155,1.8433528899
91,1,-0.2038521791,0.2038521791,1.9446258498
93,1,-0.2675156896,0.2675156896,2.5798278831
94,1,-0.2810308874,0.2810308874,2.7246955439
95,1,-0.2187057596,0.2187057596,2.1316800605
97,-1,0.2672826142,0.2672826142,2.6324284597
