sigma	max_inv_zeta	t_at_max	growth_exponent	polynomial
0.510000	5.964225865170152e1	25030.000000	3.778602715449109e-1	true
0.520000	4.824118283793329e1	25030.000000	3.582525417883132e-1	true
0.550000	4.081114345025856e1	38390.000000	3.427940083803302e-1	true
0.600000	5.933850035179458e1	17680.000000	3.773883563119328e-1	true
0.650000	4.823024339395453e1	3730.000000	3.582315809723191e-1	true
0.700000	3.211287340427033e1	6740.000000	3.206403032648863e-1	true
0.750000	9.081799655500835e1	9730.000000	4.167236469540104e-1	true
0.800000	8.248603307009729e1	11990.000000	4.078298895686568e-1	true
0.900000	8.393172881415520e0	19140.000000	1.966231254701385e-1	true
1.000000	5.547972174160353e0	19140.000000	1.583611458505240e-1	true
1.200000	2.762878976414019e0	19140.000000	9.392736308943159e-2	true
1.500000	1.896551445393786e0	6740.000000	5.915437372630829e-2	true
2.000000	1.469547268197532e0	6740.000000	3.557876718152999e-2	true
