eps	B_eps	t	A	c_lean	c_div_tA	actual_zeta	bc_lower	check_vs_actual	check_vs_bc	ratio_actual	ratio_bc
0.1000	560.0000	2.0	1.0	6.624337284222998e-170	3.312168642111499e-170	5.364547071823328e-1	0.000000000000000e0	PASS	FAIL	1.619648e169	0.000000e0
0.1000	560.0000	2.0	5.0	6.624337284222998e-170	2.070105401319687e-171	5.364547071823328e-1	0.000000000000000e0	PASS	FAIL	2.591437e170	0.000000e0
0.1000	560.0000	2.0	10.0	6.624337284222998e-170	6.469079379124022e-173	5.364547071823328e-1	0.000000000000000e0	PASS	FAIL	8.292597e171	0.000000e0
0.1000	560.0000	2.0	50.0	6.624337284222998e-170	5.883593420661802e-185	5.364547071823328e-1	0.000000000000000e0	PASS	FAIL	9.117807e183	0.000000e0
0.1000	560.0000	2.0	100.0	6.624337284222998e-170	5.225680706521453e-200	5.364547071823328e-1	0.000000000000000e0	PASS	FAIL	1.026574e199	0.000000e0
0.1000	560.0000	2.0	200.0	6.624337284222998e-170	4.122335212542490e-230	5.364547071823328e-1	0.000000000000000e0	PASS	FAIL	1.301337e229	0.000000e0
0.1000	560.0000	2.0	500.0	6.624337284222998e-170	2.023692885365746e-320	5.364547071823328e-1	0.000000000000000e0	PASS	FAIL	inf	0.000000e0
0.1000	560.0000	2.0	1000.0	6.624337284222998e-170	0.000000000000000e0	5.364547071823328e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	5.0	1.0	6.624337284222998e-170	1.324867456844600e-170	7.449071802597355e-1	0.000000000000000e0	PASS	FAIL	5.622503e169	0.000000e0
0.1000	560.0000	5.0	5.0	6.624337284222998e-170	2.119787930951360e-173	7.449071802597355e-1	0.000000000000000e0	PASS	FAIL	3.514065e172	0.000000e0
0.1000	560.0000	5.0	10.0	6.624337284222998e-170	6.783321379044351e-177	7.449071802597355e-1	0.000000000000000e0	PASS	FAIL	1.098145e176	0.000000e0
0.1000	560.0000	5.0	50.0	6.624337284222998e-170	7.458340731200794e-205	7.449071802597355e-1	0.000000000000000e0	PASS	FAIL	9.987572e203	0.000000e0
0.1000	560.0000	5.0	100.0	6.624337284222998e-170	8.397345134459523e-240	7.449071802597355e-1	0.000000000000000e0	PASS	FAIL	8.870746e238	0.000000e0
0.1000	560.0000	5.0	200.0	6.624337284222998e-170	1.064489960002120e-309	7.449071802597355e-1	0.000000000000000e0	PASS	FAIL	inf	0.000000e0
0.1000	560.0000	5.0	500.0	6.624337284222998e-170	0.000000000000000e0	7.449071802597355e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	5.0	1000.0	6.624337284222998e-170	0.000000000000000e0	7.449071802597355e-1	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10.0	1.0	6.624337284222998e-170	6.624337284222999e-171	1.477922446642045e0	0.000000000000000e0	PASS	FAIL	2.231050e170	0.000000e0
0.1000	560.0000	10.0	5.0	6.624337284222998e-170	6.624337284222999e-175	1.477922446642045e0	0.000000000000000e0	PASS	FAIL	2.231050e174	0.000000e0
0.1000	560.0000	10.0	10.0	6.624337284222998e-170	6.624337284222999e-180	1.477922446642045e0	0.000000000000000e0	PASS	FAIL	2.231050e179	0.000000e0
0.1000	560.0000	10.0	50.0	6.624337284222998e-170	6.624337284222997e-220	1.477922446642045e0	0.000000000000000e0	PASS	FAIL	2.231050e219	0.000000e0
0.1000	560.0000	10.0	100.0	6.624337284222998e-170	6.624337284222998e-270	1.477922446642045e0	0.000000000000000e0	PASS	FAIL	2.231050e269	0.000000e0
0.1000	560.0000	10.0	200.0	6.624337284222998e-170	0.000000000000000e0	1.477922446642045e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10.0	500.0	6.624337284222998e-170	0.000000000000000e0	1.477922446642045e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	10.0	1000.0	6.624337284222998e-170	0.000000000000000e0	1.477922446642045e0	0.000000000000000e0	PASS	PASS	inf	inf
0.1000	560.0000	50.0	1.0	6.624337284222998e-170	1.324867456844600e-171	3.073426708283639e-1	0.000000000000000e0	PASS	FAIL	2.319799e170	0.000000e0
