eps	t	R	M_disk	log_zeta_center	BC_bound	A_BC	actual_zeta_target	gap
0.1	50	1.450000	2.346864058736106e-1	2.431665721975082e-1	2.700293334418014e1	6.902549731101296e0	3.073426708283639e-1	0.050000
0.1	100	1.450000	9.139564876775144e-1	1.756232337103336e-1	6.119208763142976e1	1.328769299723508e1	2.345896179804772e0	0.050000
0.1	200	1.450000	1.671121428662205e0	3.868943868702478e-1	1.156357800566875e2	2.182500066658457e1	4.697327758252198e0	0.050000
0.1	500	1.450000	9.344847000621463e-1	7.060514179761926e-2	5.635563628594443e1	9.068252638529597e0	1.222398202095945e0	0.050000
0.1	1000	1.450000	6.552036270477406e-1	4.116488452596791e-2	3.903780153265361e1	5.651300597088590e0	8.914485112325234e-1	0.050000
0.1	2000	1.450000	2.017753654664696e-1	2.361011651704270e-1	2.475718688083661e1	3.257137821806506e0	6.340039100893391e-1	0.050000
0.1	5000	1.450000	1.860288081117526e-3	2.167427822724308e-1	1.245851472207113e1	1.462748870675731e0	6.320541779416599e-1	0.050000
0.1	10000	1.450000	8.893094329928289e-1	4.309632512310686e-2	5.225781877961546e1	5.673820583071779e0	4.446395823913937e-1	0.050000
0.25	50	1.375000	1.775702835201416e-1	2.431665721975082e-1	8.657903686550503e0	2.213152549087055e0	3.914731915364116e-1	0.125000
0.25	100	1.375000	8.235098748380005e-1	1.756232337103336e-1	2.015828540467702e1	4.377316057941044e0	1.995687757758477e0	0.125000
0.25	200	1.375000	1.552537593088365e0	3.868943868702478e-1	3.917553398604251e1	7.393957604990768e0	3.776506184615414e0	0.125000
