# j	a_star(j)
# # d2 = 4.845610540691447e-02
# # N = 40000
2	2.306209476047186e+00
3	9.482545699981210e-01
4	-1.274903293686507e+00
5	8.489796203755391e-01
6	-2.136163850171370e+00
7	8.101466917336505e-01
8	-5.122864322214180e-02
9	8.669029214832018e-03
10	-2.063341812332598e+00
11	8.250932566007946e-01
12	1.111479711619370e+00
13	7.826412697990830e-01
14	-1.967688885665717e+00
15	-7.066251674394685e-01
16	-8.589517937948918e-02
17	8.127275873087015e-01
18	-8.812027653300594e-02
19	7.808457449341819e-01
20	1.076049349828827e+00
21	-6.484342050337144e-01
22	-1.992456785470336e+00
23	8.257847540941624e-01
24	-2.894464926310844e-02
25	8.103511157386899e-02
26	-1.860425791165920e+00
27	-6.254337012727894e-02
28	1.064103435983383e+00
29	7.765088899835327e-01
30	1.684561092699726e+00
31	7.316329251538520e-01
32	9.179223811856058e-02
33	-7.857457841375525e-01
34	-1.752284676354792e+00
35	-6.452748963322947e-01
36	-3.277026221922456e-02
37	6.474953234794425e-01
38	-1.769368598135447e+00
39	-6.764164907916431e-01
40	1.363611149632216e-01
41	8.441634393378866e-01
42	1.514527683683712e+00
43	7.634992266236933e-01
44	1.030320806696452e+00
45	-1.945548819568331e-01
46	-2.077024043466428e+00
47	8.299093334291329e-01
48	3.158990658372030e-01
49	1.002608780732484e-01
50	-2.772242360204337e-02
51	-7.993933473353816e-01
52	9.139666438491441e-01
53	7.495194392342529e-01
54	4.125458199285829e-02
55	-5.820920793725024e-01
56	1.233434652369956e-01
57	-8.083410364720656e-01
58	-1.960955567900903e+00
59	6.840873252692556e-01
60	-6.263531099180989e-01
61	8.517965760910484e-01
62	-1.871910359294390e+00
63	-1.537899311072461e-01
64	-2.240514210158134e-05
65	-8.275218248718926e-01
66	1.821686314129593e+00
67	7.549076042673935e-01
68	8.513625086978793e-01
69	-7.656618720566705e-01
70	1.717078466124885e+00
71	7.070547265316071e-01
72	1.584297896927735e-01
73	7.237714111649215e-01
74	-1.732202448023291e+00
75	-2.145147758525162e-01
76	9.128274328379123e-01
77	-6.005090543813532e-01
78	1.485708041904782e+00
79	7.761251995672133e-01
80	1.202741434661223e-01
81	4.120455419791847e-02
82	-2.010884972121183e+00
83	7.335430909576284e-01
84	-7.085921225295191e-01
85	-7.106070123794951e-01
86	-1.831480610878509e+00
87	-7.458064981080631e-01
88	1.672162426455577e-01
89	7.901663169710472e-01
90	4.695125338807381e-01
91	-6.502261530915018e-01
92	1.305501021411886e+00
93	-6.856162816105441e-01
94	-2.009218146667745e+00
95	-6.580960952236972e-01
96	-1.098484936762076e-01
97	7.287381821643039e-01
98	-4.604581332750657e-02
99	-8.117705485982537e-03
100	-1.693948003115026e-01
101	5.998978572998995e-01
102	1.594579518822921e+00
103	6.284980248192188e-01
104	9.817643011849085e-02
105	2.681435292865487e-01
106	-1.885854303324192e+00
107	7.956173046598375e-01
108	1.762555496268275e-01
109	7.891433893651467e-01
110	1.528590574666947e+00
111	-5.809925368256572e-01
112	8.700700913404709e-02
113	8.368473570161232e-01
114	1.710674347501135e+00
115	-7.997446174100318e-01
116	1.157108711611207e+00
117	-4.656583194809683e-02
118	-1.840085245211285e+00
119	-7.018669746432159e-01
120	-2.236717070592583e-01
121	1.396625069827654e-02
122	-1.884514582166705e+00
123	-8.698510250572851e-01
124	1.010020098996680e+00
125	-1.324632468795865e-02
126	4.123937244875554e-01
127	8.301644848783614e-01
128	4.463415726926129e-02
129	-8.100419539355695e-01
130	1.745329081656855e+00
131	7.435957702912105e-01
132	-9.232599276178562e-01
133	-6.634582711636466e-01
134	-1.742710777387438e+00
135	1.720703600386508e-01
136	1.290949892965315e-01
137	7.214653793014300e-01
138	1.866975859790100e+00
139	6.558448853093511e-01
140	-8.535020784885785e-01
141	-8.266746457517395e-01
142	-1.730391599798378e+00
143	-7.639969639889571e-01
144	-6.192847778329435e-02
145	-5.681760514610047e-01
146	-1.647240346152218e+00
147	-2.571619081791457e-01
148	1.018333635470398e+00
149	5.984080535432621e-01
150	1.974236654119592e-01
151	6.238178971697895e-01
152	1.407332116272683e-01
153	-1.447776165337118e-02
154	1.521920707484961e+00
155	-6.429322305461528e-01
156	-5.172744053620233e-01
157	6.956757271444384e-01
158	-1.735429806403468e+00
159	-6.892438106346208e-01
160	-1.512967293381359e-01
