k	eigenvalue	dominant_omega	purity	P_0	P_1	P_2	P_3	P_4
0	1.481392180345188e-7	2	0.59649707	0.00000000	0.32895914	0.59649707	0.06354646	0.01099733
1	1.491922922687054e-7	2	0.59631421	0.00000000	0.28869086	0.59631421	0.10437008	0.01062485
2	1.501501187645559e-7	2	0.47613459	0.00000000	0.43175434	0.47613459	0.07705621	0.01505486
3	1.508312662464364e-7	2	0.56302304	0.00000000	0.30544052	0.56302304	0.12165191	0.00988453
4	1.511725854316025e-7	2	0.59546200	0.00000000	0.25990990	0.59546200	0.13709799	0.00753011
5	1.514348839760584e-7	2	0.53025599	0.00000000	0.29219112	0.53025599	0.16754690	0.01000599
6	1.515588959972939e-7	2	0.49060611	0.00000000	0.31847155	0.49060611	0.18063801	0.01028434
7	1.518372462805896e-7	1	0.44347104	0.00000000	0.44347104	0.43428991	0.11053307	0.01170597
8	1.521107637024043e-7	2	0.49449489	0.00000000	0.34994740	0.49449489	0.14402555	0.01153216
9	1.524298006341770e-7	2	0.49195935	0.00000000	0.33748228	0.49195935	0.16137332	0.00918505
10	1.526559663511244e-7	2	0.49819025	0.00000000	0.33430955	0.49819025	0.15581657	0.01168363
11	1.529036101430913e-7	2	0.51326750	0.00000000	0.27831999	0.51326750	0.19514877	0.01326373
12	1.530350098687317e-7	2	0.50519991	0.00000000	0.27407222	0.50519991	0.20899141	0.01173646
13	1.530973431305669e-7	2	0.46116730	0.00000000	0.34859591	0.46116730	0.17714497	0.01309182
14	1.532321735948247e-7	2	0.50648419	0.00000000	0.32681926	0.50648419	0.15787337	0.00882318
15	1.534874916099850e-7	2	0.41463227	0.00000000	0.39139254	0.41463227	0.18840595	0.00556924
16	1.535663357441532e-7	2	0.54276146	0.00000000	0.27931186	0.54276146	0.16640545	0.01152123
17	1.536523334448862e-7	2	0.50010300	0.00000000	0.31566883	0.50010300	0.16949845	0.01472972
18	1.538060900587949e-7	2	0.51774797	0.00000000	0.30805691	0.51774797	0.16202514	0.01216998
19	1.540229372511948e-7	2	0.44638059	0.00000000	0.32262915	0.44638059	0.22341530	0.00757496
20	1.543328060115115e-7	2	0.51084072	0.00000000	0.32167748	0.51084072	0.15270738	0.01477442
21	1.543753819047408e-7	2	0.54231396	0.00000000	0.28476852	0.54231396	0.16210395	0.01081357
22	1.545198649148612e-7	2	0.49912296	0.00000000	0.31306844	0.49912296	0.17336413	0.01444448
23	1.545422650819477e-7	2	0.49218207	0.00000000	0.32620473	0.49218207	0.16884750	0.01276571
24	1.548314971999598e-7	2	0.48644586	0.00000000	0.33508562	0.48644586	0.16389843	0.01457009
25	1.548630647983962e-7	2	0.54814125	0.00000000	0.25926957	0.54814125	0.17823917	0.01435002
26	1.549538534203647e-7	2	0.54500594	0.00000000	0.26722869	0.54500594	0.16241966	0.02534571
27	1.551349648001810e-7	2	0.47291574	0.00000000	0.33538615	0.47291574	0.17771324	0.01398486
28	1.552992088357735e-7	2	0.49096892	0.00000000	0.35111164	0.49096892	0.14392897	0.01399047
29	1.553631928684895e-7	2	0.52018394	0.00000000	0.30770503	0.52018394	0.15346065	0.01865038
30	1.555569348769197e-7	2	0.54103491	0.00000000	0.27857182	0.54103491	0.16808111	0.01231215
31	1.557581184362514e-7	2	0.51295201	0.00000000	0.26581197	0.51295201	0.20828715	0.01294888
32	1.558773420818268e-7	2	0.53535583	0.00000000	0.25742879	0.53535583	0.19049633	0.01671905
33	1.560246234792859e-7	2	0.49642758	0.00000000	0.31933452	0.49642758	0.16889399	0.01534391
