N	dim	vtgv	D	B_off	F_off	B_plus_F	abs_BF	BF_over_D	BF_times_ln	gap	gap_times_ln	D_frac	sqfree	bosonic_pairs	fermionic_pairs	is_hc
6	5	0.364924707926192	0.191441379123833	0.173483328802358	0.000000000000000	0.173483328802358	1.734833288023584e-1	9.061955654328061e-1	0.310840397134830	0.635075292073808	1.137902168246019	0.524605	4	8	12	true
12	11	0.660673280538374	0.342735438960483	0.554898627953684	-0.236960786375792	0.317937841577892	3.179378415778922e-1	9.276479915301390e-1	0.790045856756148	0.339326719461626	0.843195221640941	0.518767	7	54	56	true
24	23	0.908047854970006	0.499351333972804	1.268346077527154	-0.859649556529953	0.408696520997201	4.086965209972006e-1	8.184548497059966e-1	1.298859544005033	0.091952145029994	0.292228866721284	0.549917	15	246	260	true
36	35	1.021344066084292	0.592893477488683	1.914521319090373	-1.486070730494764	0.428450588595609	4.284505885956087e-1	7.226434509119498e-1	1.535360798425031	-0.021344066084292	-0.076486865036719	0.580503	22	582	608	true
48	47	1.082676332517569	0.659885281713422	2.552362886865410	-2.129571836061261	0.422791050804148	4.227910508041481e-1	6.407038655360702e-1	1.636709143275828	-0.082676332517569	-0.320056702020168	0.609495	30	1082	1080	true
60	59	1.131598117328174	0.712272332661889	3.149243320907986	-2.729917536241699	0.419325784666287	4.193257846662868e-1	5.887155311777889e-1	1.716864246247927	-0.131598117328174	-0.538808036081277	0.629439	36	1686	1736	true
120	119	1.254616629345183	0.876429453069460	5.923300847288460	-5.545113671012721	0.378187176275739	3.781871762757394e-1	4.315089765083087e-1	1.810567983646160	-0.254616629345183	-1.218975010565063	0.698564	74	7022	7020	true
180	179	1.309814400145832	0.973490064329832	8.431852687842390	-8.095528352026438	0.336324335815952	3.363243358159522e-1	3.454830697707059e-1	1.746517763796549	-0.309814400145832	-1.608852811741737	0.743227	108	15926	15936	true
240	239	1.347394439548687	1.042711664920555	10.788955806776272	-10.484273032148071	0.304682774628201	3.046827746282013e-1	2.922023267586780e-1	1.669856273899156	-0.347394439548687	-1.903943487143108	0.773873	148	28334	28548	true
360	359	1.395230778504868	1.140784148513827	15.184250407126415	-14.929803777135273	0.254446629991142	2.544466299911416e-1	2.230453765706910e-1	1.497699334579765	-0.395230778504868	-2.326369478710686	0.817631	218	64122	64400	true
720	719	1.463996330883555	1.309548423811580	26.898919069902210	-26.744471162832159	0.154447907070050	1.544479070700504e-1	1.179398212862670e-1	1.016151579783053	-0.463996330883555	-3.052748422333870	0.894503	440	258074	258168	true
840	839	1.477163487947245	1.347252219943791	30.507889093322358	-30.377977825319739	0.129911268002619	1.299112680026191e-1	9.642683536126527e-2	0.874744777739826	-0.477163487947245	-3.212933532459690	0.912054	512	351302	351780	true
1000	999	1.490137746740076	1.389964293831242	35.151565481388694	-35.051392028481054	0.100173452907640	1.001734529076401e-1	7.206908361043289e-2	0.691973698136620	-0.490137746740076	-3.385751607472170	0.932776	607	498114	498888	true
1260	1259	1.510371043200882	1.446681983393763	42.392278830670286	-42.328589770861619	0.063689059808667	6.368905980866657e-2	4.402422960937051e-2	0.454667727325647	-0.510371043200882	-3.643470998034550	0.957832	766	791646	792176	true
1680	1679	1.530494702674661	1.517437505699267	53.507228300742085	-53.494171103763293	0.013057196978792	1.305719697879226e-2	8.604767530624091e-3	0.096969914110959	-0.530494702674661	-3.939744942060187	0.991469	1024	1408602	1408760	true
2520	2519	1.558100288869801	1.617429906539156	74.192183490911574	-74.251513108580042	-0.059329617668467	5.932961766846745e-2	3.668141502058417e-2	0.464670406903405	-0.558100288869801	-4.371049376572482	1.038078	1535	3170582	3172260	true
5040	5039	1.599748852839363	1.788998329928169	129.701494171665814	-129.890743648761003	-0.189249477095188	1.892494770951885e-1	1.057851614108478e-1	1.613382329733735	-0.599748852839363	-5.112955746569446	1.118299	3067	12692022	12694460	true
