N	dim	vtgv	mellin_l2_logN	zeta_d_cancel	dirichlet_collapse	flat_fejer_ratio	subconv_alpha	r_l2	zeta_l2	d_flat_l2	d_fejer_l2	cross_term_real	zeta_d_product_l2	t_max	n_grid	elapsed
6	5	0.364924707926192	42.6561329314	0.8071246056	1.9260294818	177.4586625933	135.3907269176	1.7940538997	425.8807562329	95.1105276378	0.5359587762	-7.3267352170	162.4422105971	200.0	2043	0.00
12	11	0.660673280538374	105.0108860124	1.0668729644	2.1841244706	149.6426596722	102.0687172117	1.6766121111	425.8807562329	162.6246536421	1.0867532961	-8.4609490048	280.7694882435	200.0	2043	0.00
24	23	0.908047854970006	184.8713185408	1.2251392146	2.4565323482	121.7560155866	139.0015035119	1.6638539547	425.8807562329	227.3877948235	1.8675692838	-8.7079924363	381.2527845830	200.0	2043	0.00
36	35	1.021344066084292	235.5085415947	1.2776196231	2.6148468017	106.1348392736	164.3577725511	1.6719896735	425.8807562329	264.3587429329	2.4907819595	-8.7153488511	428.6890800112	200.0	2043	0.00
48	47	1.082676332517569	274.2263169233	1.3109555586	2.7286597196	95.5342505244	188.7618057143	1.6798596157	425.8807562329	290.2790384182	3.0384813491	-8.7648351037	460.9351369490	200.0	2043	0.00
60	59	1.131598117328174	303.8529802971	1.3263274948	2.7953936357	87.6190483379	199.5261615384	1.6869604208	425.8807562329	310.2200386091	3.5405547594	-8.7428126397	482.0917558117	200.0	2043	0.00
120	119	1.254616629345183	398.4256589042	1.3545425367	2.9737335891	65.5794452995	229.1040158780	1.7097486703	425.8807562329	371.2197792861	5.6606117601	-8.6958132315	538.5824655179	200.0	2043	0.01
180	179	1.309814400145832	463.4253186278	1.3849779821	3.1152043222	54.4923607827	267.0928492131	1.7225389275	425.8807562329	406.6713471533	7.4629056497	-8.6918444888	576.3796841312	200.0	2043	0.01
240	239	1.347394439548687	510.5122788812	1.4010634827	3.2142563515	47.5015302432	296.1033525335	1.7314438646	425.8807562329	431.8564299577	9.0914214289	-8.6604321846	600.8575424639	200.0	2043	0.01
360	359	1.395230778504868	575.9952265599	1.4126446152	3.3271736997	38.7896810060	324.3153169787	1.7433905676	425.8807562329	467.5190238844	12.0526648263	-8.6167690414	630.3424717672	200.0	2043	0.01
720	719	1.463996330883555	692.3084435418	1.4260000235	3.5014499564	26.8276414513	362.6010123379	1.7619704946	425.8807562329	528.4678956334	19.6986342088	-8.5576114116	676.5078579709	200.0	2043	0.03
840	839	1.477163487947245	721.4920367760	1.4332600258	3.5461766032	24.6195305678	375.9413222191	1.7657836317	425.8807562329	541.9570581480	22.0132978025	-8.5451412489	688.5752920815	200.0	2043	0.03
1000	999	1.490137746740076	756.4716697253	1.4439381776	3.5959128653	22.3044947654	391.8279840928	1.7698878046	425.8807562329	557.1680156424	24.9800778499	-8.5340935786	703.3730050357	200.0	2043	0.04
1260	1259	1.510371043200882	800.3608558550	1.4515202396	3.6601270117	19.5181645179	410.5961260960	1.7753824199	425.8807562329	577.2287837310	29.5739275690	-8.5152230668	719.6827509065	200.0	2043	0.05
1680	1679	1.530494702674661	859.9616281981	1.4669133198	3.7391343764	16.4638796415	435.7053280352	1.7816931277	425.8807562329	602.0257324476	36.5664561182	-8.4946696865	742.7727931742	200.0	2043	0.08
2520	2519	1.558100288869801	946.2424338613	1.4869226624	3.8435107573	12.8604315763	471.9209186300	1.7901530528	425.8807562329	636.6554272794	49.5049815011	-8.4645127526	774.2560574373	200.0	2043	0.18
5040	5039	1.599748852839363	1096.3153373164	1.5123540242	3.9889209724	8.2881811318	516.4486564663	1.8033004306	425.8807562329	695.4195166096	83.9049612397	-8.4203285593	823.0399419437	200.0	2043	0.42
7560	7559	1.621449902355797	1189.1520259790	1.5278192479	4.0701502985	6.3520019527	542.7431031722	1.8102979857	425.8807562329	729.5660973341	114.8560883266	-8.4007359960	851.6248148180	200.0	2043	0.84
10000	9999	1.634900969640520	1259.6978845223	1.5438482666	4.1357695853	5.2680353646	567.7900961521	1.8148285922	425.8807562329	753.0406492312	142.9452532339	-8.3792497087	874.2946741385	200.0	2043	1.40
10080	10079	1.635318752678114	1261.9304664806	1.5445397400	4.1377571230	5.2398163125	568.6060578206	1.8149571137	425.8807562329	753.7088142010	143.8426023460	-8.3796325109	875.0742254379	200.0	2043	1.28
15120	15119	1.653761865632027	1372.1551004287	1.5724323741	4.2321834743	3.9756858143	607.2047684627	1.8211742141	425.8807562329	787.6874511469	198.1261819819	-8.3516038698	910.7369320272	200.0	2043	3.02
20000	19999	1.666020655825898	1450.1672247663	1.5906828274	4.2920498177	3.2762147816	629.9685189545	1.8252502988	425.8807562329	811.1140410435	247.5765769725	-8.3430184630	934.9073208676	200.0	2043	5.24
20160	20159	1.666325722585436	1452.1913088926	1.5909483911	4.2935577242	3.2580900830	630.4862536479	1.8253619935	425.8807562329	811.7813425548	249.1586548762	-8.3416580147	935.4479612963	200.0	2043	4.95
25200	25199	1.675585597174184	1511.1584452952	1.6003007414	4.3324182625	2.7872047703	643.4233917873	1.8284799361	425.8807562329	830.4818904701	297.9622808235	-8.3366173555	951.7232917611	200.0	2043	8.57
27720	27719	1.679383607307932	1536.6507915005	1.6042327651	4.3492283320	2.6063028742	649.4341714190	1.8297770749	425.8807562329	838.4754508024	321.7106726583	-8.3324398128	958.6422515284	200.0	2043	10.50
40000	39999	1.693213844105873	1639.0368007159	1.6215604164	4.4160045231	2.0085912654	674.5389564525	1.8345838207	425.8807562329	869.2866919848	432.7842637577	-8.3106908227	986.6398628379	200.0	2043	24.25
45360	45359	1.697987275173693	1676.6799826001	1.6291973132	4.4392955491	1.8354716386	683.3905728903	1.8361825197	425.8807562329	879.8724776923	479.3713284387	-8.3132426186	997.3039980869	200.0	2043	27.35
55440	55439	1.704703514846196	1734.2462650444	1.6380462393	4.4767474467	1.5882591038	697.8764193775	1.8386389174	425.8807562329	896.7836492891	564.6330923850	-8.2863509411	1012.3111164221	200.0	2043	43.17
