N	dim	lambda_min	lambda_max	condition	trace	r_mean	r_std	beta_eff	ensemble	ks_gue	ks_goe	ks_poisson	number_var	delta3	ipr	min_overlap	max_overlap	vtgv	rayleigh	engine	elapsed
6	5	2.3200140189e-2	1.1446564166	4.933834e1	1.3365701411	0.414862	0.347213	0.1978	Poisson	0.310865	0.280401	0.282248	0.000000	0.000000	0.3914737100	0.0567024232	0.5717674290	0.3649247079	0.6808820456	GPU-spectral (0.4s)	0.38
12	11	7.0030143102e-3	1.7155914129	2.449790e2	2.0864598797	0.488626	0.306375	0.7086	GOE (β=1)	0.549677	0.485753	0.275014	1.440000	0.045958	0.2373320612	0.0150670530	0.3245759809	0.6606732805	0.6079330819	GPU-spectral (0.0s)	0.01
24	23	1.8947639668e-3	2.2915046257	1.209388e3	2.8954199247	0.482583	0.310986	0.6668	GOE (β=1)	0.620600	0.568766	0.382495	16.264463	0.528950	0.1488440011	0.0022747818	0.1826486210	0.9080478550	0.4862190993	GPU-spectral (0.0s)	0.01
36	35	8.7403983364e-4	2.6176698959	2.994909e3	3.3845057278	0.575624	0.253060	1.6520	GUE (β=2)	0.667219	0.608473	0.409953	60.948097	1.648655	0.1003015238	0.0001751893	0.1289950966	1.0213440661	0.4100495678	GPU-spectral (0.0s)	0.01
48	47	5.0776996294e-4	2.8414526750	5.595945e3	3.7360558554	0.555497	0.245301	1.3599	GOE (β=1)	0.688143	0.639883	0.491168	132.491493	3.672495	0.0777749151	0.0021125767	0.0993824047	1.0826763325	0.3563215331	GPU-spectral (0.0s)	0.01
60	59	3.3110272286e-4	3.0101502819	9.091288e3	4.0106650694	0.490389	0.251282	0.7208	GOE (β=1)	0.721429	0.686059	0.537607	240.439952	6.555852	0.0682512555	0.0000044680	0.0818609140	1.1315981173	0.3196103984	GPU-spectral (0.0s)	0.02
120	119	8.6650859542e-5	3.5042857744	4.044144e4	4.8710282538	0.574446	0.256454	1.6349	GUE (β=2)	0.772092	0.750513	0.650884	1187.365125	41.439924	0.0689391023	0.0001547414	0.0443324004	1.2546166293	0.2216397595	GPU-spectral (0.0s)	0.02
180	179	3.9410122011e-5	3.7716660678	9.570298e4	5.3776770515	0.514538	0.262289	0.8881	GOE (β=1)	0.833457	0.815862	0.704300	2814.011867	114.277626	0.0313119792	0.0001016701	0.0306379820	1.3098144001	0.1755099772	GPU-spectral (0.0s)	0.03
240	239	2.2528542611e-5	3.9517036811	1.754088e5	5.7380905458	0.532206	0.250890	1.0219	GOE (β=1)	0.849761	0.817940	0.736603	5113.433515	223.888981	0.0218711518	0.0000180452	0.0236609407	1.3473944395	0.1482050359	GPU-spectral (0.0s)	0.02
360	359	1.0330986791e-5	4.1921385370	4.057830e5	6.2469862319	0.510679	0.258850	0.8614	GOE (β=1)	0.879255	0.856401	0.782385	11601.244343	589.900172	0.0172425098	0.0000023991	0.0163992061	1.3952307785	0.1157611863	GPU-spectral (0.0s)	0.03
