N	vtgv	gap	gap_ln	diag	bos	fer	cancel%	vacuum	higgs	quark	meson	baryon	tetra	penta	hexa	excluded
6	0.3649247079	0.6350752921	1.1379021682	0.1914413791	0.1734833288	0.0000000000	0.00	0.0000000000	0.2215826936	0.1433420143	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
12	0.6606732805	0.3393267195	0.8431952216	0.3427354390	0.5548986280	-0.2369607864	42.70	0.0000000000	0.3456825471	0.4137426375	-0.0987519041	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
24	0.9080478550	0.0919521450	0.2922288667	0.4993513340	1.2683460775	-0.8596495565	67.78	0.0000000000	0.4355140367	0.7708500165	-0.2983161983	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
36	1.0213440661	-0.0213440661	-0.0764868650	0.5928934775	1.9145213191	-1.4860707305	77.62	0.0000000000	0.4748237558	0.9986605134	-0.4585845845	0.0064443814	0.0000000000	0.0000000000	0.0000000000	0.0000000000
48	1.0826763325	-0.0826763325	-0.3200567020	0.6598852817	2.5523628869	-2.1295718361	83.44	0.0000000000	0.4968661964	1.1620158224	-0.5955598143	0.0193541281	0.0000000000	0.0000000000	0.0000000000	0.0000000000
60	1.1315981173	-0.1315981173	-0.5388080361	0.7122723327	3.1492433209	-2.7299175362	86.68	0.0000000000	0.5133621935	1.2967326384	-0.7102803844	0.0317836698	0.0000000000	0.0000000000	0.0000000000	0.0000000000
120	1.2546166293	-0.2546166293	-1.2189750106	0.8764294531	5.9233008473	-5.5451136710	93.62	0.0000000000	0.5549042744	1.7317951420	-1.1267211169	0.0946383299	0.0000000000	0.0000000000	0.0000000000	0.0000000000
180	1.3098144001	-0.3098144001	-1.6088528117	0.9734900643	8.4318526878	-8.0955283520	96.01	0.0000000000	0.5738587359	1.9893108792	-1.4048063573	0.1514511422	0.0000000000	0.0000000000	0.0000000000	0.0000000000
240	1.3473944395	-0.3473944395	-1.9039434871	1.0427116649	10.7889558068	-10.4842730321	97.18	0.0000000000	0.5862969672	2.1797812096	-1.6211854897	0.2032824033	-0.0007806509	0.0000000000	0.0000000000	0.0000000000
360	1.3952307785	-0.3952307785	-2.3263694787	1.1407841485	15.1842504071	-14.9298037771	98.32	0.0000000000	0.6020183735	2.4540267101	-1.9496472992	0.2921537056	-0.0033207115	0.0000000000	0.0000000000	0.0000000000
