N	vtgv	gap	gap_ln	diag	bos	fer	vacuum	higgs	quark	meson	baryon	tetra	penta	excluded
6	0.0656242830	0.9343757170	1.6741765387	0.4521027810	0.1734833291	-0.5599618271	-0.0193195120	0.0546783529	0.0302654422	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
12	0.1619204642	0.8380795358	2.0825494116	0.6033968411	0.6714450871	-1.1129214640	-0.1190457080	0.1494041434	0.1720407036	-0.0404786749	0.0000000000	0.0000000000	0.0000000000	0.0000000000
24	0.2755030604	0.7244969396	2.3024902740	0.7600127351	1.5678818485	-2.0523915232	-0.1859416961	0.2226747873	0.3873182813	-0.1485483122	0.0000000000	0.0000000000	0.0000000000	0.0000000000
36	0.3338424375	0.6661575625	2.3871882411	0.8535548785	2.3480843991	-2.8677968401	-0.2134201131	0.2552669567	0.5304671267	-0.2418030437	0.0033315109	0.0000000000	0.0000000000	0.0000000000
48	0.3666946034	0.6333053966	2.4516524917	0.9205466827	3.0999123122	-3.6537643915	-0.2276601633	0.2733966146	0.6324619481	-0.3217851007	0.0102813046	0.0000000000	0.0000000000	0.0000000000
60	0.3934573768	0.6065426232	2.4833944911	0.9729337353	3.7873747321	-4.3668510906	-0.2387396705	0.2872362798	0.7189030541	-0.3912146799	0.0172723933	0.0000000000	0.0000000000	0.0000000000
120	0.4629256642	0.5370743358	2.5712389478	1.1370908560	6.8838662102	-7.5580314020	-0.2655147828	0.3221062786	0.9989258249	-0.6464384368	0.0538467804	0.0000000000	0.0000000000	0.0000000000
180	0.4949835240	0.5050164760	2.6225287687	1.2341514652	9.6059952036	-10.3451631448	-0.2770847364	0.3379835147	1.1643771933	-0.8177350969	0.0874426494	0.0000000000	0.0000000000	0.0000000000
240	0.5170579794	0.4829420206	2.6468308360	1.3033730658	12.1252376997	-12.9115527862	-0.2848375284	0.3485145504	1.2885397734	-0.9533699222	0.1186663746	-0.0004552685	0.0000000000	0.0000000000
360	0.5454346637	0.4545653363	2.6756188584	1.4014455517	16.7641146766	-17.6201255646	-0.2945673578	0.3618644606	1.4682695979	-1.1610738311	0.1729038369	-0.0019620428	0.0000000000	0.0000000000
720	0.5868669577	0.4131330423	2.7181060692	1.5702098244	28.9351756225	-29.9185184892	-0.3082339832	0.3810319467	1.7820935845	-1.5537944149	0.2942622434	-0.0084924188	0.0000000000	0.0000000000
840	0.5948681858	0.4051318142	2.7279153240	1.6079136205	32.6526757941	-33.6657212288	-0.3108169462	0.3847345011	1.8519806645	-1.6462899587	0.3260213875	-0.0107614624	0.0000000000	0.0000000000
1260	0.6151692982	0.3848307018	2.7472551974	1.7073433837	44.8337874263	-45.9259615118	-0.3172701666	0.3939496417	2.0412882271	-1.9045133251	0.4203590661	-0.0186441449	0.0000000000	0.0000000000
1680	0.6275541512	0.3724458488	2.7659873728	1.7780989058	56.1702590009	-57.3208037555	-0.3211395805	0.3996575094	2.1706525098	-2.0880278263	0.4924529618	-0.0260414229	0.0000000000	0.0000000000
2520	0.6446273132	0.3553726868	2.7832839223	1.8780913095	77.1812956235	-78.4147596198	-0.3264058386	0.4073203628	2.3612015255	-2.3673297057	0.6092226120	-0.0394115472	0.0000299043	0.0000000000
5040	0.6705111821	0.3294888179	2.8089453393	2.0496597326	133.2875375739	-134.6666861245	-0.3342882333	0.4188784249	2.6927426483	-2.8789315409	0.8435362002	-0.0720157426	0.0005894256	0.0000000000
