N	vtgv	gap	gap_ln	diag	bos	fer	cancel%	vacuum	higgs	quark	meson	baryon	tetra	penta	hexa	excluded
6	0.0656242824	0.9343757176	1.6741765399	0.4521027806	0.1734833288	-0.5599618271	30.98	-0.0193195120	0.0546783524	0.0302654420	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
12	0.1619204631	0.8380795369	2.0825494143	0.6033968405	0.6714450865	-1.1129214638	60.33	-0.1190457080	0.1494041428	0.1720407031	-0.0404786748	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
24	0.2755030613	0.7244969387	2.3024902713	0.7600127355	1.5678818494	-2.0523915236	76.39	-0.1859416961	0.2226747878	0.3873182819	-0.1485483123	0.0000000000	0.0000000000	0.0000000000	0.0000000000	0.0000000000
36	0.3338424385	0.6661575615	2.3871882378	0.8535548790	2.3480844002	-2.8677968408	81.88	-0.2134201131	0.2552669572	0.5304671274	-0.2418030440	0.0033315109	0.0000000000	0.0000000000	0.0000000000	0.0000000000
48	0.3666946043	0.6333053957	2.4516524879	0.9205466832	3.0999123135	-3.6537643924	84.84	-0.2276601633	0.2733966152	0.6324619489	-0.3217851010	0.0102813046	0.0000000000	0.0000000000	0.0000000000	0.0000000000
60	0.3934573749	0.6065426251	2.4833944989	0.9729337342	3.7873747303	-4.3668510896	86.73	-0.2387396705	0.2872362789	0.7189030529	-0.3912146797	0.0172723933	0.0000000000	0.0000000000	0.0000000000	0.0000000000
120	0.4629256622	0.5370743378	2.5712389574	1.1370908546	6.8838662080	-7.5580314004	91.08	-0.2655147828	0.3221062776	0.9989258236	-0.6464384365	0.0538467804	0.0000000000	0.0000000000	0.0000000000	0.0000000000
180	0.4949835258	0.5050164742	2.6225287598	1.2341514658	9.6059952073	-10.3451631473	92.85	-0.2770847364	0.3379835154	1.1643771949	-0.8177350976	0.0874426495	0.0000000000	0.0000000000	0.0000000000	0.0000000000
240	0.5170579812	0.4829420188	2.6468308260	1.3033730664	12.1252377052	-12.9115527905	93.91	-0.2848375284	0.3485145511	1.2885397753	-0.9533699229	0.1186663747	-0.0004552685	0.0000000000	0.0000000000	0.0000000000
360	0.5454346614	0.4545653386	2.6756188720	1.4014455500	16.7641146807	-17.6201255693	95.14	-0.2945673578	0.3618644596	1.4682695968	-1.1610738311	0.1729038367	-0.0019620428	0.0000000000	0.0000000000	0.0000000000
720	0.5868669630	0.4131330370	2.7181060342	1.5702098253	28.9351756656	-29.9185185279	96.71	-0.3082339832	0.3810319472	1.7820935883	-1.5537944130	0.2942622422	-0.0084924185	0.0000000000	0.0000000000	0.0000000000
840	0.5948681940	0.4051318060	2.7279152691	1.6079136215	32.6526758499	-33.6657212773	96.99	-0.3108169462	0.3847345016	1.8519806684	-1.6462899534	0.3260213853	-0.0107614617	0.0000000000	0.0000000000	0.0000000000
1000	0.6027977069	0.3972022931	2.7437762373	1.6506256953	37.4221836207	-38.4700116092	97.28	-0.3133393192	0.3884949324	1.9267657985	-1.7472800178	0.3618857132	-0.0137294003	0.0000000000	0.0000000000	0.0000000000
1260	0.6151693084	0.3848306916	2.7472551248	1.7073433849	44.8337875882	-45.9259616647	97.62	-0.3172701666	0.3939496416	2.0412882191	-1.9045132901	0.4203590475	-0.0186441431	0.0000000000	0.0000000000	0.0000000000
1680	0.6275541402	0.3724458598	2.7659874543	1.7780989072	56.1702593816	-57.3208041485	97.99	-0.3211395805	0.3996575089	2.1706524859	-2.0880277680	0.4924529157	-0.0260414219	0.0000000000	0.0000000000	0.0000000000
2520	0.6446272102	0.3553727898	2.7832847291	1.8780913080	77.1812968116	-78.4147609095	98.43	-0.3264058386	0.4073203601	2.3612014467	-2.3673295993	0.6092224835	-0.0394115465	0.0000299041	0.0000000000	0.0000000000
5040	0.6705109846	0.3294890154	2.8089470226	2.0496597314	133.2875437100	-134.6666924568	98.98	-0.3342882333	0.4188784218	2.6927424673	-2.8789312742	0.8435359144	-0.0720157334	0.0005894221	0.0000000000	0.0000000000
7560	0.6840969455	0.3159030545	2.8212121799	2.1503429401	183.8718068254	-185.3380528199	99.21	-0.3383457777	0.4248715166	2.8902752071	-3.1982671764	1.0020291730	-0.0977580771	0.0012920798	0.0000000000	0.0000000000
10000	0.6925464495	0.3074535505	2.8317518483	2.2199224015	229.8438645119	-231.3712404639	99.34	-0.3408465593	0.4286302585	3.0213778920	-3.4152567154	1.1143636424	-0.1177280615	0.0020059929	0.0000000000	0.0000000000
10080	0.6928086764	0.3071913236	2.8317844026	2.2219058923	231.3130588664	-232.8421560823	99.34	-0.3409243374	0.4287425544	3.0257526844	-3.4226476149	1.1182903875	-0.1184386952	0.0020336976	0.0000000000	0.0000000000
15120	0.7044221793	0.2955778207	2.8445740419	2.3229315247	320.1968874939	-321.8153968393	99.50	-0.3443391424	0.4338679901	3.2191804720	-3.7508935206	1.2953957549	-0.1523070693	0.0035176946	0.0000000000	0.0000000000
20000	0.7121658961	0.2878341039	2.8505614652	2.3927270720	401.2314101782	-402.9119713542	99.58	-0.3465966791	0.4372344821	3.3597301448	-3.9960357193	1.4334040589	-0.1805649935	0.0049946021	0.0000000000	0.0000000000
