N	dim	vtgv	D	B_off	F_off	B_plus_F	gap	gap_times_ln	D_frac	BF_frac	sqfree	bosonic_pairs	fermionic_pairs	is_hc
2	1	0.380330699984320	0.380330699984320	0.000000000000000	0.000000000000000	0.000000000000000	0.619669300015680	0.429522028185424	1.000000	0.000000	1	0	0	true
6	5	0.105516279869839	0.536240765326905	0.149384545126121	-0.580109030583187	-0.430724485457066	0.894483720130161	1.602699675613553	5.082067	-4.082067	4	8	12	true
12	11	0.155382482014235	0.662111501417764	0.609132856875485	-1.115861876279013	-0.506729019403528	0.844617517985765	2.098795686970262	4.261172	-3.261172	8	50	60	true
24	23	0.239409325095967	0.795955802097422	1.452574210434450	-2.009120687435904	-0.556546477001454	0.760590674904033	2.417198107705692	3.324665	-2.324665	16	246	260	true
36	35	0.287832205724247	0.877632072481323	2.194676323878050	-2.784476190635124	-0.589799866757074	0.712167794275753	2.552066778145677	3.049110	-2.049110	23	582	608	true
48	47	0.316053048718089	0.936853164375045	2.914800189009154	-3.535600304666110	-0.620800115656956	0.683946951281911	2.647696129209905	2.964228	-1.964228	31	1070	1092	true
60	59	0.339581568669622	0.983563171842067	3.575402511513528	-4.219384114685962	-0.643981603172434	0.660418431330378	2.703980613108784	2.896397	-1.896397	37	1686	1736	true
120	119	0.402946036248766	1.131899048311206	6.573956081586106	-7.302909093648542	-0.728953012062436	0.597053963751234	2.858390921454321	2.809059	-1.809059	75	7002	7040	true
180	179	0.433156072010313	1.220845587094138	9.228556889841869	-10.016246404925672	-0.787689515083803	0.566843927989687	2.943596059239560	2.818489	-1.818489	109	15902	15960	true
240	239	0.454275421786088	1.284761742044129	11.695082597858310	-12.525568918116317	-0.830486320258007	0.545724578213912	2.990919364783556	2.828156	-1.828156	149	28334	28548	true
360	359	0.481799362647293	1.375930778638816	16.252950820796119	-17.147082236787714	-0.894131415991595	0.518200637352707	3.050182860621808	2.855817	-1.855817	219	64122	64400	true
720	719	0.522658756589826	1.534258662150037	28.267503001084346	-29.279102906644532	-1.011599905560185	0.477341243410174	3.140547954248798	2.935488	-1.935488	441	258026	258216	true
840	839	0.530657305365460	1.569848970375776	31.947074112923339	-32.986265777933546	-1.039191665010208	0.469342694634540	3.160272987972258	2.958310	-1.958310	513	351302	351780	true
1000	999	0.538656237890478	1.610252979493404	36.672367801746084	-37.743964543349882	-1.071596741603798	0.461343762109522	3.186849808137528	2.989389	-1.989389	608	498114	498888	false
1260	1259	0.551042339069590	1.664039113447944	44.023071078058877	-45.136067852439233	-1.112996774380356	0.448957660930410	3.205049029988833	3.019803	-2.019803	767	791646	792176	true
1680	1679	0.563630249987031	1.731336291830371	55.280184042098732	-56.447890083947044	-1.167706041848312	0.436369750012969	3.240721362181057	3.071759	-2.071759	1025	1408526	1408836	true
2520	2519	0.581048796552386	1.826784088795452	76.172744482742729	-77.418479774984988	-1.245735292242259	0.418951203447614	3.281231766341547	3.143943	-2.143943	1536	3170526	3172316	true
5040	5039	0.607702684724495	1.991370936507274	132.058362928364659	-133.442031180129703	-1.383668251765044	0.392297315275505	3.344397914236433	3.276884	-2.276884	3068	12692022	12694460	true
