N	dim	vtgv	D	B_off	F_off	B_plus_F	gap	gap_times_ln	D_frac	BF_frac	sqfree	bosonic_pairs	fermionic_pairs	is_hc
2	1	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	0.000000000000000	1.000000000000000	0.693147180559945	0.000000	0.000000	1	0	0	true
6	5	0.364924707926192	0.191441379123833	0.173483328802358	0.000000000000000	0.173483328802358	0.635075292073808	1.137902168246019	0.524605	0.475395	4	8	12	true
12	11	0.660673280538374	0.342735438960483	0.554898627953684	-0.236960786375792	0.317937841577892	0.339326719461626	0.843195221640941	0.518767	0.481233	7	54	56	true
24	23	0.908047854970006	0.499351333972804	1.268346077527154	-0.859649556529953	0.408696520997201	0.091952145029994	0.292228866721284	0.549917	0.450083	15	246	260	true
36	35	1.021344066084292	0.592893477488683	1.914521319090373	-1.486070730494764	0.428450588595609	-0.021344066084292	-0.076486865036719	0.580503	0.419497	22	582	608	true
48	47	1.082676332517569	0.659885281713422	2.552362886865410	-2.129571836061261	0.422791050804148	-0.082676332517569	-0.320056702020168	0.609495	0.390505	30	1082	1080	true
60	59	1.131598117328174	0.712272332661889	3.149243320907986	-2.729917536241699	0.419325784666287	-0.131598117328174	-0.538808036081277	0.629439	0.370561	36	1686	1736	true
120	119	1.254616629345183	0.876429453069460	5.923300847288460	-5.545113671012721	0.378187176275739	-0.254616629345183	-1.218975010565063	0.698564	0.301436	74	7022	7020	true
180	179	1.309814400145832	0.973490064329832	8.431852687842390	-8.095528352026438	0.336324335815952	-0.309814400145832	-1.608852811741737	0.743227	0.256773	108	15926	15936	true
240	239	1.347394439548687	1.042711664920555	10.788955806776272	-10.484273032148071	0.304682774628201	-0.347394439548687	-1.903943487143108	0.773873	0.226127	148	28334	28548	true
360	359	1.395230778504868	1.140784148513827	15.184250407126415	-14.929803777135273	0.254446629991142	-0.395230778504868	-2.326369478710686	0.817631	0.182369	218	64122	64400	true
720	719	1.463996330883555	1.309548423811580	26.898919069902210	-26.744471162832159	0.154447907070050	-0.463996330883555	-3.052748422333870	0.894503	0.105497	440	258074	258168	true
840	839	1.477163487947245	1.347252219943791	30.507889093322358	-30.377977825319739	0.129911268002619	-0.477163487947245	-3.212933532459690	0.912054	0.087946	512	351302	351780	true
1000	999	1.490137746740076	1.389964293831242	35.151565481388694	-35.051392028481054	0.100173452907640	-0.490137746740076	-3.385751607472170	0.932776	0.067224	607	498114	498888	false
1260	1259	1.510371043200882	1.446681983393763	42.392278830670286	-42.328589770861619	0.063689059808667	-0.510371043200882	-3.643470998034550	0.957832	0.042168	766	791646	792176	true
1680	1679	1.530494702674661	1.517437505699267	53.507228300742085	-53.494171103763293	0.013057196978792	-0.530494702674661	-3.939744942060187	0.991469	0.008531	1024	1408602	1408760	true
2520	2519	1.558100288869801	1.617429906539156	74.192183490911574	-74.251513108580042	-0.059329617668467	-0.558100288869801	-4.371049376572482	1.038078	-0.038078	1535	3170582	3172260	true
5040	5039	1.599748852839363	1.788998329928169	129.701494171665814	-129.890743648761003	-0.189249477095188	-0.599748852839363	-5.112955746569446	1.118299	-0.118299	3067	12692022	12694460	true
7560	7559	1.621449902355797	1.889681538549193	179.913739040615241	-180.181970676769907	-0.268231636154667	-0.621449902355797	-5.549936947244014	1.165427	-0.165427	4595	28563666	28567256	true
10000	9999	1.634900969640520	1.959260999993649	225.619154772661432	-225.943514803063124	-0.324360030401692	-0.634900969640520	-5.847654032886910	1.198397	-0.198397	6082	49984514	49985488	false
10080	10079	1.635318752678114	1.961244490751183	227.080644170940616	-227.406569908982732	-0.325925738042116	-0.635318752678114	-5.856564284467424	1.199304	-0.199304	6130	50786826	50789336	true
15120	15119	1.653761865632027	2.062270123207515	315.563525244353343	-315.972033502048021	-0.408508257694677	-0.653761865632027	-6.291656215670130	1.247018	-0.247018	9194	114279774	114289268	true
20000	19999	1.666020655825898	2.132065670527341	396.311675148989877	-396.777720163713582	-0.466045014723704	-0.666020655825898	-6.595927274703732	1.279735	-0.279735	12159	199961514	199978488	false
20160	20159	1.666325722585436	2.134055087261316	398.896393319742401	-399.364122684428196	-0.467729364685795	-0.666325722585436	-6.604257895958680	1.280695	-0.280695	12256	203174222	203190900	true
25200	25199	1.675585597174184	2.189792267447114	478.658823759311019	-479.173030429998050	-0.514206670687031	-0.675585597174184	-6.846789302308218	1.306882	-0.306882	15319	317479262	317485140	true
27720	27719	1.679383607307932	2.213613279225073	517.490175773348028	-518.024405445759157	-0.534229672411129	-0.679383607307932	-6.950032786819079	1.318111	-0.318111	16857	384150842	384164400	true
40000	39999	1.693213844105873	2.305344884284892	699.222052280717776	-699.834183321136493	-0.612131040418717	-0.693213844105873	-7.345733897915336	1.361520	-0.361520	24309	799936382	799943620	false
45360	45359	1.697987275173693	2.336826186501015	775.489176254696076	-776.128015164969838	-0.638838910273762	-0.697987275173693	-7.484088944505675	1.376233	-0.376233	27579	1028688362	1028705160	true
55440	55439	1.704703514846196	2.387089670556758	915.128562233104276	-915.810948390052090	-0.682386156947814	-0.704703514846196	-7.697516402747870	1.400296	-0.400296	33711	1536694242	1536733040	true
