k	weight	is_prime	d(k)	sigma(k)	omega	Omega	hub	class	factors
2	3.093143400982e-11	1	2	3	1	1	1497	gauge boson (light)	2 (prime)
3	2.709583028716e-10	1	2	4	1	1	1662	gauge boson (light)	3 (prime)
4	7.456821454405e-10	0	3	7	1	2	1995	spectator	2^2
5	2.912355822664e-10	1	2	6	1	1	1794	gauge boson (light)	5 (prime)
6	5.871324491473e-10	0	4	12	2	2	2491	spectator	2·3
7	1.392049775737e-9	1	2	8	1	1	1844	gauge boson (light)	7 (prime)
8	9.188003671243e-10	0	4	15	1	3	2491	spectator	2^3
9	1.020468228799e-9	0	3	13	1	2	2322	spectator	3^2
10	8.414874262264e-9	0	4	18	2	2	2689	spectator	2·5
11	6.313089020591e-10	1	2	12	1	1	1888	gauge boson (light)	11 (prime)
12	2.343706784148e-9	0	6	28	2	3	3317	spectator	2^2·3
13	1.100250833013e-8	1	2	14	1	1	1898	gauge boson (light)	13 (prime)
14	1.488996376962e-7	0	4	24	2	2	2763	spectator	2·7
15	2.199824250513e-7	0	4	24	2	2	2978	spectator	3·5
16	8.910988325713e-8	0	5	31	1	4	2979	spectator	2^4
17	4.956964651871e-8	1	2	18	1	1	1910	gauge boson (light)	17 (prime)
18	3.291239706211e-8	0	6	39	2	3	3475	spectator	2·3^2
19	1.129312531151e-9	1	2	20	1	1	1916	gauge boson (light)	19 (prime)
20	3.008744434555e-8	0	6	42	2	3	3579	spectator	2^2·5
21	2.479980105217e-8	0	4	32	2	2	3060	spectator	3·7
22	1.203675173345e-8	0	4	36	2	2	2827	spectator	2·11
23	1.035178325644e-9	1	2	24	1	1	1922	gauge boson (light)	23 (prime)
24	5.470123815488e-9	0	8	60	2	4	4133	spectator	2^3·3
25	6.171241184963e-8	0	3	31	1	2	2574	spectator	5^2
26	1.569042547485e-7	0	4	42	2	2	2841	spectator	2·13
27	2.203796401359e-10	0	4	40	1	3	2970	spectator	3^3
28	2.038398903685e-7	0	6	56	2	3	3669	spectator	2^2·7
29	2.589508084907e-7	1	2	30	1	1	1922	gauge boson (light)	29 (prime)
30	7.326550823755e-7	0	8	72	3	3	4459	spectator	2·3·5
31	1.206828481599e-8	1	2	32	1	1	1928	gauge boson (light)	31 (prime)
32	1.324792769841e-7	0	6	63	1	5	3459	spectator	2^5
33	6.625088405716e-8	0	4	48	2	2	3132	spectator	3·11
34	7.632611960381e-7	0	4	54	2	2	2857	spectator	2·17
35	3.303878732637e-7	0	4	48	2	2	3288	spectator	5·7
36	1.912054324260e-7	0	9	91	2	4	4613	spectator	2^2·3^2
37	4.174743334999e-7	1	2	38	1	1	1934	gauge boson (light)	37 (prime)
38	1.169101089834e-7	0	4	60	2	2	2865	spectator	2·19
39	3.630898787877e-8	0	4	56	2	2	3138	spectator	3·13
40	1.175810644022e-7	0	8	90	2	4	4459	spectator	2^3·5
41	2.727131105299e-7	1	2	42	1	1	1918	gauge boson (light)	41 (prime)
42	2.344383420465e-6	0	8	96	3	3	4573	spectator	2·3·7
43	5.188317193317e-7	1	2	44	1	1	1922	gauge boson (light)	43 (prime)
44	2.700003739472e-7	0	6	84	2	3	3745	spectator	2^2·11
45	5.347935640235e-7	0	6	78	2	3	4142	spectator	3^2·5
46	1.657918906801e-7	0	4	72	2	2	2861	spectator	2·23
47	1.490825641810e-7	1	2	48	1	1	1918	gauge boson (light)	47 (prime)
48	2.731817556798e-7	0	10	124	2	5	4925	spectator	2^4·3
49	1.140220324538e-9	0	3	57	1	2	2642	spectator	7^2
50	1.193580992861e-7	0	6	93	2	3	3849	spectator	2·5^2
51	2.339158363298e-6	0	4	72	2	2	3150	spectator	3·17
52	7.150159806049e-6	0	6	98	2	3	3771	spectator	2^2·13
53	3.635711039305e-6	1	2	54	1	1	1882	gauge boson (light)	53 (prime)
54	9.774347647775e-7	0	8	120	2	4	4429	spectator	2·3^3
55	3.489322984720e-7	0	4	72	2	2	3364	spectator	5·11
56	9.972334712557e-8	0	8	120	2	4	4549	spectator	2^3·7
57	1.449520905820e-6	0	4	80	2	2	3156	spectator	3·19
58	5.778196289021e-6	0	4	90	2	2	2869	spectator	2·29
59	9.722996723956e-7	1	2	60	1	1	1868	gauge boson (light)	59 (prime)
60	3.205470544247e-8	0	12	168	3	4	5917	spectator	2^2·3·5
61	1.241753344071e-7	1	2	62	1	1	1898	gauge boson (light)	61 (prime)
62	1.544050825930e-7	0	4	96	2	2	2877	spectator	2·31
63	2.975662354889e-7	0	6	104	2	3	4224	spectator	3^2·7
64	1.938180967575e-6	0	7	127	1	6	3907	spectator	2^6
65	3.832323252896e-6	0	4	84	2	2	3366	spectator	5·13
66	1.287978688200e-6	0	8	144	3	3	4681	spectator	2·3·11
67	2.575249065076e-7	1	2	68	1	1	1856	gauge boson (light)	67 (prime)
68	6.959340498340e-7	0	6	126	2	3	3771	spectator	2^2·17
69	3.909332322225e-7	0	4	96	2	2	3158	spectator	3·23
70	9.005981620582e-9	0	8	144	3	3	4915	spectator	2·5·7
71	1.466089551929e-7	1	2	72	1	1	1908	gauge boson (light)	71 (prime)
72	4.275241993559e-7	0	12	195	2	5	5717	spectator	2^3·3^2
73	1.497778763221e-8	1	2	74	1	1	1862	gauge boson (light)	73 (prime)
74	1.659915485320e-8	0	4	114	2	2	2865	spectator	2·37
75	3.156424204571e-6	0	6	124	2	3	4238	spectator	3·5^2
76	8.664793451000e-7	0	6	140	2	3	3795	spectator	2^2·19
77	2.586199086603e-6	0	4	96	2	2	3394	spectator	7·11
78	4.797035792045e-6	0	8	168	3	3	4675	spectator	2·3·13
79	1.836194463393e-7	1	2	80	1	1	1856	gauge boson (light)	79 (prime)
