bin_center	count	density
1.405709016796154e-1	147	3.510584885897326e0
4.216001926024238e-1	0	0.000000000000000e0
7.026294835252320e-1	1	2.388152983603623e-2
9.836587744480405e-1	0	0.000000000000000e0
1.264688065370849e0	0	0.000000000000000e0
1.545717356293657e0	0	0.000000000000000e0
1.826746647216466e0	0	0.000000000000000e0
2.107775938139274e0	0	0.000000000000000e0
2.388805229062083e0	0	0.000000000000000e0
2.669834519984891e0	0	0.000000000000000e0
2.950863810907699e0	0	0.000000000000000e0
3.231893101830507e0	0	0.000000000000000e0
3.512922392753316e0	1	2.388152983603623e-2
