index	eigenvalue
0	9.599383420852186e-4
1	1.111083559238327e-3
2	1.302485358895041e-3
3	1.531403988388703e-3
4	1.779723168101171e-3
5	2.074562706632402e-3
6	2.348485881776552e-3
7	2.630671984787009e-3
8	3.237803131027812e-3
9	3.795278433583506e-3
10	4.517623162243471e-3
11	4.852363812272806e-3
12	6.736027780635432e-3
13	9.343530863329964e-3
14	1.144277474887711e-2
15	1.322573388161915e-2
16	1.398233767214066e-2
17	1.572491164186739e-2
18	1.812725514160957e-2
19	2.385980585591785e-2
20	3.338771716771044e-2
21	5.323166679285263e-2
22	1.748650330375434e-1
23	1.378230613438326e0
