index	eigenvalue
0	7.708111694987556e-4
1	9.467936983891109e-4
2	1.093476790486816e-3
3	1.301959615888534e-3
4	1.595851099965388e-3
5	1.743506697241319e-3
6	2.037654772314399e-3
7	2.208484716958489e-3
8	2.588424220135702e-3
9	3.127787210778607e-3
10	3.452514938761734e-3
11	4.703469512315569e-3
12	6.063519973529745e-3
13	7.852154635963365e-3
14	1.018375230993210e-2
15	1.245554598598381e-2
16	1.318852375082259e-2
17	1.409079772068629e-2
18	1.779976293357775e-2
19	1.819264563547568e-2
20	2.678670605805974e-2
21	3.585600807919757e-2
22	6.354610549131905e-2
23	2.313933895370229e-1
24	1.520907936466083e0
