index	eigenvalue
0	1.444433645966762e-5
1	1.459343708161071e-5
2	1.540919840924464e-5
3	1.561399034024981e-5
4	1.594513419905904e-5
5	1.624260867688005e-5
6	1.647822581559384e-5
7	1.708538295706217e-5
8	1.728588378983414e-5
9	1.745965571428759e-5
10	1.760054495822890e-5
11	1.788833156958383e-5
12	1.804775481336454e-5
13	1.822264288819509e-5
14	1.834667232336641e-5
15	1.885566816304710e-5
16	1.907675651031373e-5
17	1.924834673447434e-5
18	1.952097970235266e-5
19	1.989414875362747e-5
20	2.038647986084570e-5
21	2.047746055023730e-5
22	2.063199773984944e-5
23	2.119373052537811e-5
24	2.131172103017580e-5
25	2.168622454954810e-5
26	2.220994947376676e-5
27	2.290340710893734e-5
28	2.311636409752268e-5
29	2.332980328907404e-5
30	2.368419258389563e-5
31	2.410836071303393e-5
32	2.415891013138930e-5
33	2.457288647348682e-5
34	2.485868249913813e-5
35	2.527920043677885e-5
36	2.553976482114765e-5
37	2.609237204505753e-5
38	2.646059748845505e-5
39	2.669704632956532e-5
40	2.739127943954123e-5
41	2.802442877617625e-5
42	2.846024969130794e-5
43	2.849237098346821e-5
44	2.950021139069637e-5
45	2.965237910429909e-5
46	3.026032679209069e-5
47	3.050396268693225e-5
48	3.103849533756714e-5
49	3.115782704340253e-5
50	3.153462248655143e-5
51	3.188152583157810e-5
52	3.237197878691670e-5
53	3.264969543218342e-5
54	3.274095327980171e-5
55	3.353398953356142e-5
56	3.384579267535807e-5
57	3.455197785753382e-5
58	3.495804684579363e-5
59	3.552418663567474e-5
60	3.596783940498481e-5
61	3.644224857079711e-5
62	3.656099742628276e-5
63	3.683123302396431e-5
64	3.768058358570567e-5
65	3.789949111598071e-5
66	3.863271550353570e-5
67	3.902519321538932e-5
68	3.954304307187133e-5
69	4.012693046259268e-5
70	4.040055676677409e-5
71	4.083166779114842e-5
72	4.178411684957262e-5
73	4.271901578169405e-5
74	4.326043231514926e-5
75	4.330753927688383e-5
76	4.375198980583065e-5
77	4.465463313798124e-5
78	4.474092970061290e-5
79	4.540172950481672e-5
80	4.656712707017765e-5
81	4.682369216309573e-5
82	4.738143393564302e-5
83	4.758759076192271e-5
84	4.871129988110277e-5
85	4.931773463437335e-5
86	4.990498964209184e-5
87	5.043456112083863e-5
88	5.107789604777471e-5
89	5.200357313715152e-5
90	5.257946185187739e-5
91	5.342556181010506e-5
92	5.391362723910478e-5
93	5.528819875532533e-5
94	5.645712071858050e-5
95	5.767791982301129e-5
96	5.846792207602231e-5
97	5.908670827964379e-5
98	5.966231636984793e-5
99	6.048228401530060e-5
100	6.129119966157534e-5
101	6.282586816518581e-5
102	6.388548626624564e-5
103	6.405972043920584e-5
104	6.481828792843264e-5
105	6.648506531312721e-5
106	6.807538279890381e-5
107	6.922647156790093e-5
108	7.057079469130192e-5
109	7.183645111984640e-5
110	7.227425813630979e-5
111	7.393610302459716e-5
112	7.501910324920844e-5
113	7.656074484987546e-5
114	7.707408462162935e-5
115	7.900543521589512e-5
116	7.987822606175766e-5
117	8.074221687287671e-5
118	8.310607026120975e-5
119	8.506369167139652e-5
120	8.694549678075565e-5
121	8.857307748263913e-5
122	8.927864072040350e-5
123	9.125616651448133e-5
124	9.208419457657980e-5
125	9.296179398691439e-5
126	9.428545194311546e-5
127	9.656123329946533e-5
128	9.705133970150736e-5
129	9.817838803437500e-5
130	9.928174698760068e-5
131	1.020953371931727e-4
132	1.038331157313050e-4
133	1.059249453700200e-4
134	1.075318793858112e-4
135	1.082641325674062e-4
136	1.103644473443076e-4
137	1.113271948282961e-4
138	1.146225052823441e-4
139	1.171927740407922e-4
140	1.180482203936563e-4
141	1.214855671780159e-4
142	1.218642311517382e-4
143	1.225448353789983e-4
144	1.240092719904067e-4
145	1.291454585114683e-4
146	1.309351101623513e-4
147	1.335489521691596e-4
148	1.353241468783461e-4
149	1.375336361894353e-4
150	1.398907619454580e-4
151	1.425385917899922e-4
152	1.448164551258166e-4
153	1.454272817703116e-4
154	1.485820679993535e-4
155	1.535775596291295e-4
156	1.549443930139444e-4
157	1.590177888205572e-4
158	1.604429862730531e-4
159	1.658053389788018e-4
160	1.695404247847873e-4
161	1.713667441750745e-4
162	1.723479425281916e-4
163	1.773993897558682e-4
164	1.817136739230488e-4
165	1.915231516231922e-4
166	1.934632077155607e-4
167	1.990812011985897e-4
168	2.008358916790274e-4
169	2.068936633708773e-4
170	2.086012593165195e-4
171	2.135497109862247e-4
172	2.161896238997411e-4
173	2.214394411019507e-4
174	2.234214289386597e-4
175	2.278686756752559e-4
176	2.326386137869221e-4
177	2.352458884590027e-4
178	2.432527716971207e-4
179	2.453907203103820e-4
180	2.541864618894586e-4
181	2.630639286420966e-4
182	2.667046344141079e-4
183	2.743740648372269e-4
184	2.760549890362103e-4
185	2.774047556967206e-4
186	2.888072996484464e-4
187	2.934066314317084e-4
188	2.969099299708155e-4
189	3.058722817213554e-4
190	3.127281608378471e-4
191	3.180206478019996e-4
192	3.265724750137204e-4
193	3.344420058916419e-4
194	3.512549293043427e-4
195	3.579653849754866e-4
196	3.622572208493415e-4
197	3.728817660285738e-4
198	3.815038269511001e-4
199	3.905251010046327e-4
200	4.020917701375202e-4
201	4.278248773232870e-4
202	4.302453652206236e-4
203	4.427275103681534e-4
204	4.525730768657824e-4
205	4.612930642244133e-4
206	4.738924808940338e-4
207	4.832090587840926e-4
208	5.020405255785872e-4
209	5.177289819065097e-4
210	5.303025947521863e-4
211	5.343601670527604e-4
212	5.542259006029812e-4
213	5.727403250480064e-4
214	5.942754457943868e-4
215	6.130709507752595e-4
216	6.266731406476214e-4
217	6.374576290501641e-4
218	6.449132815058246e-4
219	6.601197543899060e-4
220	6.711445284772412e-4
221	7.046368495969594e-4
222	7.288677870828638e-4
223	7.506536718703391e-4
224	7.817219671244048e-4
225	7.979785878352870e-4
226	8.227062048970400e-4
227	8.421283129121234e-4
228	8.731005123945458e-4
229	9.207605266579572e-4
230	9.413646463357652e-4
231	9.868980784966657e-4
232	9.969054325570483e-4
233	1.059281574771828e-3
234	1.071700192277692e-3
235	1.118254638898468e-3
236	1.214348889891089e-3
237	1.261819419537966e-3
238	1.286992413697741e-3
239	1.324240293061720e-3
240	1.355267711919299e-3
241	1.403610020125931e-3
242	1.415075157062372e-3
243	1.492011647984684e-3
244	1.528789764319670e-3
245	1.606831977288622e-3
246	1.642046163936034e-3
247	1.729919363273461e-3
248	1.817489530333105e-3
249	1.823282445721415e-3
250	1.851216051249277e-3
251	1.931426656705556e-3
252	2.090398975246079e-3
253	2.329340078709727e-3
254	2.465940323822457e-3
255	2.693642203134972e-3
256	2.823507615737645e-3
257	3.011309194792890e-3
258	3.226725677949834e-3
259	3.559485763454326e-3
260	3.657272121615288e-3
261	3.731053226553974e-3
262	3.976284013660059e-3
263	4.436582286473100e-3
264	4.879822368007015e-3
265	5.097351148810195e-3
266	5.275541585288554e-3
267	5.916746979528042e-3
268	5.998930106228688e-3
269	6.595686209427892e-3
270	7.155556144059309e-3
271	7.589268898589682e-3
272	8.821302053089661e-3
273	9.559581199416608e-3
274	1.057424056729386e-2
275	1.141236362471710e-2
276	1.255439643285143e-2
277	1.463949573565564e-2
278	1.562510109022019e-2
279	1.689579969022323e-2
280	1.939224124502276e-2
281	2.189848662924542e-2
282	2.248273386765270e-2
283	2.273297807956379e-2
284	2.388035412651113e-2
285	2.454224894677675e-2
286	2.514407771707887e-2
287	2.594564412850002e-2
288	2.691100660994311e-2
289	2.764032945944123e-2
290	3.079449054106688e-2
291	3.626959858475291e-2
292	3.741390360547968e-2
293	5.029693342107525e-2
294	6.608486102224308e-2
295	9.672154133734925e-2
296	2.324301329305123e-1
297	8.856601965583050e-1
298	4.085956617713081e0
