index	eigenvalue
0	2.533981838587251e-4
1	2.796445376418896e-4
2	3.171068502869824e-4
3	3.441560198586458e-4
4	3.754901224052373e-4
5	4.013435035866628e-4
6	4.150240308978527e-4
7	4.543716113326175e-4
8	4.991745117497847e-4
9	5.245665869208641e-4
10	5.766718026683978e-4
11	6.141544978275042e-4
12	6.414867453423658e-4
13	7.105094509859715e-4
14	7.341975961502467e-4
15	7.970964995668042e-4
16	8.700134700571362e-4
17	9.358003292913994e-4
18	1.036575532148736e-3
19	1.155903509232223e-3
20	1.260455253311649e-3
21	1.433054839611228e-3
22	1.541793327293755e-3
23	1.725447395683541e-3
24	1.766025334141409e-3
25	2.033485598099461e-3
26	2.232746882166908e-3
27	2.561970452028910e-3
28	2.785330579952932e-3
29	2.896826787481311e-3
30	3.275679388449477e-3
31	3.919615244583634e-3
32	5.332781231708813e-3
33	6.120807855320947e-3
34	7.425505299268810e-3
35	7.878235105233845e-3
36	1.006973469490881e-2
37	1.188517807342373e-2
38	1.248232650940704e-2
39	1.287456158910003e-2
40	1.380664922183867e-2
41	1.513369141779458e-2
42	1.698498018385736e-2
43	2.102219372507429e-2
44	2.744952812871086e-2
45	3.980649059528948e-2
46	6.959156837319071e-2
47	2.581230396770504e-1
48	1.638830710587137e0
