index	eigenvalue
0	2.514192525024368e-4
1	2.840850159389866e-4
2	3.103319788624519e-4
3	3.655862785315097e-4
4	4.492818677861361e-4
5	5.287490338735183e-4
6	5.687424097728981e-4
7	6.713472420726274e-4
8	8.241828098056834e-4
9	9.573948681546504e-4
10	1.172438290031948e-3
11	1.384812968287442e-3
12	1.842883781661159e-3
13	2.491367056671968e-3
14	3.015594346290946e-3
15	3.316012127755371e-3
16	3.536800852503642e-3
17	4.227709686663079e-3
18	4.730991097253385e-3
19	6.616325720632732e-3
20	9.297124707389231e-3
21	1.777932302746460e-2
22	6.591213014434691e-2
23	4.144932067007795e-1
