index	eigenvalue
0	3.166978475593286e-5
1	3.264065174049459e-5
2	3.479065504669229e-5
3	3.553727765830511e-5
4	3.584710792469273e-5
5	3.637160012614396e-5
6	3.701225338012578e-5
7	3.802029310833088e-5
8	3.912647960444930e-5
9	4.028888324776607e-5
10	4.222132958240426e-5
11	4.252201600772729e-5
12	4.331317773763246e-5
13	4.382495224509727e-5
14	4.462345894514237e-5
15	4.515392049231328e-5
16	4.647749424897588e-5
17	4.674568447150786e-5
18	4.890902077784817e-5
19	4.957504375772683e-5
20	5.081252864783741e-5
21	5.200638146193079e-5
22	5.238210099082411e-5
23	5.412292704219571e-5
24	5.644022133652024e-5
25	5.682825888586457e-5
26	5.763684740455985e-5
27	5.919187303158091e-5
28	6.033160027252896e-5
29	6.062470213991843e-5
30	6.331440126100562e-5
31	6.444113943831642e-5
32	6.519575806369029e-5
33	6.689978987808000e-5
34	6.713151456838700e-5
35	6.859284618192921e-5
36	6.982592436871081e-5
37	7.110324496708525e-5
38	7.301010698498486e-5
39	7.464243961890350e-5
40	7.594015700156509e-5
41	7.713098129686896e-5
42	7.804704211404899e-5
43	7.982172795168197e-5
44	8.220271310937000e-5
45	8.343553176603533e-5
46	8.552784576012573e-5
47	8.606479037027552e-5
48	8.826382678525211e-5
49	9.012599518792448e-5
50	9.153509693490731e-5
51	9.444793754995008e-5
52	9.496181022729647e-5
53	9.755136054945191e-5
54	9.954087508269855e-5
55	1.019047377562880e-4
56	1.026205564908311e-4
57	1.059442164947486e-4
58	1.096258664486582e-4
59	1.105744346104329e-4
60	1.137076867703126e-4
61	1.141702146975326e-4
62	1.164691959389366e-4
63	1.187090734865473e-4
64	1.213968978268905e-4
65	1.261948116550671e-4
66	1.278988315819842e-4
67	1.305707901377489e-4
68	1.343946432608929e-4
69	1.379050302568362e-4
70	1.438104836751390e-4
71	1.469164579855472e-4
72	1.490364750984309e-4
73	1.538209409735749e-4
74	1.587578169531856e-4
75	1.647281798399578e-4
76	1.652152670002508e-4
77	1.704193697156019e-4
78	1.728778013560323e-4
79	1.782439480750168e-4
80	1.805167643897858e-4
81	1.864183100610842e-4
82	1.911088073502458e-4
83	1.948941735198360e-4
84	1.985006340106915e-4
85	2.046025170894409e-4
86	2.077891395710410e-4
87	2.114940695454765e-4
88	2.175831875963200e-4
89	2.275696110489767e-4
90	2.310884077369467e-4
91	2.329401561409488e-4
92	2.406620570386626e-4
93	2.436787677293995e-4
94	2.495862747634690e-4
95	2.544511425865881e-4
96	2.640727511188392e-4
97	2.697954267125809e-4
98	2.826865830815207e-4
99	2.881977036499316e-4
100	2.890458665111554e-4
101	2.994665748802836e-4
102	3.063196184631835e-4
103	3.126547675069760e-4
104	3.226515920148617e-4
105	3.374892846807597e-4
106	3.456235962582628e-4
107	3.561413890567655e-4
108	3.682378682338721e-4
109	3.773035692558871e-4
110	3.884526610554787e-4
111	4.026522555825678e-4
112	4.046559621041279e-4
113	4.250282315975681e-4
114	4.542229774231673e-4
115	4.701825212847251e-4
116	4.828136183873869e-4
117	4.969385216530077e-4
118	5.031261365360290e-4
119	5.094016755519935e-4
120	5.264041885886385e-4
121	5.554863262385295e-4
122	5.635195068699897e-4
123	5.937732243769391e-4
124	6.183991539866799e-4
125	6.270089951968438e-4
126	6.380540046911437e-4
127	6.606108971750343e-4
128	6.869488489498282e-4
129	7.146855283306176e-4
130	7.278945160485292e-4
131	7.697512705617717e-4
132	7.975883586415629e-4
133	8.501513762674997e-4
134	8.661043202235042e-4
135	9.034896064921226e-4
136	9.775681215131299e-4
137	9.856045075135045e-4
138	1.039195581907187e-3
139	1.066379738950705e-3
140	1.152322212933387e-3
141	1.170894221867686e-3
142	1.213420140914265e-3
143	1.262338360038630e-3
144	1.292760654003799e-3
145	1.332883990401561e-3
146	1.364542236071123e-3
147	1.472859186841255e-3
148	1.502617077346980e-3
149	1.597155813117938e-3
150	1.663000711893180e-3
151	1.743665910871233e-3
152	1.823697561475879e-3
153	1.832120480610466e-3
154	1.874040538263358e-3
155	2.027579030417281e-3
156	2.121787966380158e-3
157	2.166899530886944e-3
158	2.280080106739875e-3
159	2.326322062903983e-3
160	2.554590280636784e-3
161	2.983846909011238e-3
162	3.147600072441352e-3
163	3.499774250457797e-3
164	3.820083387559436e-3
165	4.081362437920915e-3
166	4.555703346582076e-3
167	4.649540323439353e-3
168	5.036275493869449e-3
169	5.256556317316643e-3
170	6.373868571915111e-3
171	6.885345554044164e-3
172	6.975035576468723e-3
173	7.323698688142474e-3
174	7.755221406309470e-3
175	9.214870788353239e-3
176	1.069120034291494e-2
177	1.239140271819122e-2
178	1.280447059757909e-2
179	1.417225099625205e-2
180	1.674298166130562e-2
181	1.790418361230772e-2
182	2.112364043558692e-2
183	2.266859561461703e-2
184	2.288210010412690e-2
185	2.352756910495734e-2
186	2.504306254885532e-2
187	2.518904796844999e-2
188	2.628435958986713e-2
189	2.730478580548205e-2
190	2.920234233543649e-2
191	3.429461927250051e-2
192	3.647245414166581e-2
193	4.528384986188987e-2
194	6.267317430631149e-2
195	8.425019255677836e-2
196	1.933539622370020e-1
197	7.551448893558212e-1
198	3.838552120104667e0
