rank	k	d(k)	sigma(k)	sigma_over_k	omega	Omega	factors
1	1	2	2	2.000000	0	0	1
2	4	3	7	1.750000	1	2	2^2
3	6	4	12	2.000000	2	2	2·3
4	12	6	28	2.333333	2	3	2^2·3
5	24	8	60	2.500000	2	4	2^3·3
6	36	9	91	2.527778	2	4	2^2·3^2
7	48	10	124	2.583333	2	5	2^4·3
8	60	12	168	2.800000	3	4	2^2·3·5
9	120	16	360	3.000000	3	5	2^3·3·5
10	180	18	546	3.033333	3	5	2^2·3^2·5
11	240	20	744	3.100000	3	6	2^4·3·5
12	360	24	1170	3.250000	3	6	2^3·3^2·5
13	720	30	2418	3.358333	3	7	2^4·3^2·5
14	840	32	2880	3.428571	4	6	2^3·3·5·7
15	1260	36	4368	3.466667	4	6	2^2·3^2·5·7
16	1680	40	5952	3.542857	4	7	2^4·3·5·7
17	2520	48	9360	3.714286	4	7	2^3·3^2·5·7
18	5040	60	19344	3.838095	4	8	2^4·3^2·5·7
19	7560	64	28800	3.809524	4	8	2^3·3^3·5·7
20	10080	72	39312	3.900000	4	9	2^5·3^2·5·7
21	15120	80	59520	3.936508	4	9	2^4·3^3·5·7
22	20160	84	79248	3.930952	4	10	2^6·3^2·5·7
23	25200	90	99944	3.966032	4	9	2^4·3^2·5^2·7
24	27720	96	112320	4.051948	5	8	2^3·3^2·5·7·11
25	45360	100	180048	3.969312	4	10	2^4·3^4·5·7
26	50400	108	203112	4.030000	4	10	2^5·3^2·5^2·7
27	55440	120	232128	4.187013	5	9	2^4·3^2·5·7·11
28	83160	128	345600	4.155844	5	9	2^3·3^3·5·7·11
29	110880	144	471744	4.254545	5	10	2^5·3^2·5·7·11
30	166320	160	714240	4.294372	5	10	2^4·3^3·5·7·11
31	221760	168	950976	4.288312	5	11	2^6·3^2·5·7·11
32	277200	180	1199328	4.326580	5	10	2^4·3^2·5^2·7·11
33	332640	192	1451520	4.363636	5	11	2^5·3^3·5·7·11
34	498960	200	2160576	4.330159	5	11	2^4·3^4·5·7·11
35	554400	216	2437344	4.396364	5	11	2^5·3^2·5^2·7·11
36	665280	224	2926080	4.398268	5	12	2^6·3^3·5·7·11
37	720720	240	3249792	4.509091	6	10	2^4·3^2·5·7·11·13
38	1081080	256	4838400	4.475524	6	10	2^3·3^3·5·7·11·13
39	1441440	288	6604416	4.581818	6	11	2^5·3^2·5·7·11·13
40	2162160	320	9999360	4.624709	6	11	2^4·3^3·5·7·11·13
41	2882880	336	13313664	4.618182	6	12	2^6·3^2·5·7·11·13
42	3603600	360	16790592	4.659394	6	11	2^4·3^2·5^2·7·11·13
43	4324320	384	20321280	4.699301	6	12	2^5·3^3·5·7·11·13
44	6486480	400	30248064	4.663248	6	12	2^4·3^4·5·7·11·13
45	7207200	432	34122816	4.734545	6	12	2^5·3^2·5^2·7·11·13
46	8648640	448	40965120	4.736597	6	13	2^6·3^3·5·7·11·13
47	10810800	480	51663360	4.778866	6	12	2^4·3^3·5^2·7·11·13
48	14414400	504	68787264	4.772121	6	13	2^6·3^2·5^2·7·11·13
49	17297280	512	82252800	4.755245	6	14	2^7·3^3·5·7·11·13
50	21621600	576	104993280	4.855944	6	13	2^5·3^3·5^2·7·11·13
51	32432400	600	156281664	4.818689	6	13	2^4·3^4·5^2·7·11·13
52	36756720	640	179988480	4.896750	7	12	2^4·3^3·5·7·11·13·17
53	43243200	672	211653120	4.894483	6	14	2^6·3^3·5^2·7·11·13
54	61261200	720	302230656	4.933476	7	12	2^4·3^2·5^2·7·11·13·17
55	73513440	768	365783040	4.975730	7	13	2^5·3^3·5·7·11·13·17
56	110270160	800	544465152	4.937557	7	13	2^4·3^4·5·7·11·13·17
57	122522400	864	614210688	5.013048	7	13	2^5·3^2·5^2·7·11·13·17
58	147026880	896	737372160	5.015220	7	14	2^6·3^3·5·7·11·13·17
59	183783600	960	929940480	5.059975	7	13	2^4·3^3·5^2·7·11·13·17
60	245044800	1008	1238170752	5.052834	7	14	2^6·3^2·5^2·7·11·13·17
61	294053760	1024	1480550400	5.034965	7	15	2^7·3^3·5·7·11·13·17
62	367567200	1152	1889879040	5.141588	7	14	2^5·3^3·5^2·7·11·13·17
63	551350800	1200	2813069952	5.102142	7	14	2^4·3^4·5^2·7·11·13·17
64	698377680	1280	3599769600	5.154474	8	13	2^4·3^3·5·7·11·13·17·19
65	735134400	1344	3809756160	5.182394	7	15	2^6·3^3·5^2·7·11·13·17
