rank	k	weight	d_k	omega	is_prime	factors
1	1224	4.032575375123e-2	24	3	composite	2^3·3^2·17
2	610	3.516482190649e-2	8	3	composite	2·5·61
3	469	3.342351363803e-2	4	2	composite	7·67
4	466	2.744146870627e-2	4	2	composite	2·233
5	612	2.648138780826e-2	18	3	composite	2^2·3^2·17
6	408	2.584673985143e-2	16	3	composite	2^3·3·17
7	468	2.305756089247e-2	18	3	composite	2^2·3^2·13
8	936	2.078277971414e-2	24	3	composite	2^3·3^2·13
9	938	1.930785860209e-2	8	3	composite	2·7·67
10	1220	1.922018593874e-2	12	3	composite	2^2·5·61
11	613	1.915907512945e-2	2	1	prime	613 (prime)
12	470	1.703727253096e-2	8	3	composite	2·5·47
13	1218	1.573847456065e-2	16	4	composite	2·3·7·29
14	932	1.521017318993e-2	6	2	composite	2^2·233
15	407	1.512296221755e-2	4	2	composite	11·37
16	463	1.501048200756e-2	2	1	prime	463 (prime)
17	609	1.490495048653e-2	8	3	composite	3·7·29
18	607	1.269767973055e-2	2	1	prime	607 (prime)
19	601	1.102126011417e-2	2	1	prime	601 (prime)
20	816	1.093186157704e-2	20	3	composite	2^4·3·17
21	1226	1.081797631391e-2	4	2	composite	2·613
22	591	1.030580037170e-2	4	2	composite	3·197
23	940	1.008639467975e-2	12	3	composite	2^2·5·47
24	930	9.861884114555e-3	16	4	composite	2·3·5·31
25	409	9.620466160596e-3	2	1	prime	409 (prime)
26	411	9.508955294736e-3	4	2	composite	3·137
27	464	8.998519749145e-3	10	2	composite	2^4·29
28	465	8.585221270857e-3	8	3	composite	3·5·31
29	926	8.366513829366e-3	4	2	composite	2·463
30	605	7.862974713204e-3	6	2	composite	5·11^2
31	413	7.642870430537e-3	4	2	composite	7·59
32	417	7.274057170119e-3	4	2	composite	3·139
33	415	7.248237677516e-3	4	2	composite	5·83
34	814	7.112296599546e-3	8	3	composite	2·11·37
35	1214	7.083681654201e-3	4	2	composite	2·607
36	1202	6.780568136155e-3	4	2	composite	2·601
37	599	6.564530677815e-3	2	1	prime	599 (prime)
38	594	6.135862318400e-3	16	3	composite	2·3^3·11
39	588	6.125484953240e-3	18	3	composite	2^2·3·7^2
40	1182	5.768559347058e-3	8	3	composite	2·3·197
41	461	5.631175319741e-3	2	1	prime	461 (prime)
42	614	5.474655076827e-3	4	2	composite	2·307
43	406	5.342638691489e-3	8	3	composite	2·7·29
44	603	5.212141118198e-3	6	2	composite	3^2·67
45	530	5.098431833563e-3	8	3	composite	2·5·53
46	445	5.000118811171e-3	4	2	composite	5·89
47	596	4.697413078618e-3	6	2	composite	2^2·149
48	928	4.684200048282e-3	12	2	composite	2^5·29
49	589	4.683148605722e-3	4	2	composite	19·31
50	818	4.634793046501e-3	4	2	composite	2·409
51	593	4.611680707566e-3	2	1	prime	593 (prime)
52	1221	4.554146690607e-3	8	3	composite	3·11·37
53	447	4.495950684545e-3	4	2	composite	3·149
54	419	4.454517441390e-3	2	1	prime	419 (prime)
55	583	4.441196867344e-3	4	2	composite	11·53
56	586	4.440759799120e-3	4	2	composite	2·293
57	894	4.340647636832e-3	8	3	composite	2·3·149
58	608	4.223419353934e-3	12	2	composite	2^5·19
59	532	4.195961373274e-3	12	3	composite	2^2·7·19
60	1198	4.067775849159e-3	4	2	composite	2·599
61	1210	4.063272773051e-3	12	3	composite	2·5·11^2
62	834	3.925099647231e-3	8	3	composite	2·3·139
63	822	3.866491489471e-3	8	3	composite	2·3·137
64	311	3.814102582048e-3	2	1	prime	311 (prime)
