index	raw	unfolded
0	5.106966019030781e-6	1.696136182255071e0
1	1.163939794570902e-6	4.153194393705107e-1
2	3.175440553565575e-6	1.113137400392902e0
3	4.610156389345184e-6	1.540041367978921e0
4	2.390780345517529e-6	7.584535545047256e-1
5	1.618363061738182e-6	5.287424663646921e-1
6	1.551972925637813e-6	4.529660291191136e-1
7	3.203934134444008e-6	9.341218193353340e-1
8	4.120195463432408e-6	1.172870132646195e0
9	4.580027844949992e-6	1.341853846289012e0
10	2.146776329646784e-6	5.369724642418587e-1
11	9.127116248673538e-6	2.347612455238985e0
12	1.204015486913737e-6	2.796062927523466e-1
13	4.088749104214158e-6	9.610134856766958e-1
14	3.513369859222776e-6	8.368567505597260e-1
15	8.822668687045925e-6	1.798445008611063e0
16	4.072950919771512e-7	8.439625195257167e-2
17	6.153063072515669e-6	1.304719604067311e0
18	2.637564648383546e-6	5.183039196075931e-1
19	3.500576907026196e-6	6.798253730935505e-1
20	1.236173092177649e-5	2.364205981312707e0
21	1.269690967493540e-6	2.332246384021044e-1
22	7.917320946832152e-6	1.379060175850858e0
23	5.305187087537212e-6	9.436121030132266e-1
24	4.753056974313098e-6	6.994682159421227e-1
25	4.387577763348866e-6	6.500727839931190e-1
26	1.119169195551301e-5	1.794418193265578e0
27	3.674627358950223e-6	4.969701370884103e-1
28	4.845304121400438e-6	5.904653647417535e-1
29	1.554091548479654e-5	1.648155402127403e0
30	2.995899025187108e-6	3.215825199348555e-1
31	6.725150146878370e-6	6.833335948041713e-1
32	1.399793681822618e-5	1.483709465917004e0
33	1.684763495115831e-5	1.384518664348891e0
34	1.876226347321256e-5	1.528793833692879e0
35	3.508239529127484e-6	2.951416266957852e-1
36	1.016881027100596e-5	7.370974037397811e-1
37	6.711828135137624e-6	4.998930488557209e-1
38	3.375046813891043e-5	2.276644700894697e0
39	5.989369625290742e-6	4.115143747378174e-1
40	1.129533789883926e-5	7.940639253262822e-1
41	2.399619255738158e-5	1.611090312646397e0
42	2.663729191023940e-6	1.494384816041285e-1
43	2.937731137348713e-5	1.492032980109772e0
44	1.387551298067860e-5	7.429982738065555e-1
45	1.513513275238645e-5	7.447035057107607e-1
46	1.087449545005101e-5	4.606267889901251e-1
47	4.240475746574584e-5	1.850519463518383e0
48	2.722166183247653e-5	9.042341785390224e-1
49	2.259179818794128e-5	7.378690571203278e-1
50	2.412480152657194e-5	7.465732024342177e-1
51	4.742304167930388e-5	1.383082743030486e0
52	1.637337552273018e-5	4.321877177623127e-1
53	8.174936304377798e-5	2.318456547253125e0
54	3.501993601821938e-5	8.565973788262552e-1
55	3.253615314024777e-5	7.763963703168859e-1
56	3.684782547092578e-5	8.105237244366091e-1
57	5.044085661367248e-5	1.047894499699165e0
58	1.353396340778371e-5	2.765401183069778e-1
59	8.906758835994190e-5	1.823897082749684e0
60	3.385599285756185e-5	5.950283472647840e-1
61	6.323113409211151e-5	1.075868302726400e0
62	7.683358635941751e-5	1.185269547909794e0
63	2.522718129671013e-5	3.716335385950546e-1
64	8.057615302861578e-5	1.058652464916737e0
65	1.237288585950831e-4	1.214058272460997e0
66	5.315092731529667e-5	4.723797255541541e-1
67	1.034147250445986e-4	8.335913934084674e-1
68	8.408051120918094e-5	5.172085167838611e-1
69	1.040653067096544e-4	6.269615795073312e-1
70	3.728834969081080e-4	1.895877831439975e0
71	1.504992582435751e-4	6.248084018386263e-1
72	1.901917713106392e-4	6.868172064806150e-1
73	5.004076289158747e-4	1.610208536862453e0
74	6.282037814568132e-5	1.757081270770424e-1
75	4.182501633495490e-4	9.894547835551993e-1
76	6.098350312704359e-4	1.190072823961327e0
77	4.496453105276290e-4	8.245187061822773e-1
78	4.758124705021858e-4	6.893657715876557e-1
79	5.983848441574935e-4	7.933783618426077e-1
80	8.210544304809060e-4	1.042075251457323e0
81	1.359884302103637e-3	1.751934908159841e0
82	5.124840776182847e-4	6.507441605136649e-1
83	1.783816273209312e-3	2.225330112954039e0
84	1.204474535976744e-3	1.519570928655408e0
85	4.332938158724368e-4	4.896788669035076e-1
86	2.897185061931581e-4	2.733735282150613e-1
87	7.343210847249038e-4	7.165051041928330e-1
88	6.043144074470604e-4	3.621390830400980e-1
89	3.773070062031165e-4	1.665425526226953e-1
90	1.612714592883598e-3	4.485028192741731e-1
91	2.745360380797673e-3	2.836091064730651e-1
92	9.757115643955795e-4	2.603995878949045e-2
93	7.595060265384125e-3	4.242840396300345e-2
94	8.348544392434286e-3	4.241083778606432e-2
95	1.583716348094788e-2	7.242178929536157e-2
96	6.736072410337109e-2	2.740325115101360e-1
97	3.059763744966801e-1	1.090681676607322e0
98	1.557664195769932e0	4.761601072853666e0
