index	raw	unfolded
0	9.708669730624999e-7	1.090357706700266e0
1	2.150003281407106e-6	2.369892635185066e0
2	7.466226285474367e-7	8.010225903914397e-1
3	3.098302672308213e-7	3.235225118533819e-1
4	5.244921945960377e-7	4.970762136538038e-1
5	6.406532804329579e-7	6.493766966825721e-1
6	1.008039725357547e-6	1.038970246402969e0
7	1.106186504201893e-6	1.346873059686834e0
8	1.162403671269073e-6	1.407240287175481e0
9	1.932446291151327e-6	2.284016033448879e0
10	3.006864389063749e-7	3.272892798131272e-1
11	7.911617274588377e-7	8.941121492822154e-1
12	5.117744963412761e-7	5.170043387233710e-1
13	7.985067044888073e-7	8.406488798950214e-1
14	5.304615675299007e-7	5.544729967172829e-1
15	1.323573772648894e-6	1.487913571071009e0
16	2.681902021401281e-7	2.991954154822700e-1
17	2.163336315501245e-6	2.201410851827221e0
18	6.660229627641060e-7	5.807448513372604e-1
19	1.237484995916497e-6	1.115326349586117e0
20	1.193852705210322e-6	1.052027291113603e0
21	3.757195342106787e-7	3.250583425260548e-1
22	1.740826068669110e-6	1.409480744449963e0
23	2.317294292179444e-6	2.175736652646997e0
24	3.880375147769061e-7	3.106704703949631e-1
25	8.085885222353225e-7	6.526324624630838e-1
26	1.555025616688927e-6	1.296898422131808e0
27	1.139727299901528e-6	8.635672230029181e-1
28	2.931017869107266e-7	2.478454827036487e-1
29	2.689699179705066e-6	2.434592638035494e0
30	1.126738154224867e-6	9.535650566573460e-1
31	7.546186938300680e-7	6.164087741507924e-1
32	1.704031783758930e-6	1.356493863397543e0
33	2.317246872103785e-7	1.781147494748020e-1
34	1.461331604242239e-6	1.049570367936177e0
35	1.233078231647350e-6	9.817089650345050e-1
36	1.277320554234952e-6	1.032678712530590e0
37	1.906862022385444e-6	1.434125901724401e0
38	1.632332616562481e-6	1.173348288676516e0
39	1.297717383785552e-6	8.755444169298722e-1
40	1.190824365910882e-6	7.734908987028811e-1
41	9.160607695354975e-7	6.205278416303599e-1
42	1.774685863160496e-6	1.137580574022646e0
43	2.380985130062257e-6	1.530206092950348e0
44	1.232818645512305e-6	8.027751254424230e-1
45	2.092313971801825e-6	1.243555576019112e0
46	5.369446696124421e-7	3.312460343318047e-1
47	2.199036361810492e-6	1.240207392533110e0
48	1.862168435830770e-6	1.038779853323442e0
49	1.409101724866540e-6	7.867272146254478e-1
50	2.912840601546732e-6	1.670117555488958e0
51	5.138727376205617e-7	2.768660594611192e-1
52	2.589550350027837e-6	1.208987812840826e0
53	1.989514530933103e-6	9.809082734274647e-1
54	2.363862618092900e-6	1.102655793329059e0
55	7.158187356114890e-7	3.478668047738731e-1
