index	raw	unfolded
0	6.707292974678650e-5	1.034995133813319e0
1	7.187679271862296e-5	1.134305012648112e0
2	6.113467171273395e-5	8.910184068426139e-1
3	4.379559777686079e-5	6.058765115214025e-1
4	6.083399403770690e-5	8.709830173921106e-1
5	8.411642038609461e-5	1.034019272621987e0
6	5.473419345995538e-5	6.263773875683097e-1
7	1.053324486913041e-4	1.046885719329538e0
8	1.016651906331268e-4	9.467571789150118e-1
9	4.788988703159289e-5	4.341970522422570e-1
10	1.963867310160526e-4	1.382276055513854e0
11	1.334375578610791e-4	8.204068881345743e-1
12	2.174387491328158e-4	1.136637012482684e0
13	1.355771699501553e-4	6.426246929466221e-1
14	7.583577781177398e-5	3.307052361459278e-1
15	4.104097633348431e-4	1.450335075674102e0
16	3.104207767083873e-4	8.292297495595632e-1
17	3.699068057049118e-4	6.720973251180040e-1
18	3.217467544567921e-4	5.488988935928334e-1
19	3.034185722474549e-4	4.111875153028718e-1
20	6.381554074432654e-4	6.817015505889190e-1
21	1.201484358683095e-3	1.253971086228990e0
22	2.069751165639878e-3	2.108540997880379e0
23	6.111371954511157e-4	5.748174426730253e-1
24	1.804721829288560e-3	1.508152125051864e0
25	2.256182731085434e-3	1.531803051621306e0
26	6.526538965144317e-4	3.313239590920229e-1
27	5.684794820904285e-4	1.965403258407983e-1
28	1.267301935770213e-3	2.549001936010600e-1
29	1.789802077397758e-3	9.158562809684948e-2
30	3.342158227265479e-3	2.404974772051119e-2
31	6.104524237335141e-3	3.999301225837663e-2
32	1.135003666654781e-2	6.695111317124340e-2
33	2.494233363792570e-2	1.308298802978033e-1
34	1.608880970484437e-1	7.390313171487097e-1
35	1.315492323944996e0	5.185502241922871e0
