index	raw	unfolded
0	7.711457990597099e-4	4.426065964542497e-1
1	7.065642645841391e-4	4.005083177977611e-1
2	1.846119211400815e-3	1.032842396056613e0
3	3.701791914272326e-4	1.780317254967579e-1
4	2.295510733866329e-3	8.667525877375134e-1
5	4.464176771263768e-3	1.144181591456249e0
6	1.895485386939623e-3	1.704303590418342e-1
7	1.950148091521924e-3	1.837742048760941e-2
8	4.414260577494576e-3	3.787648292256331e-2
9	7.770446666907443e-3	6.002582527808006e-2
10	1.643392742117992e-2	1.130674312859839e-1
11	8.019253116056863e-2	4.846282363761768e-1
12	1.045649044204375e0	5.425318288755854e0
