index	raw	unfolded
0	6.555926935904004e-6	1.537338242597995e0
1	4.968311599846251e-6	1.173612307290810e0
2	3.335331335819995e-6	7.295448303486464e-1
3	3.999819893007423e-6	9.047646026340845e-1
4	5.347064654498350e-6	1.252241220843420e0
5	1.380342634088830e-6	3.306562291324607e-1
6	4.046652581669334e-6	9.595640599714030e-1
7	6.940931508828268e-6	1.710238482195347e0
8	3.213182309044473e-6	7.916779501950763e-1
9	2.912393755992454e-6	7.048054655543088e-1
10	3.220148439437418e-6	6.974779715578953e-1
11	7.024780873945603e-6	1.491132883053574e0
12	3.222392964953184e-6	6.906851483598901e-1
13	3.337976664896376e-6	7.068486929570208e-1
14	4.808280723609667e-6	9.939260769069731e-1
15	1.067822443242926e-5	2.102406483605502e0
16	2.416433081131705e-6	4.554873623360128e-1
17	3.545777626524514e-6	7.063968439187597e-1
18	7.566099457115044e-6	1.387601910978961e0
19	4.481799551308137e-6	7.998890670408114e-1
20	5.567619347086905e-6	9.889803036208263e-1
21	5.707369141973233e-6	9.509624129386326e-1
22	3.882817714145800e-6	5.933708008589907e-1
23	7.986688026206620e-6	1.267042552667480e0
24	4.992181183050736e-6	8.058526571082499e-1
25	5.101211409993655e-6	7.219258082041298e-1
26	1.477044930907776e-5	1.984054476321855e0
27	8.378264648202326e-6	1.123264222095643e0
28	9.030043890407679e-7	1.188353699146531e-1
29	6.372557490839069e-6	6.718476128034763e-1
30	1.406511190550541e-5	1.413700547700888e0
31	9.730708347515494e-6	9.562807580122690e-1
32	5.864407529885716e-6	5.617065936237046e-1
33	5.422047304660504e-6	5.285830628161049e-1
34	2.873641351224801e-5	2.174349864560278e0
35	1.009642047463251e-5	7.142782797881082e-1
36	7.591960486536648e-6	5.319076008057667e-1
37	1.768283827513804e-5	1.174240043797982e0
38	6.369247373703925e-6	3.817534259961130e-1
39	3.344532794346010e-5	1.844568455022790e0
40	1.648201050560513e-5	1.008452684160020e0
41	1.558251370777037e-5	9.644045213731841e-1
42	1.837541434044330e-5	9.554192956337716e-1
43	2.374191570515301e-5	1.156562207319954e0
44	2.134562813069278e-5	9.524848548561238e-1
45	9.069194172670731e-6	4.152531148861234e-1
46	8.048133497046671e-6	3.503322543802273e-1
47	4.141887697565349e-5	1.633717079760834e0
48	3.192980149752545e-5	1.246342695635398e0
49	2.707629422680298e-5	8.852936141682324e-1
50	2.717196937471926e-5	8.077667261148281e-1
51	2.894170781165650e-5	8.602813877640458e-1
52	4.175899997415754e-5	1.070684097038371e0
53	2.130425433273574e-5	5.423472212734480e-1
54	7.836503369157031e-5	1.850628422780369e0
55	5.493798648784477e-5	1.167137072619095e0
56	9.110493959144854e-6	1.873688829488739e-1
57	6.700841884513264e-5	1.185218390150424e0
58	4.449239084595893e-5	7.752486197260805e-1
59	6.562847951600793e-5	1.082784570429976e0
60	7.905822418878268e-5	1.313236518925913e0
61	4.425034280397490e-5	6.918965103299103e-1
62	1.159898390568682e-4	1.419360827021451e0
63	5.115691702110479e-5	6.329432212182433e-1
64	5.672108476466168e-5	6.246628232916640e-1
65	7.385742989704036e-5	7.650973856574670e-1
66	9.623299255660670e-5	9.937464338150815e-1
67	2.045213406278099e-4	1.428941746403016e0
68	5.715346601695408e-5	3.257593582853812e-1
69	1.542598269162210e-4	8.515950085612769e-1
70	1.286656188211595e-4	5.513622980501962e-1
71	8.241551073496145e-5	3.170251752939315e-1
72	5.534321749373831e-4	1.929603999986582e0
73	4.714994181630730e-4	1.436483895178982e0
74	1.138057700102312e-4	3.083072522827927e-1
75	6.311107244667451e-4	1.307018658860925e0
76	3.665202746766169e-4	6.719989743422855e-1
77	3.915398509232284e-4	6.337234623635678e-1
78	6.601450476038887e-4	9.142052317407384e-1
79	5.070469849673201e-4	6.502354604595194e-1
80	1.405309720916147e-3	1.781302236650746e0
81	8.167715091714168e-4	1.048224090543364e0
82	8.790610746482446e-4	1.097334630448685e0
83	1.700258939223875e-3	2.102108962209036e0
84	1.106117993097512e-3	1.313161666283058e0
85	2.142672768627382e-4	2.258028026053454e-1
86	5.241119835177142e-4	4.935979327167421e-1
87	6.073323083133023e-4	4.180173218923419e-1
88	4.767602609822789e-4	2.264687509026694e-1
89	1.028613114094233e-3	3.124479791309381e-1
90	1.679441841167858e-3	2.245908936156291e-1
91	2.647279834651507e-3	8.435804330467744e-2
92	5.118522256218123e-3	3.023348534904014e-2
93	8.054409025161757e-3	4.326396021123097e-2
94	1.475635401853376e-2	7.135516224745252e-2
95	4.714851495502612e-2	2.027691638610983e-1
96	2.631548863981530e-1	9.911643146271156e-1
97	1.517625407043665e0	4.906491758819706e0
