index	raw	unfolded
0	2.624635378316445e-5	9.743374935622962e-1
1	3.746231264509285e-5	1.304830154970194e0
2	2.704916957166342e-5	8.804483264524312e-1
3	3.133410254659144e-5	1.039969700506369e0
4	2.585338118142556e-5	7.997368073714277e-1
5	1.368052731118990e-5	4.171397549984736e-1
6	3.934758043476472e-5	1.196166106582823e0
7	4.480290041716724e-5	1.252741857103097e0
8	2.539207517107938e-5	7.161103940187513e-1
9	5.210521574753376e-5	1.359460872204092e0
10	3.748269515910631e-5	8.797441189911308e-1
11	2.733224751486161e-5	5.773202881753948e-1
12	6.902270564360569e-5	1.304095927446462e0
13	2.368814516427525e-5	3.967688312925387e-1
14	6.289890341655753e-5	9.402073563322330e-1
15	7.291697049033200e-5	9.365980417559315e-1
16	6.578685923426314e-5	7.801047439910153e-1
17	1.007752028573364e-4	1.022663720386706e0
18	1.193279770834875e-4	1.243569868408190e0
19	1.045517440794261e-4	8.851533941268865e-1
20	1.725995862995782e-4	1.322463652924201e0
21	1.087384876825273e-4	7.069466760992126e-1
22	1.836540683897866e-4	1.092274512171443e0
23	4.057793845786781e-5	2.399446428309203e-1
24	2.674602639580516e-4	1.387912246942328e0
25	1.992612840674471e-4	8.242731283323255e-1
26	3.292235698620018e-4	9.286444494722894e-1
27	2.233601279240222e-4	5.365699086835599e-1
28	1.114962075283790e-4	2.151659340233617e-1
29	3.788526009681657e-4	6.818121050686692e-1
30	6.439358561341575e-4	8.814179764895577e-1
31	1.413165987125179e-3	1.610457049666149e0
32	7.880266236121340e-4	8.737884819453174e-1
33	1.304697443947863e-3	1.422474306556663e0
34	4.527298059650350e-4	4.564719449449712e-1
35	2.191499589674965e-3	2.032928911420236e0
36	1.815443378514917e-3	1.528459193943814e0
37	5.971484359833159e-4	4.186665879677859e-1
38	3.922350796929843e-4	2.022899555772120e-1
39	9.320876327386443e-4	3.166353298515930e-1
40	1.327042195955913e-3	2.365366345086796e-1
41	1.851288766062779e-3	8.209596896181919e-2
42	4.037213541216923e-3	2.729614978859892e-2
43	6.427334403636568e-3	3.952003437001219e-2
44	1.235696246657862e-2	6.839831582650009e-2
45	2.978507777790123e-2	1.466320578804312e-1
46	1.885314713038597e-1	8.127872894674438e-1
47	1.380707670910087e0	5.107912466742816e0
