rank	k	weight	d(k)	sigma(k)	omega	Omega	class	factors
1	470	6.142518903301e-2	8	864	3	3	heavy fermion	2·5·47
2	469	4.922973068424e-2	4	544	2	2	heavy fermion	7·67
3	940	4.150249462088e-2	12	2016	3	4	heavy fermion	2^2·5·47
4	471	3.082281891944e-2	4	632	2	2	heavy fermion	3·157
5	938	2.911659091218e-2	8	1632	3	3	heavy fermion	2·7·67
6	548	2.037315534706e-2	6	966	2	3	heavy fermion	2^2·137
7	547	2.024450620956e-2	2	548	1	1	excited boson	547 (prime)
8	550	1.993016745343e-2	12	1116	3	4	heavy fermion	2·5^2·11
9	556	1.980244233564e-2	6	980	2	3	heavy fermion	2^2·139
10	942	1.861572199109e-2	8	1896	3	3	heavy fermion	2·3·157
11	562	1.816724983537e-2	4	846	2	2	heavy fermion	2·281
12	557	1.567809926333e-2	2	558	1	1	excited boson	557 (prime)
13	429	1.393595895971e-2	8	672	3	3	heavy fermion	3·11·13
14	858	1.320845782812e-2	16	2016	4	4	heavy fermion	2·3·11·13
15	574	1.294810773718e-2	8	1008	3	3	heavy fermion	2·7·41
16	431	1.169397158386e-2	2	432	1	1	excited boson	431 (prime)
17	427	1.133770224767e-2	4	496	2	2	heavy fermion	7·61
18	551	1.096382159918e-2	4	600	2	2	heavy fermion	19·29
19	412	9.737945488408e-3	6	728	2	3	heavy fermion	2^2·103
20	466	9.557884498015e-3	4	702	2	2	heavy fermion	2·233
21	343	9.409841937272e-3	4	400	1	3	heavy fermion	7^3
22	582	8.604869674451e-3	8	1176	3	3	heavy fermion	2·3·97
23	584	8.293567364130e-3	8	1110	2	4	heavy fermion	2^3·73
24	472	8.273640154974e-3	8	900	2	4	heavy fermion	2^3·59
25	822	7.608468017735e-3	8	1656	3	3	heavy fermion	2·3·137
26	468	7.590462518859e-3	18	1274	3	5	heavy fermion	2^2·3^2·13
27	563	7.430109561108e-3	2	564	1	1	excited boson	563 (prime)
28	583	7.377644602097e-3	4	648	2	2	heavy fermion	11·53
29	740	7.252038632289e-3	12	1596	3	4	heavy fermion	2^2·5·37
30	854	7.162772083721e-3	8	1488	3	3	heavy fermion	2·7·61
31	862	7.025841518948e-3	4	1296	2	2	heavy fermion	2·431
32	575	6.997231039480e-3	6	744	2	3	heavy fermion	5^2·23
33	540	6.883387259837e-3	24	1680	3	6	heavy fermion	2^2·3^3·5
34	932	6.326498284840e-3	6	1638	2	3	heavy fermion	2^2·233
35	840	6.155565729925e-3	32	2880	4	6	heavy fermion	2^3·3·5·7
36	824	6.097721810242e-3	8	1560	2	4	heavy fermion	2^3·103
37	539	6.080498611950e-3	6	684	2	3	heavy fermion	7^2·11
38	590	6.042765321732e-3	8	1080	3	3	heavy fermion	2·5·59
39	585	5.897198974716e-3	12	1092	3	4	heavy fermion	3^2·5·13
40	344	5.895602975835e-3	8	660	2	4	heavy fermion	2^3·43
41	572	5.805220719427e-3	12	1176	3	4	heavy fermion	2^2·11·13
42	370	5.675138801330e-3	8	684	3	3	heavy fermion	2·5·37
43	425	5.506546387409e-3	6	558	2	3	heavy fermion	5^2·17
44	930	5.324266724608e-3	16	2304	4	4	heavy fermion	2·3·5·31
45	373	5.313828631968e-3	2	374	1	1	excited boson	373 (prime)
46	686	5.269743571541e-3	8	1200	2	4	heavy fermion	2·7^3
47	461	5.192156384684e-3	2	462	1	1	excited boson	461 (prime)
48	944	5.178946638279e-3	10	1860	2	5	heavy fermion	2^4·59
49	589	5.151378288552e-3	4	640	2	2	heavy fermion	19·31
50	546	5.105362569728e-3	16	1344	4	4	heavy fermion	2·3·7·13
