N	dim	vtGv	vt_B1_v	vt_L1_v	L1_B1_ratio	bt_Ginv_b	d2_opt	margin
60	59	0.3934573768	0.1195838444	0.2738735324	2.290222	NaN	NaN	0.6065426232
120	119	0.4629256642	0.1716357882	0.2912898760	1.697140	NaN	NaN	0.5370743358
180	179	0.4949835240	0.2171236632	0.2778598608	1.279731	NaN	NaN	0.5050164760
240	239	0.5170579794	0.2578531393	0.2592048401	1.005242	NaN	NaN	0.4829420206
360	359	0.5454346637	0.3329705163	0.2124641474	0.638087	NaN	NaN	0.4545653363
480	479	0.5638263627	0.4021589082	0.1616674545	0.401999	NaN	NaN	0.4361736373
720	719	0.5868669577	0.5283307627	0.0585361950	0.110795	NaN	NaN	0.4131330423
840	839	0.5948681858	0.5877214957	0.0071466902	0.012160	NaN	NaN	0.4051318142
1000	999	0.6027976996	0.6640972303	-0.0612995307	-0.092305	NaN	NaN	0.3972023004
1260	1259	0.6151692982	0.7824005741	-0.1672312758	-0.213741	NaN	NaN	0.3848307018
2520	2519	0.6446273132	1.2956481165	-0.6510208033	-0.502467	NaN	NaN	0.3553726868
