index	eigenvalue
0	-3.386402600474991e-1
1	3.172618856445188e-5
2	3.310368391710041e-5
3	3.491442291063145e-5
4	3.560113505081789e-5
5	3.658196041482443e-5
6	3.682357792085201e-5
7	3.763456641370577e-5
8	3.921936139188022e-5
9	3.977343354794674e-5
10	4.010114253820742e-5
11	4.142996925359061e-5
12	4.196979013440946e-5
13	4.295305426441074e-5
14	4.419874386680798e-5
15	4.537874543150610e-5
16	4.598015070351033e-5
17	4.688431576854362e-5
18	4.848953957926650e-5
19	4.902876977660255e-5
20	4.989818046770001e-5
21	5.151875792305090e-5
22	5.210321741544873e-5
23	5.423740472862963e-5
24	5.573735616816550e-5
25	5.680593135058171e-5
26	5.713861864709292e-5
27	5.842191962335435e-5
28	6.059000494761491e-5
29	6.081640988547693e-5
30	6.337234493755095e-5
31	6.432719850393499e-5
32	6.502805037804610e-5
33	6.676011020008414e-5
34	6.705575834353477e-5
35	6.808993245688809e-5
36	6.948833086991615e-5
37	7.089867600662757e-5
38	7.275060291226348e-5
39	7.446538305089321e-5
40	7.513737381072425e-5
41	7.621738946239947e-5
42	7.742069537076898e-5
43	7.941110258141155e-5
44	8.221522549703555e-5
45	8.343770684838505e-5
46	8.526882747028638e-5
47	8.595519083978854e-5
48	8.764939079918927e-5
49	9.014816422644159e-5
50	9.140582567808239e-5
51	9.443779117932543e-5
52	9.507297276433877e-5
53	9.716081341298654e-5
54	9.937649454974701e-5
55	1.013810786852606e-4
56	1.025909493287668e-4
57	1.059010142954368e-4
58	1.090587454476361e-4
59	1.102932288222387e-4
60	1.121642382238020e-4
61	1.137136014711899e-4
62	1.162982332380209e-4
63	1.179270938800591e-4
64	1.206984124372476e-4
65	1.255491425423997e-4
66	1.276263781889145e-4
67	1.299947302586005e-4
68	1.332477999401971e-4
69	1.372829735853969e-4
70	1.424027838379053e-4
71	1.442574864257292e-4
72	1.477564368379062e-4
73	1.495441736219213e-4
74	1.537009725435074e-4
75	1.599842648420049e-4
76	1.644181630710697e-4
77	1.679031939889011e-4
78	1.721235524476684e-4
79	1.766143843535910e-4
80	1.786547358276600e-4
81	1.828811517353514e-4
82	1.879322424341514e-4
83	1.913290480770479e-4
84	1.983745608395578e-4
85	2.034166292455586e-4
86	2.061217007267659e-4
87	2.118237343695455e-4
88	2.174640223180386e-4
89	2.254603061753726e-4
90	2.303081711711919e-4
91	2.322535499940149e-4
92	2.393747781219778e-4
93	2.430856911838338e-4
94	2.499044830846536e-4
95	2.545400686973935e-4
96	2.635830205009855e-4
97	2.700044590100135e-4
98	2.795502525876196e-4
99	2.874213447961759e-4
100	2.885351537476036e-4
101	2.981766289757377e-4
102	3.062727063082230e-4
103	3.119697361626891e-4
104	3.194584329205486e-4
105	3.362741591653783e-4
106	3.449149475384553e-4
107	3.558598533392534e-4
108	3.678724119245632e-4
109	3.765888768763605e-4
110	3.852638592935347e-4
111	4.014806079141197e-4
112	4.033572235479336e-4
113	4.234975384616843e-4
114	4.497143295145254e-4
115	4.679098990327469e-4
116	4.810624930378352e-4
117	4.952835533993316e-4
118	5.024303315952418e-4
119	5.085302852239438e-4
120	5.227695436351066e-4
121	5.542862354674703e-4
122	5.623309267830186e-4
123	5.929296910804235e-4
124	6.053031807063262e-4
125	6.262656921282430e-4
126	6.372253249806513e-4
127	6.584700458350089e-4
128	6.849730032717699e-4
129	7.103527201406777e-4
130	7.231945836725582e-4
131	7.669561503570207e-4
132	7.945419612957244e-4
133	8.478353280492962e-4
134	8.626860536436736e-4
135	8.996595085063886e-4
136	9.626970355468256e-4
137	9.838055453230993e-4
138	1.035521508117931e-3
139	1.063606629608426e-3
140	1.150166670470102e-3
141	1.166809045656033e-3
142	1.208671504478143e-3
143	1.257340998971504e-3
144	1.282534690171677e-3
145	1.331561212518319e-3
146	1.364022876310342e-3
147	1.469758439837144e-3
148	1.500256507329858e-3
149	1.594661424709122e-3
150	1.662965731014638e-3
151	1.742731581400966e-3
152	1.818188726848389e-3
153	1.829462634737583e-3
154	1.872688963024627e-3
155	2.021769506887262e-3
156	2.110364246709922e-3
157	2.163657037275080e-3
158	2.225955906715973e-3
159	2.319677629390266e-3
160	2.534650151170926e-3
161	2.983663387729917e-3
162	3.133937598503716e-3
163	3.471069374363605e-3
164	3.818206141219563e-3
165	4.055910577250492e-3
166	4.541915223826646e-3
167	4.639049696011813e-3
168	5.032254057472390e-3
169	5.255943109327374e-3
170	6.368536258781934e-3
171	6.879297340304824e-3
172	6.951882204762874e-3
173	7.189736782845948e-3
174	7.650428049613913e-3
175	9.207092456226444e-3
176	1.060495838840635e-2
177	1.238073644788209e-2
178	1.273063845125755e-2
179	1.392385447810849e-2
180	1.673107164622838e-2
181	1.783510378946203e-2
182	2.048299291159293e-2
183	2.255066887419759e-2
184	2.279002614807197e-2
185	2.323543067332484e-2
186	2.493304106786265e-2
187	2.517001662046878e-2
188	2.616354271000340e-2
189	2.716663189373564e-2
190	2.917314242734247e-2
191	3.399898612202222e-2
192	3.544724514500752e-2
193	4.385773465146046e-2
194	4.947160206399828e-2
195	6.471187101844836e-2
196	8.968310963097950e-2
197	2.577595420875224e-1
198	1.693011846072862e0
